Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
ALPHAMINBISIE MINING SA,Private,A0705928C,Mining,Sn,,,2010649.87,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
AMUR MUGOTE & FRERES,Private,A1102672S,Mining,Co; Cu; Sn,,,872649.91,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
BAI JIE,Private,,Mining,,,,1000000.0,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
BANRO CONGO MINING,Private,A0700161J,Mining,Au,,,304419.87,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
BOLFAST,Private,A0704693K,Mining,,,,34255.62,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
BOSS MINING SARL,Private,A0905972C,Mining,Cu; Co,,,52023831.34,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
CGM LISHI MINING SPRL,Private,A0906803F,Mining,,,,3022483.94,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
CHEMICAL OF AFRICA Sarl (CHEMAF),Private,A0708211J,Mining,Cu; Co; FeMn,,,39949861.42,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
CNMC CONGO COMPAGNIE MINIERE SARL(CNMC SARL),Private,A1507008K,Mining,,,,2797258.14,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
CNMC HUACHIN MABENDE MINING,Private,A1217593M,Mining,Cu; Co; Zn,,,66279737.61,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
COMFORCE,Private,,Mining,,,,965.68,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
COMPAGNIE D'EXPLOITATION DES REJETS DE KINGAMYAMBO SARL (METALKOL),Private,A1007580B,Mining,Cu; Co,,,110602126.59,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
COMPAGNIE MINERE DE TONDO (CMT),Private,A1505983W,Mining,,,,15773.19,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
COMPAGNIE MINIERE DE KAMBOVE SAS (COMIKA),Private,A1100211S,Mining,Cu; Co,,,10433165.51,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
COMPAGNIE MINIERE DE LUISHA SAS (COMILU),Private,A0815428E,Mining,Cu,,,9230850.41,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
COMPAGNIE MINIERE DE MUSONOIE GLOBAL (COMMUS),Private,A0815341K,Mining,Cu,,,11694496.99,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
CONGO COBALT CORPORATION SARL (CCC),Private,A0906508K,Mining,Cu; Co,,,4657564.06,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
CONGO DONGFANG INTERNATIONAL MINING SARL (CDM),Private,A0712822W,Mining,Cu; Co,,,23158624.02,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
CONGO INTERNATIONAL MINING CORPORATION SAS (CIMCO),Private,A0815188T,Mining,,,,1061815.18,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
CONGO JINJUNCHENG MINING COMPANY (CJMC),Private,A0907120A,Mining,Cu,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
COPROCO GROUP SARL,Private,A1704461T,Mining,,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
CROWN MINING,Private,A1006506J,Mining,,,,146225.93,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
DATHCOM (DATHOMIR),Private,F98523000P,Mining,,,,1899800.0,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
DIVINE LAND MINING SARL,Private,A1507009L,Mining,Cu,,,10305.0,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
DRAGON INTERNATIONAL MINING SARL,Private,A1301003F,Mining,,,,30087.22,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
ENERGULF,Private,A0909587G,Oil,Oil,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
EPPM,Private,,Oil,Gaz Naturel,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
FRONTIER SA,Private,A0905460W,Mining,Cu,,,57353458.82,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
GIRO GOLDFIELDS,Private,A1216135C,Mining,Au,,,1092778.34,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
GOLDEN AFRICAN RESOURCES SARL (GAR),Private,A0900876N,Mining,Cu; Co,,,1247923.27,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
GOMA MINING,Private,A1205285J,Mining,,,,14724.0,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
GROUPEMENT POUR LE TRAITEMENT DU TERRIL DE LUBUMBASHI (GTL),Private,A0704273D,Mining,,,,6236510.76,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
HONG KONG EXCELLENT,Private,HO1345786E,Mining,,,,3000000.0,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
HUA YING TRADING COMPAGNY,Private,A1106512R,Mining,Alliage rouge,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
HUACHIN METAL LEACH S.A (HML),Private,A1113665R,Mining,Cu; Co,,,7541512.43,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
HUAYOU,Private,,Mining,,,,3047424.47,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
