Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AGM Petroleum,Private,C0003052583,Oil & Gas,"Oil, Gas, Condensates",Not available,Not available,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Private,C0003278263,Mining,Gold,https://www.goldfields.com,Not available,40968650.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Private,C0003278484,Mining,Gold,https://www.adamusresource.com,Not available,36329118.33,Ghana,GHA,2018,2018-01-01,2018-12-31
Anadarko,Private,C0003168417,Oil & Gas,"Oil, Gas, Condensates",Not available,Not available,,Ghana,GHA,2018,2018-01-01,2018-12-31
AngloGold Ashanti (Ghana) Ltd,Private,C0003278271,Mining,Gold,https://www.anglogoldashanti.com,Not available,,Ghana,GHA,2018,2018-01-01,2018-12-31
AngloGold Ashanti (Iduapriem) Ltd,Private,C000327828X,Mining,Gold,https://www.anglogoldashanti.com,Not available,153375967.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Asanko Gold Ghana Ltd,Private,C0004524764,Mining,Gold,www.asanko.com,Not available,81480374.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Chirano Gold Mines Ltd,Private,C000366497X,Mining,Gold,https://www.kinross.com,Not available,229273211.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Eni Ghana Exploration & Production Limited,Private,C0003664996,Oil & Gas,"Oil, Gas, Condensates",https://www.eni.com,Not available,11812112.21,Ghana,GHA,2018,2018-01-01,2018-12-31
Ghana Bauxite Company Ltd,Private,C0002862646,Mining,Bauxite,Not available,Not available,11935669.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Ghana Manganese Co. Ltd,Private,C0004056450,Mining,Manganese,https://www.ghamang.com.gh,Not available,231349285.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Ghana National Petroleum Company,State-owned enterprises & public corporations,V0003107108,Oil & Gas,"Oil, Gas, Condensates",www.gnpcghana.com,www.gnpcghana.com/speeches/2018_financial.pdf · PDF file,3759107063.36,Ghana,GHA,2018,2018-01-01,2018-12-31
GoldFields Ghana Ltd,Private,C0003136973,Mining,Gold,https://www.goldfields.com,Not available,285988813.5,Ghana,GHA,2018,2018-01-01,2018-12-31
Golden Star (Bogoso/Prestea) Ltd,Private,C0003165493,Mining,Gold,https://gsr.com,Not available,24832147.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Golden Star (Wassa) Ltd,Private,C0003137007,Mining,Gold,https://gsr.com,Not available,50741815.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Hess Ghana Exploration Limited,Private,C0004631676,Oil & Gas,"Oil, Gas, Condensates",https://www.hess.com,Not available,1932241.57,Ghana,GHA,2018,2018-01-01,2018-12-31
Kibi GoldFields Ltd,Private,C0003137074,Mining,Gold,https://www.kibigoldfields.com,Not available,,Ghana,GHA,2018,2018-01-01,2018-12-31
Kosmos Energy Ghana HC,Private,C0003831426,Oil & Gas,"Oil, Gas, Condensates",https://www.kosmosenergy.com/ghana,Not available,166852414.46,Ghana,GHA,2018,2018-01-01,2018-12-31
Newmont Ghana Gold Limited,Private,C0003268071,Mining,Gold,https://newmont.com,Not available,223762755.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Newmont Golden Ridge Ltd,Private,C0003257630,Mining,Gold,https://newmont.com,Not available,436397086.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Perseus Mining Ghana Ltd,Private,C0003257673,Mining,Gold,https://www.perseusmining.com,Not available,69230252.0,Ghana,GHA,2018,2018-01-01,2018-12-31
Petro SA Ghana Limited,State-owned enterprises & public corporations,C0021485674,Oil & Gas,"Oil, Gas, Condensates",http://www.petrosa.co.za,Not available,48155271.67,Ghana,GHA,2018,2018-01-01,2018-12-31
Tullow Ghana Limited,Private,C0002551888,Oil & Gas,"Oil, Gas, Condensates",https://www.TullowOilGhana.com,Not available,243568266.6,Ghana,GHA,2018,2018-01-01,2018-12-31
Vitol,Private,C0004743520,Oil & Gas,"Oil, Gas, Condensates",Not available,Not available,,Ghana,GHA,2018,2018-01-01,2018-12-31
West African Quarries Ltd,Private,C0002788608,Mining,Limestone,Not available,Not available,,Ghana,GHA,2018,2018-01-01,2018-12-31
