Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AGM Inc.,Private,AGM Inc.,Mining,Gold,,,2940988289.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Adamantium Holdings,Private,Adamantium Holdings,Mining,"Gold, Precious Stones",,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Alphonso Clinton,Private,Alphonso Clinton,Mining,"Gold, Precious Stones",,,30543339.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Aranka Gold Incorporated,Private,Aranka Gold Incorporated,Mining,"Gold, Valuable minerals",,,647339.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Azeem Baksh,Private,Azeem Baksh,Mining,"Gold, Precious Stones",,,17079505.0,Guyana,GUY,2018,1/1/2018,12/31/2018
BOSAI Minerals Guyana Inc,Private,BOSAI Minerals Guyana Inc,Mining,Bauxite,,,3205360.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Baboolall Chunilall,Private,Baboolall Chunilall,Mining,"Gold, Precious Stones",,,62651228.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Baracara Quarries Inc,Private,Baracara Quarries Inc,Mining,Stone,,,3032825.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Bauxite Company of Guyana Inc,Private,Bauxite Company of Guyana Inc,Mining,Bauxite,,,173472.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Bhabendra Badrinauth,Private,Bhabendra Badrinauth,Mining,Gold,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
CGX Resources Inc.,Private,CGX Resources Inc.,Oil & Gas,"Oil, Gas",https://www.sedar.com/DisplayProfile.do?lang=EN&issuerType=03&issuerNo=00008921,,94321463.0,Guyana,GUY,2018,1/1/2018,12/31/2018
CNOOC Nexen,Private,CNOOC Nexen,Oil & Gas,"Oil, Gas",,,412480.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Cataleya Energy Ltd,Private,Cataleya Energy Ltd,Oil & Gas,"Oil, Gas",,,,Guyana,GUY,2018,1/1/2018,12/31/2018
China Jiahau Corporation Inc.,Private,China Jiahau Corporation Inc.,Mining,Gold,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Correia Mining Co.,Private,Correia Mining Co.,Mining,"Gold, Diamond, Precious Stones",,,11447337.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Dinar Trading,Private,Dinar Trading,Mining,Gold,,,156181833.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Disarz Jeanne Gesel,Private,Disarz Jeanne Gesel,Mining,"Gold, Diamonds, Precious Minerals",,,18242301.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Eco (Atlantic) Guyana Inc,Private,Eco (Atlantic) Guyana Inc,Oil & Gas,"Oil, Gas",,,21034969.0,Guyana,GUY,2018,1/1/2018,12/31/2018
El Dorado Trading,Private,El Dorado Trading,Mining,Gold,,,1498799684.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Esso Exploration & Production Guyana Ltd,Private,Esso Exploration & Production Guyana Ltd,Oil & Gas,"Oil, Gas",https://www.sec.gov/cgi-bin/browse-edgar?type=&dateb=&action=getcompany&CIK=34088,,719448255.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Excel Minerals,Private,Excel Minerals,Mining,Gold,,,99638153.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Ghanesh Mohindernauth,Private,Ghanesh Mohindernauth,Mining,Gold,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Gold Target Export,Private,Gold Target Export,Mining,Gold,,,40000.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Grey Wolf Resources,Private,Grey Wolf Resources,Mining,Gold,,,84710810.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Guyana Industrial Mineral GIMIN,Private,Guyana Industrial Mineral GIMIN,Mining,Bauxite,,,23041279.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Guyana manganese Inc.,Private,Guyana manganese Inc.,Mining,Manganese,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
HIGGINS WINSLOW THEOPILUS,Private,HIGGINS WINSLOW THEOPILUS,Mining,Gold,,,30215121.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Harpy Investments,Private,Harpy Investments,Mining,Gold,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Henry Alphonso,Private,Henry Alphonso,Mining,"Gold, Precious Stones",,,29661494.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Hess Corporation,Private,Hess Corporation,Oil & Gas,"Oil, Gas",,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Hopkinson Morris & Shawn,Private,Hopkinson Morris & Shawn,Mining,"Gold, Precious Stones",,,13386299.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Innovative Mining,Private,Innovative Mining,Mining,"Gold, Diamonds",,,68418266.0,Guyana,GUY,2018,1/1/2018,12/31/2018
J&D Mining,Private,J&D Mining,Mining,Gold,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
JHI Associates (BVI) Inc,Private,JHI Associates (BVI) Inc,Oil & Gas,"Oil, Gas",,,21049850.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Kassim Wazim,Private,Kassim Wazim,Mining,Gold,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Mahadeo Gurdev,Private,Mahadeo Gurdev,Mining,Gold,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Mahadeo Millburn,Private,Mahadeo Millburn,Mining,"Gold, Precious Stones",,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Methuram Suraj,Private,Methuram Suraj,Mining,Gold,,,17087288.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Mid Atlantic Oil & Gas Inc,Private,Mid Atlantic Oil & Gas Inc,Oil & Gas,"Oil, Gas",,,419698.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Mohamed's Enterprise,Private,Mohamed's Enterprise,Mining,Gold,,,1517206238.0,Guyana,GUY,2018,1/1/2018,12/31/2018
New East International,Private,New East International,Mining,Gold,,,5169040.0,Guyana,GUY,2018,1/1/2018,12/31/2018
North American Resources Inc. Ltd.,Private,North American Resources Inc. Ltd.,Mining,Gold,,,4000.0,Guyana,GUY,2018,1/1/2018,12/31/2018
ON Energy Inc.,Private,ON Energy Inc.,Oil & Gas,"Oil, Gas",https://www.sedar.com/DisplayProfile.do?lang=EN&issuerType=03&issuerNo=00008921,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Ontario Inc.,Private,Ontario Inc.,Mining,"Gold, Copper",,,17336869.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Parmeshwar Jagmohan,Private,Parmeshwar Jagmohan,Mining,Gold,,,500600.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Pereira Mining Co.,Private,Pereira Mining Co.,Mining,"Gold, Silver, Valuable Minerals, Precious Stones",,,4874872.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Pure Diamond Inc.,Private,Pure Diamond Inc.,Mining,Gold,,,192103069.0,Guyana,GUY,2018,1/1/2018,12/31/2018
R Mining Inc.,Private,R Mining Inc.,Mining,Gold,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
RAMNARINE,Private,RAMNARINE,Mining,"Gold, Precious Stones",,,114569332.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Ratio Guyana Ltd.,Private,Ratio Guyana Ltd.,Oil & Gas,"Oil, Gas",https://www.tase.co.il/he/market_data/security/1139864/major_data,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Repsol Exploration Guyana,Private,Repsol Exploration Guyana,Oil & Gas,"Oil, Gas",,https://www.repsol.com/imagenes/global/es/cuentas-anuales-informe-auditoria-consolidados-2018_tcm13-147658.pdf,50598570.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Romanex Guyana Exploration Ltd.,Private,Romanex Guyana Exploration Ltd.,Mining,"Gold, Valuable Minerals",,,13508206.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Roraima Gems,Private,Roraima Gems,Mining,Gold,,,15000.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Tesouro Resources,Private,Tesouro Resources,Mining,Gold,,,73051078.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Thakur Vincent and Adolph,Private,Thakur Vincent and Adolph,Mining,"Gold, Diamnds",,,5783569.0,Guyana,GUY,2018,1/1/2018,12/31/2018
Toolsie Persaud Quarries,Private,Toolsie Persaud Quarries,Mining,Stone,,,2273225.0,Guyana,GUY,2018,1/1/2018,12/31/2018
