Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Al Waha Petroleum CO. LTD,,Not applicable,Oil & Gas,Oil,,,1126326657.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
ApiOil Limited,,Not applicable,Oil & Gas,Oil,,,368472733.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
BOC IRAQ B.V.,,Not applicable,Oil & Gas,Oil,,,600654658.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
BP & PETROCHINA INTERNATIONAL,,Not applicable,Oil & Gas,Oil,,,2447897983.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
BP OIL,,Not applicable,Oil & Gas,Oil,,,567966174.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
Bharat Oman Refineries Limited,,Not applicable,Oil & Gas,Oil,,,313633266.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
Bharat Petroleum Corporation LTD.,,Not applicable,Oil & Gas,Oil,,,168025118.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
CANAL,,Not applicable,Oil & Gas,Oil,,,283715385.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
CEPSA TRADING SAU,,Not applicable,Oil & Gas,Oil,,,464661365.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
CHENNAI PETROLEUM CORPORATION LTD,,Not applicable,Oil & Gas,Oil,,,725469159.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
CNOOCI,,Not applicable,Oil & Gas,Oil,,,744258218.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
Chevron Products Co. A Division Of Chevron U.S.A. Inc.,,Not applicable,Oil & Gas,Oil,,,1440777569.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
China International (UNIPEC Asia Co. Ltd),,Not applicable,Oil & Gas,Oil,,,6755379057.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
China Nationl United Oil Corporation (China Oil),,Not applicable,Oil & Gas,Oil,,,1403238844.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
China Offshore Oil (Singapore) International Pte Ltd,,Not applicable,Oil & Gas,Oil,,,512113241.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
Dragon Oil Limited (Block 9),,Not applicable,Oil & Gas,Oil,,,26775899.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
EGYPTIAN GENERAL PETROLEUM COMPANY,,Not applicable,Oil & Gas,Oil,,,553286000.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
ENI IRAQ B.V.,,Not applicable,Oil & Gas,Oil,,,890554266.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
ENI Trading,,Not applicable,Oil & Gas,Oil,,,541295038.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
ENOC SUPPLY AND TRADING,,Not applicable,Oil & Gas,Oil,,,141346822.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
ESSAR OIL,,Not applicable,Oil & Gas,Oil,,,578032805.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
Exxonmobil Iraq LTD,,Not applicable,Oil & Gas,Oil,,,341192470.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
Exxonmobil Sales and Supply LLC. U.S.A,,Not applicable,Oil & Gas,Oil,,,953038899.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
GS CALTEX (Project of Karbala Refinery),,Not applicable,Oil & Gas,Oil,,,163393623.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
GS CALTEX SINGAPORE PTE. LTD.,,Not applicable,Oil & Gas,Oil,,,2373827810.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
GUNVOR SA,,Not applicable,Oil & Gas,Oil,,,198279607.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
Gasprom Neft Badra B.V.,,Not applicable,Oil & Gas,Oil,,,292735839.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
HELLENIC,,Not applicable,Oil & Gas,Oil,,,209145352.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
HPCL - Mittal Energy Limited,,Not applicable,Oil & Gas,Oil,,,752070451.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
Hindustan Petroleum Corporation Ltd. – India,,Not applicable,Oil & Gas,Oil,,,1411603318.0,Iraq,IRQ,2017,1/1/2017,12/31/2017
