Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Alpha Logging & Wood Processing Inc.,Private,500033652,Forestry,Logs,,Not provided/not published,1206754.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Arcelor Mittal Liberia Ltd,Private,500036301,Mining,Iron ore,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/LU1598757687NLEUREQS.html?lang=en,https://corporate.arcelormittal.com/~/media/Files/A/ArcelorMittal/investors/annual-reports/2018/Annual%20Report%202018%20-%20ArcelorMittal.pdf,11782718.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Atlantic Resources Ltd.,Private,500004639,Forestry,Logs,,Not provided/not published,346466.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Bea Mountain Mining Corporation,Private,500033821,Mining,Gold/Silver,,Not provided/not published,9347971.0,Liberia,LBR,2018,7/1/2017,6/30/2018
CHEVRON LIBERIA,Private,500033518,Oil,Petroleum,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/US1667641005GBUSDGES1.html?lang=en,https://www.chevron.com/-/media/shared-media/documents/annual-report-supplement-2018.pdf,676224.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Cavalla Rubber Corporation,Private,500021996,Agriculture,Rubber,,Not provided/not published,775482.0,Liberia,LBR,2018,7/1/2017,6/30/2018
EJ & J INVESTMENT CORPORATION,Private,500121771,Forestry,Logs,,Not provided/not published,200470.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Firestone Liberia Incorporated,Private,500017812,Agriculture,Rubber,,Audited financial statements provided but not published,6626758.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Forest Venture Inc. (FVI),Private,500012327,Forestry,Logs,,Not provided/not published,387150.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Golden Veroleum Liberia,Private,500008555,Agriculture,Rubber,,Audited financial statements provided but not published,2805735.0,Liberia,LBR,2018,7/1/2017,6/30/2018
International Consultant Capital ICC,Private,500077043,Forestry,Logs,,Not provided/not published,3561366.0,Liberia,LBR,2018,7/1/2017,6/30/2018
"LIBINC OIL PALM, INC",Private,500009242,Agriculture,Palm Oil,,Not provided/not published,663470.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Liberian Agricultural Company (L.A.C.),Private,500012318,Agriculture,Rubber,,Not provided/not published,1934775.0,Liberia,LBR,2018,7/1/2017,6/30/2018
"MNG GOLD LIBERIA, INC",Private,500170254,Mining,Gold,,Audited financial statements provided but not published,7419122.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Mandra - Forestry Lib,Private,500001295,Forestry,Logs,,Audited financial statements provided but not published,2390493.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Maryland Oil Palm Plantation (MOPP),Private,500026072,Agriculture,Palm Oil,,Not provided/not published,662787.0,Liberia,LBR,2018,7/1/2017,6/30/2018
SIMBA ENERGY,Private,N/C,Oil,Petroleum,,N/A (The company is not yet operational),284222.0,Liberia,LBR,2018,7/1/2017,6/30/2018
"SING AFRICA PLANTATIONS LIBERIA,INC",Private,500332972,Forestry,Logs,,Not provided/not published,1044781.0,Liberia,LBR,2018,7/1/2017,6/30/2018
Sime Darby Plantation,Private,500021969,Agriculture,Rubber,,Audited financial statements provided but not published,1483983.0,Liberia,LBR,2018,7/1/2017,6/30/2018
