Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AMBATOVY MINERALS S.A.,Private,5009,Mining,"Platine, Nickel, Cobalt, Chrome, Zinc",http://www.ambatovy.com/ambatovy-html/docs/index.html%3Flang=fr&p=408.html,,29385905618.27,Madagascar,MDG,2017,1/1/2017,12/31/2017
CLASSIC REAL STONES SARL,Private,2000080079,Mining,"Or, Cristal, Tourmaline, Rubis, Corindo, Saphir, Tourmaline, Béryl, Quartz, Nickel, Amethyst, Quartz Rose, Emeraude, Vitrine",https://www.classicrealdrill.com/index.php?lang=fr,,776837812.55,Madagascar,MDG,2017,1/1/2017,12/31/2017
DYNATEC MADAGASCAR S.A,Private,3000004921,Mining,Limestone,http://www.ambatovy.com/ambatovy-html/docs/index.html%3Flang=fr&p=408.html,,45529374347.68,Madagascar,MDG,2017,1/1/2017,12/31/2017
ETABLISSEMENT GALLOIS,Private,4000056935,Mining,Graphite,http://ets.gallois.pagesperso-orange.fr/graphite_fr.htm,,7106043792.77,Madagascar,MDG,2017,1/1/2017,12/31/2017
GRAPH MADA SARL,Private,5000245680,Mining,Graphite,"https://www.asx.com.au/asx/statistics/announcements.do
https://www.bassmetals.com.au/operations/",,1566947209.75,Madagascar,MDG,2017,1/1/2017,12/31/2017
HOLCIM Madagascar S.A.,Private,2000001171,Mining,"Cipolin, Dolomitic, Clay, Pouzolane, Tourmaline, Beryl, Crystal, Rose quartz, Iron oxide, Gypsum, Agate, Carnelian, Charcoal",https://www.lafargeholcim-io.com/madagascar,,29183961477.44,Madagascar,MDG,2017,1/1/2017,12/31/2017
KRAOMITA MALAGASY S.A.,Private,3000013550,Mining,"Chromite, Or, Barityne, Pyrite, Chalcopyrite",http://www.kraoma.mg/,,5211120192.38,Madagascar,MDG,2017,1/1/2017,12/31/2017
MADAGASCAR CONSOLIDATED MINING SA,Private,1000021122,Mining,"Coal, Charcoal, Copper, Nickel, Cobalt, Silver, Gold, Zinc, Platinum",https://www.set.or.th/set/factsheet.do?symbol=PTT&ssoPageId=3&language=en&country=US,,442777804.28,Madagascar,MDG,2017,1/1/2017,12/31/2017
MADAGASCAR INTERNATIONAL TAK MINING SARL,Private,4000359254,Mining,"Chromium, nickel, Cobalt, Gold, Rare earths, Molybdenum, bauxite",,,741245936.0,Madagascar,MDG,2017,1/1/2017,12/31/2017
MADAGASCAR OIL SA,Private,2000006347,Oil,Any type of hydrocarbon,https://www.madagascaroil.com/,,649748352.26,Madagascar,MDG,2017,1/1/2017,12/31/2017
MAINLAND MINING SARLU,Private,4000373475,Mining,"Zircon, Ilménite",,,1553303614.62,Madagascar,MDG,2017,1/1/2017,12/31/2017
MASINA INDUSTRY GROUP MADAGASCAR SARL,Private,5000345950,Mining,"Gold, Silver, Iron, Copper, Zinc, Lead, Graphite, Sapphire, Phlogopite, Beryllium",,,541500044.0,Madagascar,MDG,2017,1/1/2017,12/31/2017
NOVA RESSOURCES SARLU,Private,4000422774,Mining,"Or, Platine, Labradorite",,,1287238974.0,Madagascar,MDG,2017,1/1/2017,12/31/2017
OMV OFFSHORE MORONDAVA,Private,3001572807,Oil,Hydrocarbons (Oil and gas),https://www.omv.com/en/news/omv-expands-portfolio-in-madagascar,,1043266761.05,Madagascar,MDG,2017,1/1/2017,12/31/2017
OYSTER MADAGASCAR LIMITED,Private,4002632371,Oil,Conventional oil,www.sedar.com,,1030663352.0,Madagascar,MDG,2017,1/1/2017,12/31/2017
PURA VIDA ENERGY SUCCURSALE MADAGASCAR,Private,3002498106,Oil,Hydrocarbons,https://www.asx.com.au/asxpdf/20171031/pdf/43nv68rm3f8mrg.pdf,,485478253.77,Madagascar,MDG,2017,1/1/2017,12/31/2017
QIT MADAGASCAR MINERALS S.A.,Private,4000164665,Mining,"Ilménite, Zircon, Rutile",https://www.riotinto.com/energyandminerals/about-qit-madagascar-minerals-15376-fr.aspx,,14275379482.28,Madagascar,MDG,2017,1/1/2017,12/31/2017
RED GRANITI MADAGASCAR SARL,Private,3000024655,Mining,"Labradorite, Garnet, Marble, Quartzite",https://www.redgraniti.com/en/r-e-d-in-the-world/production-companies/,,1096102605.09,Madagascar,MDG,2017,1/1/2017,12/31/2017
SOCIETE LABRADOR MADAGASCAR SARL,Private,4000027932,Mining,Labradorite,,,685751130.81,Madagascar,MDG,2017,1/1/2017,12/31/2017
