Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
CMM,Private,081102335F,Mining,Cement (distribution),,Yes,606053086.0,Mali,MLI,2017,1/1/2017,12/31/2017
DIAMOND CEMENT,Private,081104190G,Mining,Cement,,Yes,1576201795.0,Mali,MLI,2017,1/1/2017,12/31/2017
EMM,Private,087800054F,Mining,Water,,Yes,1429403074.0,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Private,087800848K,Mining,Mining products,Nc,Yes,20080857291.0,Mali,MLI,2017,1/1/2017,12/31/2017
GOUNKOTO,Private,087800766A,Mining,Gold,Nc,Yes,48530529818.0,Mali,MLI,2017,1/1/2017,12/31/2017
IAMGOLD,Private,087800681E,Mining,Mining products,Toronto,Yes,273444016.0,Mali,MLI,2017,1/1/2017,12/31/2017
KOFI.SA,Private,081127797Y,Mining,Mining products,,Yes,4558360944.0,Mali,MLI,2017,1/1/2017,12/31/2017
MMR,Private,087800566G,Mining,Exploration,,Yes,54061703.0,Mali,MLI,2017,1/1/2017,12/31/2017
MORILA,Private,0878 00368L,Mining,Mining products,NASDAQ (Gold),Yes,13193286428.0,Mali,MLI,2017,1/1/2017,12/31/2017
NAMPALA,Private,087800776J,Mining,Gold,Bourse de Francfort,Yes,2765450447.0,Mali,MLI,2017,1/1/2017,12/31/2017
NEVSUN,Private,087800533T,Mining,Gold,Nc,Yes,158099239.0,Mali,MLI,2017,1/1/2017,12/31/2017
PETROMA,Private,087800617C,Oil,Oil exploration,Nc,Yes,474389621.0,Mali,MLI,2017,1/1/2017,12/31/2017
RANDGOLD,Private,087800180A,Mining,Mining products,NASDAQ,Yes,1272300885.0,Mali,MLI,2017,1/1/2017,12/31/2017
RAZEL MALI,Private,087800709Y,Mining,Quarry products,,Yes,278334267.0,Mali,MLI,2017,1/1/2017,12/31/2017
SEMICO,Private,087800378X,Mining,Mining products,,Yes,35773321365.0,Mali,MLI,2017,1/1/2017,12/31/2017
SEMOS,Private,087800209E,Mining,Gold,Johannesburg et Toronto,Yes,25357237979.0,Mali,MLI,2017,1/1/2017,12/31/2017
SMK,Private,087800828P,Mining,Mining products,Nc,Yes,193491422.0,Mali,MLI,2017,1/1/2017,12/31/2017
SOCARCO,Private,087800500E,Mining,Quarry products,,Yes,1211086270.0,Mali,MLI,2017,1/1/2017,12/31/2017
SOMIFI.SA,Private,087800795T,Mining,Mining products,ASX (Australian Securities Exchange),Yes,41819428.0,Mali,MLI,2017,1/1/2017,12/31/2017
SOMIKA,Private,087800504A,Mining,Gold,Toronto,Yes,1683442413.0,Mali,MLI,2017,1/1/2017,12/31/2017
SOMILO,Private,087800300L,Mining,Gold,Nc,Yes,108906362663.0,Mali,MLI,2017,1/1/2017,12/31/2017
SOMISY,Private,087800040B,Mining,Mining products,ASX (Australian Securities Exchange),Yes,40516279525.0,Mali,MLI,2017,1/1/2017,12/31/2017
WASSOULOU,Private,087800492H,Mining,Mining products,Nc,Yes,1502474942.0,Mali,MLI,2017,1/1/2017,12/31/2017
YATELA,Private,087800382N,Mining,Gold,Johannesburg et Toronto,Yes,1309913399.0,Mali,MLI,2017,1/1/2017,12/31/2017
