Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Agnico Eagle,,AEM050110CF8,Mining,"Oro, Plata",https://www.agnicoeagle.com/English/home/default.aspx,,606592226.0,Mexico,MEX,2018,1/1/2018,12/31/2018
Alamos Gold,,MON001215JC0,Mining,"Oro, Plata",https://www.alamosgold.com/home/default.aspx,,301012076.0,Mexico,MEX,2018,1/1/2018,12/31/2018
Argonaut Gold,,MPI0208133S5,Mining,,https://www.argonautgold.com/English/home/default.aspx,,45228251.0,Mexico,MEX,2018,1/1/2018,12/31/2018
"BHP BILLITON PETROLEO OPERACIONES DE MEXICO, S. DE R.L. DE C.V.",,BBP141211LC5,Oil & Gas,"Oil, Gas, Condensates",https://www.bhp.com/espanol/negocios/petroleo/,,46011958.78,Mexico,MEX,2018,1/1/2018,12/31/2018
BP Exploration Mexico SA de CV,,BEM1501265QA,Oil & Gas,"Oil, Gas, Condensates",https://www.bp.com/es_mx/mexico/home.html,,96046468.55,Mexico,MEX,2018,1/1/2018,12/31/2018
Baramin,,BAR 810427 FU2,Mining,Mineral de Bario,http://www.baramin.com.mx/sitio/,,9977146.0,Mexico,MEX,2018,1/1/2018,12/31/2018
Chevron Energía de México,,CEM050429KE2,Oil & Gas,"Oil, Gas, Condensates",https://www.chevron.com/,,118674052.56,Mexico,MEX,2018,1/1/2018,12/31/2018
Deutsche Erdoel Mexico,,,Oil & Gas,"Oil, Gas, Condensates",,,51147000.0,Mexico,MEX,2018,1/1/2018,12/31/2018
"EQUINOR UPSTREAM MÉXICO, S.A. DE C.V.",,SEM150122M86,Oil & Gas,"Oil, Gas, Condensates",https://www.equinor.com/en/where-we-are/mexico.html,,28337661.18,Mexico,MEX,2018,1/1/2018,12/31/2018
"EXXONMOBIL EXPLORACION Y PRODUCCION MEXICO, S.R.L DE C.V.",,EEP141210RV0,Oil & Gas,"Oil, Gas, Condensates",https://corporate.exxonmobil.com/Locations/Mexico,,113836437.88,Mexico,MEX,2018,1/1/2018,12/31/2018
Fieldwood Energy E&P Mexico S.de R.L de C.V,,FEE151020SI0,Oil & Gas,"Oil, Gas, Condensates",https://www.fieldwoodenergy.com/,,1900589.92,Mexico,MEX,2018,1/1/2018,12/31/2018
Grupo Fresnillo,,"MFR971117KU1, entre otros",Mining,,http://www.fresnilloplc.com/quienes-somos/,,3332424431.0,Mexico,MEX,2018,1/1/2018,12/31/2018
Grupo México,,"IMM8505281U0, entre otros",Mining,"Zinc, Plomo, Cobre, Coque Metalúrgico",https://www.gmexico.com/,,8198782557.0,Mexico,MEX,2018,1/1/2018,12/31/2018
Grupo Peñoles,,"MTI920514587, entre otros",Mining,,http://www.penoles.com.mx,,4463308106.0,Mexico,MEX,2018,1/1/2018,12/31/2018
Jaguar Exploración Y Producción De Hidrocarburos,,JEP1709042B1,Oil & Gas,"Oil, Gas, Condensates",https://www.jaguar-ep.com/,,122228409.57,Mexico,MEX,2018,1/1/2018,12/31/2018
LEA Gold,,DMS050731LX7,Mining,"Oro, Plata",,,114074876.0,Mexico,MEX,2018,1/1/2018,12/31/2018
Las Encinas,,ENC510604CL5,Mining,Mineral de Hierro,https://mx.ternium.com/es/nuestra-empresa/desarrollo-minero,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Operadora de Campos DWF,,,Oil & Gas,"Oil, Gas, Condensates",,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Pantera,,,Oil & Gas,"Oil, Gas, Condensates",,,1634476.5,Mexico,MEX,2018,1/1/2018,12/31/2018
Pemex Exploración y Producción,,PEP9207167XA,Oil & Gas,"Oil, Gas, Condensates",https://www.pemex.com/Paginas/default.aspx,,531843971013.7,Mexico,MEX,2018,1/1/2018,12/31/2018
