Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Ai Bi Bi Ai,Private,5809797,Mining,"Gold, copper",Not applicable,Not applicable,768072.99,Mongolia,MNG,2020,1/1/2020,12/31/2020
Aum Gold,Private,3555763,Mining,"Gold, copper",Not applicable,Not applicable,215734.33,Mongolia,MNG,2020,1/1/2020,12/31/2020
Baganuur,State-owned enterprises & public corporations,2008572,Mining,Coal,https://baganuurmine.mn/,https://shilendans.gov.mn/org/5244?form=4760006&year=2020&month=12&group=0&task=725,5817053.45,Mongolia,MNG,2020,1/1/2020,12/31/2020
Bayan Airag Exploration,Private,2708701,Mining,"Gold, copper",http://www.bayanairag.com/mn/,Not applicable,3808699.29,Mongolia,MNG,2020,1/1/2020,12/31/2020
Bayangol Eco Zaamar,Private,5906865,Mining,"Gold, copper",Not applicable,Not applicable,275889.16,Mongolia,MNG,2020,1/1/2020,12/31/2020
Bayanjonsh,Private,2696304,Mining,"Gold, copper",Not applicable,Not applicable,119579.7,Mongolia,MNG,2020,1/1/2020,12/31/2020
Boroo Gold,Private,2094533,Mining,"Gold, copper",http://www.boroogold.mn/mn,Not applicable,3290772.81,Mongolia,MNG,2020,1/1/2020,12/31/2020
Burdel Mining,Private,5722942,Mining,"Gold, copper",http://www.burdelmining.mn/,Not applicable,8409365.92,Mongolia,MNG,2020,1/1/2020,12/31/2020
COAL,Private,5261198,Mining,Coal,Not applicable,Not applicable,2541882.75,Mongolia,MNG,2020,1/1/2020,12/31/2020
Centerra Gold Mongolia,Private,2108291,Mining,"Gold, copper",Not applicable,Not applicable,148750.78,Mongolia,MNG,2020,1/1/2020,12/31/2020
DZ and I,Private,2570769,Mining,"Gold, copper",Not applicable,Not applicable,297894.78,Mongolia,MNG,2020,1/1/2020,12/31/2020
Draper Capital Mongolia,Private,5838266,Mining,"Gold, copper",Not applicable,Not applicable,107707.87,Mongolia,MNG,2020,1/1/2020,12/31/2020
Energy Resources,Private,2887746,Mining,Coal,https://www.energyresources.mn/,Not applicable,63956346.63,Mongolia,MNG,2020,1/1/2020,12/31/2020
Erdene Mongol,Private,2718243,Mining,"Gold, copper",Not applicable,Not applicable,259969.28,Mongolia,MNG,2020,1/1/2020,12/31/2020
Erdenes Silver Resources,Private,6436226,Mining,"Gold, copper",http://erdenessilver.mn/,Not applicable,497011.19,Mongolia,MNG,2020,1/1/2020,12/31/2020
Erdenes Tavan Tolgoi,State-owned enterprises & public corporations,5435528,Mining,Coal,https://ett.mn/mn,https://shilendans.gov.mn/org/5232?form=4743169&year=2020&month=12&group=0&task=697,164547794.0,Mongolia,MNG,2020,1/1/2020,12/31/2020
Erdenes Tsagaan Suvarga,Private,5824826,Mining,"Gold, copper",Not applicable,Not applicable,437702.13,Mongolia,MNG,2020,1/1/2020,12/31/2020
Erdenet,State-owned enterprises & public corporations,2074192,Mining,"Gold, copper",https://www.erdenetmc.mn/,https://shilendans.gov.mn/org/5239?form=4818476&year=2020&month=12&group=0&task=731,345392034.68,Mongolia,MNG,2020,1/1/2020,12/31/2020
