Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Africa Great Wall Mining Development Company,Private,400182426,Mining,"Ilmenite, Zircon",,,84306435.46,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"CINAC - CIMENTOS DE NACALA, SA",Private,400207763,Mining,Chalk,,,27464542.63,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Cimento Nacional, Lda",Private,400275319,Mining,Chalk,,,14765587.73,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Cimentos de Moçambique,Private,400002762,Mining,Chalk,,,156476898.92,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Companhia Moçambicana de Gasoduto, S.A. (CMG)",State-owned enterprises & public corporations,400102971,Gas,Gas,,,283599108.09,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Companhia Moçambicana de Hidrocarbonetos (CMH),State-owned enterprises & public corporations,400102961,Oil & Gas,Gas,http://bvm.co.mz/index.php/pt/mercado/empresas-cotadas/199-cmh,,1725492616.34,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"ENH-KOGAS, S.A",State-owned enterprises & public corporations,400415242,Gas,Gas,,,45560458.51,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Empresa Moçambicana de Exploração Mineira,State-owned enterprises & public corporations,400267871,Mining,Minerals,,,11038310.95,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Empresa Nacional de Hidrocarbonetos, EP (ENH)",State-owned enterprises & public corporations,600000241,Oil & Gas,Gas,,,366219076.88,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Eni Mozambico S.p.A,Private,400497931,Gas,Gas,,,152480155.81,Mozambique,MOZ,2019,1/1/2019,12/31/2019
ExxonMobil,Private,400804893,Gas,Gas,,,528899992.49,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Fábrica de Xaropes e Refrigerantes Vumba,Private,400054401,Mining,Water,,,38268246.87,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Haiyu Mozambique Mining Co, Lda",Private,400267057,Mining,"Ilmenite, Zircon",,,25674279.57,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"ICVL Zambeze, Lda",Private,400191824,Mining,Coal,,,16584903.41,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"JSPL Mozambique Minerals, Lda",Private,400206791,Mining,Coal,,,89371324.83,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Kenmare Moma Mining (Mauritius) Limited,Private,400090688,Mining,"Zircon, Ilmenite, Rutilo",,,834636683.97,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Limak Cimentos, SA",Private,400581282,Mining,Water,,,16507197.26,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Matola Gas Company, SA",Private,Not available,Gas,Gas,,,978565437.94,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Minas de Benga,Private,400148066,Mining,Coal,,,337872517.94,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Minas de Revuboé, Lda",Private,400185182,Mining,Coal,,,22517721.41,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Montepuez Rubi Mining (MRM),Private,400323811,Mining,Ruby,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Mozambique Heavy Sands Company VII,Private,400286787,Mining,Heavy sands,,,21112248.24,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Mozambique Rovuma Venture, SPA",Private,400167265,Gas,Gas,,,1715727699.14,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Republic of Mozambique Pipeline Company - ROMPCO,Private,400962294,Gas,Gas,,,2310479007.86,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Sasol Petroleum Temane, Lda",Private,400077142,Gas,Gas,,,4334063478.86,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Sociedade Águas de Moçambique, Lda",Private,400072477,Mining,Water,,,26179017.63,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Total E&P Mozambique Area 1, Lda",Private,400162621,Gas,Gas,,,1841436357.78,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Twigg Exploration Mining,Private,400167443,Mining,Graphite,,,329200657.13,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Vale Moçambique, SA",Private,400134081,Mining,Coal,,,2438827544.18,Mozambique,MOZ,2019,1/1/2019,12/31/2019
