Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
A&B Global Strategy Limited,Private,,Mining,"Granite, Stone Dust",Non-quoted,,20484.27,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Private,333615,Oil & Gas,Crude oil & Natural gas,Non-quoted,,123079045.17,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Exploration Nigeria Limited,Private,333613,Oil & Gas,Crude oil & Natural gas,Non-quoted,,51094917.97,Nigeria,NGA,2018,1/1/2018,12/31/2018
Agip Energy and Natural Resources (AENR),Private,33455,Oil & Gas,Crude oil & Natural gas,Non-quoted,,22244654.08,Nigeria,NGA,2018,1/1/2018,12/31/2018
Aiteo Eastern E&P Co. Limited,Private,1153065,Oil & Gas,Crude oil & Natural gas,Non-quoted,,110115387.69,Nigeria,NGA,2018,1/1/2018,12/31/2018
Akins Gems Ltd,Private,,Mining,"Lead-zinc,Tin",Non-quoted,,12345.34,Nigeria,NGA,2018,1/1/2018,12/31/2018
Amalgamated Oil Company Nigeria Limited,Private,158665,Oil & Gas,Crude oil & Natural gas,Non-quoted,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Amni International Petroleum Limited,Private,224901,Oil & Gas,Crude oil & Natural gas,Non-quoted,,24353700.61,Nigeria,NGA,2018,1/1/2018,12/31/2018
Arab Contractors O.A.O. Nigeria Ltd.,Private,161580,Mining,"Granite, Stone Dust",Non-quoted,,2437690.53,Nigeria,NGA,2018,1/1/2018,12/31/2018
Ashakacem Limited,Private,13422,Mining,Limestone,,,7472056.09,Nigeria,NGA,2018,1/1/2018,12/31/2018
Asphalt Unity Construction limited,Private,605393,Mining,Granite,Non-quoted,,299736.4,Nigeria,NGA,2018,1/1/2018,12/31/2018
Atlas Petroleum Nigeria Limited,Private,9082,Oil & Gas,Crude oil & Natural gas,Non-quoted,,4605313.72,Nigeria,NGA,2018,1/1/2018,12/31/2018
BUA International Limited,Private,,Mining,"Limestone, Clay",Non-quoted,,1712741.66,Nigeria,NGA,2018,1/1/2018,12/31/2018
Bayelsa Oil Company Limited,Private,379607,Oil & Gas,Crude oil & Natural gas,Non-quoted,,271381.71,Nigeria,NGA,2018,1/1/2018,12/31/2018
Belema Oil Producing Limited,Private,1087839,Oil & Gas,Crude oil & Natural gas,Non-quoted,,232143082.84,Nigeria,NGA,2018,1/1/2018,12/31/2018
Brasoil Oil Services Company Nigeria Limited,Private,,Oil & Gas,Crude oil & Natural gas,Non-quoted,,1354749.3,Nigeria,NGA,2018,1/1/2018,12/31/2018
Brittania U-Nigeria,Private,284481,Oil & Gas,Crude oil & Natural gas,Non-quoted,,1600037.29,Nigeria,NGA,2018,1/1/2018,12/31/2018
C.C.C. Construction Nigeria Limited,Private,,Mining,"Granite, Laterite",Non-quoted,,307476.83,Nigeria,NGA,2018,1/1/2018,12/31/2018
C.G.C Nigeria Limited,Private,298534,Mining,"Granite, Stone Dust, Laterite",Non-quoted,,8977319.65,Nigeria,NGA,2018,1/1/2018,12/31/2018
CCECC Nigeria Ltd.,Private,938627,Mining,"Granite, Stone dust",Non-quoted,,8251321.34,Nigeria,NGA,2018,1/1/2018,12/31/2018
CCNC Nigeria Limited,Private,3111,Mining,Limestone,Non-quoted,,34568.04,Nigeria,NGA,2018,1/1/2018,12/31/2018
CLC Technical & Engineering Nigeria Limited,Private,1093915,Mining,"Granite, Stone Dust",Non-quoted,,13458.58,Nigeria,NGA,2018,1/1/2018,12/31/2018
CNC Engineering Co.Limited,Private,671630,Mining,"Granite, Stone Dust",Non-quoted,,34252.1,Nigeria,NGA,2018,1/1/2018,12/31/2018
CNC Mining Company Limited,Private,716303,Mining,"Granite, Stone Dust,",Non-quoted,,57695.44,Nigeria,NGA,2018,1/1/2018,12/31/2018
Camac Nigeria Limited,Private,94596,Oil & Gas,Crude oil & Natural gas,Non-quoted,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Cement Company of Nothern Nigeria Plc.,Private,210299,Mining,"Shale, Limestone, Sand",Quoted,,5275277.6,Nigeria,NGA,2018,1/1/2018,12/31/2018
Century Energy Resources Limited,Private,,Oil & Gas,Crude oil & Natural gas,Non-quoted,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Chevron Nigeria Limited,Private,6135,Oil & Gas,Crude oil & Natural gas,Non-quoted,,929386281.24,Nigeria,NGA,2018,1/1/2018,12/31/2018
Chevron Petroleum Nigeria Limited,Private,234923,Oil & Gas,Crude oil & Natural gas,Non-quoted,,505023.42,Nigeria,NGA,2018,1/1/2018,12/31/2018
China National Oil Development Co.,Private,643085,Oil & Gas,Crude oil & Natural gas,Non-quoted,,41509472.13,Nigeria,NGA,2018,1/1/2018,12/31/2018
China Zhongho (Nig.) Ltd.,Private,441280,Mining,"Granite, Literite",Non-quoted,,14329.82,Nigeria,NGA,2018,1/1/2018,12/31/2018
Chorus Energy Limited,Private,417639,Oil & Gas,Crude oil & Natural gas,Non-quoted,,739618.87,Nigeria,NGA,2018,1/1/2018,12/31/2018
Conoil Producing Ltd,Private,468814,Oil & Gas,Crude oil & Natural gas,Non-quoted,,10187767.0,Nigeria,NGA,2018,1/1/2018,12/31/2018
Conrok Nig. Ltd,Private,991881,Mining,Granite,Non-quoted,,21473.34,Nigeria,NGA,2018,1/1/2018,12/31/2018
Continental Oil and Gas Company (CONOG),Private,219282,Oil & Gas,Crude oil & Natural gas,Non-quoted,,49334143.31,Nigeria,NGA,2018,1/1/2018,12/31/2018
Crushed Rock Industries (Nigeria) Ltd,Private,17766,Mining,"Granite, Stone Dust",Non-quoted,,87116.9,Nigeria,NGA,2018,1/1/2018,12/31/2018
Dangote Cement Plc,Private,208767,Mining,"Limestone, Clay, Laterite, Sand, Shale",Quoted,,102833316.6,Nigeria,NGA,2018,1/1/2018,12/31/2018
Dantata & Sawoe Construction Company (Nigeria) Ltd,Private,18876,Mining,"Granite, Laterite",Non-quoted,,1237860.08,Nigeria,NGA,2018,1/1/2018,12/31/2018
Datum Construction (Nig) Ltd.,Private,148231,Mining,Granite,Non-quoted,,272313.3,Nigeria,NGA,2018,1/1/2018,12/31/2018
Dell Sigma Petroleum Ltd,Private,,Oil & Gas,Crude oil & Natural gas,Non-quoted,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Don & Chyke Nig. Ltd,Private,134812,Mining,"Tin, Columbite",Non-quoted,,23702.08,Nigeria,NGA,2018,1/1/2018,12/31/2018
Dubri Oil Company Limited,Private,92967,Oil & Gas,Crude oil & Natural gas,Non-quoted,,9382733.48,Nigeria,NGA,2018,1/1/2018,12/31/2018
E. B. H. Granite Limited,Private,752319,Mining,Granite,Non-quoted,,50274.64,Nigeria,NGA,2018,1/1/2018,12/31/2018
Elcrest Exploration and Production Nigeria Limited (Elcrest),Private,929676,Oil & Gas,Crude oil & Natural gas,Non-quoted,,36460722.44,Nigeria,NGA,2018,1/1/2018,12/31/2018
Emerald Energy Resources Limited,Private,312274,Oil & Gas,Crude oil & Natural gas,Non-quoted,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Enageed Resources Limited,Private,300526,Oil & Gas,Crude oil & Natural gas,Non-quoted,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Energia Limited,Private,424454,Oil & Gas,Crude oil & Natural gas,Non-quoted,,7467542.32,Nigeria,NGA,2018,1/1/2018,12/31/2018
Equinor Nigeria Energy Company Limited,Private,186901,Oil & Gas,Crude oil & Natural gas,Non-quoted,,826180508.87,Nigeria,NGA,2018,1/1/2018,12/31/2018
Eroton E&P Company Limited,Private,1137060,Oil & Gas,Crude oil & Natural gas,Non-quoted,,104781559.45,Nigeria,NGA,2018,1/1/2018,12/31/2018
Esso E&P (Offshore East) Nigeria Limited,Private,214533,Oil & Gas,Crude oil & Natural gas,Non-quoted,,194386600.71,Nigeria,NGA,2018,1/1/2018,12/31/2018
Esso E&P Nigeria Limited,Private,214536,Oil & Gas,Crude oil & Natural gas,Non-quoted,,355902942.18,Nigeria,NGA,2018,1/1/2018,12/31/2018
Excel Exploration & Production Limited,Private,408410,Oil & Gas,Crude oil & Natural gas,Non-quoted,,614343.14,Nigeria,NGA,2018,1/1/2018,12/31/2018
Express Petroleum & Gas Co. Limited,Private,154941,Oil & Gas,Crude oil & Natural gas,Non-quoted,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Famfa Oil Limited,Private,172534,Oil & Gas,Crude oil & Natural gas,Non-quoted,,500108638.4,Nigeria,NGA,2018,1/1/2018,12/31/2018
First E & P Development Company,Private,,Oil & Gas,Crude oil & Natural gas,Non-quoted,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
First Hydrocarbon Nigeria,Private,827328,Oil & Gas,Crude oil & Natural gas,Non-quoted,,292827.94,Nigeria,NGA,2018,1/1/2018,12/31/2018
First Patriot Limited,Private,1348026,Mining,"Columbite,Lead-zinc, Tin ore",Non-quoted,,435045.68,Nigeria,NGA,2018,1/1/2018,12/31/2018
Folawiyo Aje Services Limited,Private,1066973,Oil & Gas,Crude oil & Natural gas,Non-quoted,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Frontier Oil Limited,Private,411784,Oil & Gas,Crude oil & Natural gas,Non-quoted,,7637859.59,Nigeria,NGA,2018,1/1/2018,12/31/2018
Ganan Construction Company Ltd,Private,938857,Mining,"Granite, Stone dust",Non-quoted,,115072.51,Nigeria,NGA,2018,1/1/2018,12/31/2018
Georgio Rocks Limited,Private,456171,Mining,"Granite, Stone Dust",Non-quoted,,92086.32,Nigeria,NGA,2018,1/1/2018,12/31/2018
Gerawa Global Engineering Ltd,Private,377481,Mining,"Literite, Granite",Non-quoted,,79283.67,Nigeria,NGA,2018,1/1/2018,12/31/2018
Gilmor Engineering (Nigeria) Limited,Private,329599,Mining,"Granite , Literite",Non-quoted,,5217886.68,Nigeria,NGA,2018,1/1/2018,12/31/2018
Green Energy International Limited,Private,651754,Oil & Gas,Crude oil & Natural gas,Non-quoted,,3222933.19,Nigeria,NGA,2018,1/1/2018,12/31/2018
Hitech Construction Co. Ltds,Private,113108,Mining,Granite,Non-quoted,,1309791.5,Nigeria,NGA,2018,1/1/2018,12/31/2018
Inorganic Earth Resources Limited,Private,757746,Mining,"Granite, Stone Dust",Non-quoted,,15668.77,Nigeria,NGA,2018,1/1/2018,12/31/2018
Jinziang Quarry Co. Ltd,Private,1143506,Mining,Granite,Non-quoted,,62589.86,Nigeria,NGA,2018,1/1/2018,12/31/2018
Julius Berger Nigeria Plc,Private,6852,Mining,"Granite, Stone Dust, Laterite",Quoted,,17027418.95,Nigeria,NGA,2018,1/1/2018,12/31/2018
