Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
A/S Norske Shell,Private,914807077,Oil & Gas,"Oil, Gas, Condensates",,,6519061141.0,Norway,NOR,2017,1/1/2017,12/31/2017
Aker BP AS,Private,930459321,Oil & Gas,"Oil, Gas, Condensates",,,444683310.0,Norway,NOR,2017,1/1/2017,12/31/2017
Aker BP ASA,Private,989795848,Oil & Gas,"Oil, Gas, Condensates",,,-342032126.0,Norway,NOR,2017,1/1/2017,12/31/2017
Atlantic Petroleum Norge AS,Private,996460088,Oil & Gas,"Oil, Gas, Condensates",,,-22902039.0,Norway,NOR,2017,1/1/2017,12/31/2017
BP Norge AS,Private,986615806,Oil & Gas,"Oil, Gas, Condensates",,,-2257605787.0,Norway,NOR,2017,1/1/2017,12/31/2017
Bayerngas Norge AS,Private,989490168,Oil & Gas,"Oil, Gas, Condensates",,,-274827015.0,Norway,NOR,2017,1/1/2017,12/31/2017
CapeOmega AS,Private,913776712,Oil & Gas,"Oil, Gas, Condensates",,,938977466.0,Norway,NOR,2017,1/1/2017,12/31/2017
Capricorn Norge AS,Private,994434403,Oil & Gas,"Oil, Gas, Condensates",,,-247398294.0,Norway,NOR,2017,1/1/2017,12/31/2017
Centrica Resources Norge AS,Private,990089655,Oil & Gas,"Oil, Gas, Condensates",,,38466000.0,Norway,NOR,2017,1/1/2017,12/31/2017
Chevron Norge AS,Private,930322784,Oil & Gas,"Oil, Gas, Condensates",,,-68665256.0,Norway,NOR,2017,1/1/2017,12/31/2017
Concedo ASA,Private,988217867,Oil & Gas,"Oil, Gas, Condensates",,,-109107737.0,Norway,NOR,2017,1/1/2017,12/31/2017
ConocoPhillips Skandinavia AS,Private,918110127,Oil & Gas,"Oil, Gas, Condensates",,,2118505384.0,Norway,NOR,2017,1/1/2017,12/31/2017
DEA Norge AS,Private,926620207,Oil & Gas,"Oil, Gas, Condensates",,,410919088.0,Norway,NOR,2017,1/1/2017,12/31/2017
DNO Norge AS,Private,913905881,Oil & Gas,"Oil, Gas, Condensates",,,-271630763.0,Norway,NOR,2017,1/1/2017,12/31/2017
Dana Petroleum Norway AS,Private,987863749,Oil & Gas,"Oil, Gas, Condensates",,,-36184587.0,Norway,NOR,2017,1/1/2017,12/31/2017
Dong E&P AS,Private,931713671,Oil & Gas,"Oil, Gas, Condensates",,,-13031000.0,Norway,NOR,2017,1/1/2017,12/31/2017
Edison Norge AS,Private,914515300,Oil & Gas,"Oil, Gas, Condensates",,,-317977445.0,Norway,NOR,2017,1/1/2017,12/31/2017
Engie E&P Norge AS,Private,983426417,Oil & Gas,"Oil, Gas, Condensates",,,52483000.0,Norway,NOR,2017,1/1/2017,12/31/2017
Eni Norge AS,Private,919160675,Oil & Gas,"Oil, Gas, Condensates",,,-128409651.0,Norway,NOR,2017,1/1/2017,12/31/2017
Equinor Energy AS,State-owned enterprises & public corporations,990888213,Oil & Gas,"Oil, Gas, Condensates",,,54429441612.0,Norway,NOR,2017,1/1/2017,12/31/2017
ExxonMobil Expl. and Prod. Norway AS,Private,914048990,Oil & Gas,"Oil, Gas, Condensates",,,7607207094.0,Norway,NOR,2017,1/1/2017,12/31/2017
ExxonMobil Production Norway Inc.,Private,924956917,Oil & Gas,"Oil, Gas, Condensates",,,1663798906.0,Norway,NOR,2017,1/1/2017,12/31/2017
Faroe Petroleum Norge AS,Private,989399071,Oil & Gas,"Oil, Gas, Condensates",,,-439258761.0,Norway,NOR,2017,1/1/2017,12/31/2017
Fortis Petroleum Norway AS,Private,990554382,Oil & Gas,"Oil, Gas, Condensates",,,-71222330.0,Norway,NOR,2017,1/1/2017,12/31/2017
INEOS E&P Norge AS,Private,931713671,Oil & Gas,"Oil, Gas, Condensates",,,2708602680.0,Norway,NOR,2017,1/1/2017,12/31/2017
Idemitsu Petroleum Norge AS,Private,953133210,Oil & Gas,"Oil, Gas, Condensates",,,1171732476.0,Norway,NOR,2017,1/1/2017,12/31/2017
Infragas Norge AS,Private,997229088,Oil & Gas,"Oil, Gas, Condensates",,,560048373.0,Norway,NOR,2017,1/1/2017,12/31/2017
Inpex Norge AS,Private,913120981,Oil & Gas,"Oil, Gas, Condensates",,,-75102814.0,Norway,NOR,2017,1/1/2017,12/31/2017
KUFPEC Norway AS,Private,946680591,Oil & Gas,"Oil, Gas, Condensates",,,-30561069.0,Norway,NOR,2017,1/1/2017,12/31/2017
LOTOS Expl. and Prod. Norge AS,Private,991735194,Oil & Gas,"Oil, Gas, Condensates",,,182772169.0,Norway,NOR,2017,1/1/2017,12/31/2017
Lime Petroleum AS,Private,998726441,Oil & Gas,"Oil, Gas, Condensates",,,-183023068.0,Norway,NOR,2017,1/1/2017,12/31/2017
Lukoil Overseas North Shelf AS,Private,998152550,Oil & Gas,"Oil, Gas, Condensates",,,-66323131.0,Norway,NOR,2017,1/1/2017,12/31/2017
Lundin Norway AS,Private,986209409,Oil & Gas,"Oil, Gas, Condensates",,,-471163756.0,Norway,NOR,2017,1/1/2017,12/31/2017
M Vest Energy AS,Private,916358857,Oil & Gas,"Oil, Gas, Condensates",,,-44374896.0,Norway,NOR,2017,1/1/2017,12/31/2017
MOL Norge AS,Private,988120545,Oil & Gas,"Oil, Gas, Condensates",,,-110123094.0,Norway,NOR,2017,1/1/2017,12/31/2017
Maersk Oil Norway AS,Private,986478434,Oil & Gas,"Oil, Gas, Condensates",,,-133384361.0,Norway,NOR,2017,1/1/2017,12/31/2017
Moeco Oil & Gas Norge AS,Private,998516048,Oil & Gas,"Oil, Gas, Condensates",,,-57757610.0,Norway,NOR,2017,1/1/2017,12/31/2017
Neptune Energy Norge AS,Private,983426417,Oil & Gas,"Oil, Gas, Condensates",,,3934047051.0,Norway,NOR,2017,1/1/2017,12/31/2017
Noreco Norway AS,Private,987008644,Oil & Gas,"Oil, Gas, Condensates",,,-402718110.0,Norway,NOR,2017,1/1/2017,12/31/2017
Norpipe Oil AS,Private,975871932,Oil & Gas,"Oil, Gas, Condensates",,,140931455.0,Norway,NOR,2017,1/1/2017,12/31/2017
Norsea Gas AS,Private,918352074,Oil & Gas,"Oil, Gas, Condensates",,,267436335.0,Norway,NOR,2017,1/1/2017,12/31/2017
North E&P AS,Private,997295684,Oil & Gas,"Oil, Gas, Condensates",,,-68173890.0,Norway,NOR,2017,1/1/2017,12/31/2017
OMV (Norge) AS,Private,988400025,Oil & Gas,"Oil, Gas, Condensates",,,89068690.0,Norway,NOR,2017,1/1/2017,12/31/2017
Okea AS,Private,915419062,Oil & Gas,"Oil, Gas, Condensates",,,-3756094.0,Norway,NOR,2017,1/1/2017,12/31/2017
Other companies - non-rights holders,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Norway,NOR,2017,1/1/2017,12/31/2017
Petrolia NOCO AS,Private,997015231,Oil & Gas,"Oil, Gas, Condensates",,,-28220954.0,Norway,NOR,2017,1/1/2017,12/31/2017
Petrosee AS,Private,Not Available,Oil & Gas,"Oil, Gas, Condensates",,,-635525.0,Norway,NOR,2017,1/1/2017,12/31/2017
Point Resources AS,Private,998852722,Oil & Gas,"Oil, Gas, Condensates",,,-720062386.0,Norway,NOR,2017,1/1/2017,12/31/2017
Production Energy Company AS,Private,990809712,Oil & Gas,"Oil, Gas, Condensates",,,-15000000.0,Norway,NOR,2017,1/1/2017,12/31/2017
RN Nordic Oil AS,Private,998433223,Oil & Gas,"Oil, Gas, Condensates",,,-54764217.0,Norway,NOR,2017,1/1/2017,12/31/2017
Repsol Norge AS,Private,993787787,Oil & Gas,"Oil, Gas, Condensates",,,-116321010.0,Norway,NOR,2017,1/1/2017,12/31/2017
Silex Gas Norway AS,Private,996739910,Oil & Gas,"Oil, Gas, Condensates",,,691811496.0,Norway,NOR,2017,1/1/2017,12/31/2017
