Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AAM-Phil Natural Resources Exploration and Development Corporation,Private,237-852-855-000,Mining,Nickel,,,18454681.31,Philippines,PHL,2018,2018-01-01,2018-12-31
"Adnama Mining Resources, Inc.",Private,245-913-810-000,Mining,Nickel,,,18580333.77,Philippines,PHL,2018,2018-01-01,2018-12-31
"Agata Mining Ventures, Inc.",Private,008-401-882-000,Mining,Nickel,tvird.com.ph,https://tvird.com.ph/financial-reports/,116274808.02,Philippines,PHL,2018,2018-01-01,2018-12-31
"Apex Mining Co., Inc.",Private,000-284-138-000,Mining,"Gold, Silver",apexmines.com,www.apexmines.com/?page_id=425,573009200.06,Philippines,PHL,2018,2018-01-01,2018-12-31
Apo Land and Quarry Corporation,Private,005-011-732-000,Mining,"Limestone, Boulders, Limestone Aggregates",cemexholdingsphilippines.com,www.cemexholdingsphilippines.com/investors/corporate-disclosures/financial-reports,85618775.26,Philippines,PHL,2018,2018-01-01,2018-12-31
Benguet Corporation,Private,000-051-037-000,Mining,Gold,benguetcorp.com,benguetcorp.com/company-disclosures/sec-filings-and-other-disclosures/sec-17-a/ benguetcorp.com/wp-content/uploads/2019/05/BC-Annual-Report-2018_SEC-Form-17-A.pdf,4123398.95,Philippines,PHL,2018,2018-01-01,2018-12-31
"BenguetCorp Nickel Mines, Inc.",Private,007-417-235-000,Mining,Nickel,benguetcorp.com,benguetcorp.com/company-disclosures/sec-filings-and-other-disclosures/sec-17-a/ benguetcorp.com/wp-content/uploads/2019/05/BC-Annual-Report-2018_SEC-Form-17-A.pdf,24569767.68,Philippines,PHL,2018,2018-01-01,2018-12-31
Berong Nickel Corporation,Private,233-903-690-000,Mining,Nickel,dmciholdings.com,dmciholdings.com/investor_relations/financial-reports,165230118.78,Philippines,PHL,2018,2018-01-01,2018-12-31
Bohol Limestone Corporation,Private,005-301-362-000,Mining,Limestone,,,26993856.44,Philippines,PHL,2018,2018-01-01,2018-12-31
CTP Construction and Mining Corporation - Adlay,Private,000-413-957-000,Mining,Nickel,,,337345530.22,Philippines,PHL,2018,2018-01-01,2018-12-31
