Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AFRICA OIL AND GAS CORPORATION (AOGC),,M200511000214077,Oil,"Oil, Gas, Condensates",,,1480093240.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRIWOOD INDUSTRIE,,NC,Other,Produits forestiers,,,259333902.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AKELTON,,NC,Oil,"Oil, Gas, Condensates",,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
ASIA CONGO INDUSTRIES,,NC,Other,Produits forestiers,,,5751946278.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
BOIS ET PLACAGE DE LOPOLA,,M2006110000576152,Other,Produits forestiers,,,310994590.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
BUREN,,NC,Oil,"Oil, Gas, Condensates",,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
CHEVRON OVERSEAS CONGO,,M2006110000393167,Oil,"Oil, Gas, Condensates",,,9152737249.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
CHINA NATIONAL OFFSHORE CORPORATION (CNOOC),,M2009110000648155,Oil,"Oil, Gas, Condensates",,,95486272.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
CMS NOMECO,,NC,Oil,"Oil, Gas, Condensates",,,20596972.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
COMINCO,,M2006110000044115,Mining,Produits miniers,,,16977068.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
CONGO DEJIA WOOD INDUSTRY,,M2006110000802081,Other,Produits forestiers,,,542839455.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
CONGO IRON,,M2009110000461166,Mining,Produits miniers,,,11297804.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
CONGO MINING LTD,,M2008110000574170,Mining,Produits miniers,,,27755097.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
CONGOLAISE INDUSTRIELLE DES BOIS (CIB),,M2005110000375139,Other,Produits forestiers,,,3306094708.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
CONGOREP,,M2006110000391165,Oil,"Oil, Gas, Condensates",,,4200362336.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
CORE MINING CONG,,NC,Mining,Produits miniers,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
DIG OIL,,NC,Oil,"Oil, Gas, Condensates",,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
DMC IRON CONGO EXXARO (racheté par SAPRO en 2016),,NC,Mining,Produits miniers,,,3729330.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
ENI CONGO,,M2006110000151123,Oil,"Oil, Gas, Condensates",Cotée à la bourse de Milan & New Yor,,89061143726.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
ENI CONGO SA,,NC,Mining,Produits miniers,,,7830000.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
ENTREPRISE CHRISTELLE (E.C),,NC,Other,Produits forestiers,,,2889404.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
ESSO,,NC,Oil,"Oil, Gas, Condensates",,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
GENMINES CONGO,,NC,Mining,Produits miniers,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
HEMLA,,M2017110000335120,Oil,"Oil, Gas, Condensates",,,1831798458.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
IFOURET,,NC,Oil,"Oil, Gas, Condensates",,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
INDUSTRIE FORESTIERE DE OUESSO (IFO),,M2005110000351115,Other,Produits forestiers,,,2412597510.0,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
