Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AFRIG SA,,4507995 2Y3,Mining,Phosphate,Not available,Not available,96730144.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Agem Sénégal Exploration SUARL,,4151750 2Y2,Mining,Gold,Not available,Not available,43337727.0,Senegal,SEN,2018,2018-01-01,2018-12-31
BP Senegal Investments Limited,,006420509 2A2,Oil & Gas,Liquid and gaseous hydrocarbons,https://www.bp.com/en/global/corporate/what-we-do/bp-worldwide/bp-in-senegal.html,https://beta.companieshouse.gov.uk/company/09978028,421444391.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Capricorn Senegal Limited (succursale),,4888056 2G2,Oil & Gas,Liquid and gaseous hydrocarbons,https://www.cairnenergy.com/,https://beta.companieshouse.gov.uk/company/SC444808,167583803.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Ciments du Sahel - CDS,,0325995 2G3,Mining,"Limestone, Clay, Laterite, Cement",Not available,Not available,18559251105.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Compagnie Générale d'Exploitation de Carrière - COGECA,,0196784 2G3,Mining,"Basalt, Limestone",Not available,Not available,4644238825.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Dangote Industries Sénégal SA,,2707208 2G3,Mining,"Limestone, Clay, Laterite, Clinker, Cement",http://www.dangotecement.com/operations/senegal/,Not available,11598132671.0,Senegal,SEN,2018,2018-01-01,2018-12-31
FORTESA (succursale),,000415770 2G3,Oil & Gas,Liquid and gaseous hydrocarbons,http://fortesa.com/,Not available,270681316.0,Senegal,SEN,2018,2018-01-01,2018-12-31
GECAMINES SA,,2292168 2G3,Mining,Basalt,Not available,Not available,2499346081.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Grande Côte Opérations - GCO,,2849258 2G3,Mining,"Zirconium ores, Titanium ores",Not available,Not available,8007005014.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Industries Chimiques du Sénégal - ICS,,0022955 2G3,Mining,"Phosphate, Phosphoric acid and Polyphosphoric acid, Mineral or chemical fertilizers, Diammonium phosphate.",http://mx1.ics.sn/profile.html,Not available,483608338.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Kosmos Energy Senegal,,005251822 2A2,Oil & Gas,Liquid and gaseous hydrocarbons,https://www.kosmosenergy.com/senegal/,https://beta.companieshouse.gov.uk/company/10520822,136105736.0,Senegal,SEN,2018,2018-01-01,2018-12-31
La Société des Mines de Fer du Sénégal Oriental,,00238962/G3,Mining,Iron,http://www.miferso.sn/,Not available,,Senegal,SEN,2018,2018-01-01,2018-12-31
Oranto Petroleum Limited,,235988,Oil & Gas,Liquid and gaseous hydrocarbons,Not available,Not available,362242573.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Petowal Mining Company S.A.,,5844700 2G3,Mining,Gold Silver,Not available,Not available,3741277120.0,Senegal,SEN,2018,2018-01-01,2018-12-31
SOCOCIM INDUSTRIES,,0016627 2G3,Mining,"Cement, Limestone, marl-limestone",http://www.sococim.com/SOCOCIM-INDUSTRIES,Not available,22514087166.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Sabodala Gold Operations - SGO,,2850023 2G3,Mining,Gold Silver,http://www.sabodalagold.com/Home/default.aspx,Not available,16241489837.72,Senegal,SEN,2018,2018-01-01,2018-12-31
Sabodala Mining Company,,2464410 0G2,Mining,Gold,Not available,Not available,89490250.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Sephos Senegal SA,,4013041 2G3,Mining,Phosphate,http://www.sephossenegal.com/,Not available,118862346.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Société Minière de la Vallée du fleuve Sénégal – SOMIVA,,4475142 2G3,Mining,Natural phosphate,http://www.somiva-sn.com/,Not available,507328796.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Société Sénégalaise des Phosphates de Thiès - SSPT,,0028797 2G3,Mining,Attapulgite,Not available,Not available,349326759.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Société des pétroles du Sénégal (PETROSEN.SA),,0024498 2G3,Oil & Gas,Liquid and gaseous hydrocarbons,Not available,Not available,371034720.0,Senegal,SEN,2018,2018-01-01,2018-12-31
"Société pour le Développement de l'Industrie, du Tourisme et de l'Habitat au Sénégal - SODEVIT",,0025850 2G3,Mining,Limestone,Not available,Not available,1391236150.0,Senegal,SEN,2018,2018-01-01,2018-12-31
Total E&P Senegal,,6501383 2Y1,Oil & Gas,Liquid and gaseous hydrocarbons,https://www.total.sn/,https://www.brvm.org/sites/default/files/rapport_annuel_2018_total_senegal_0.pdf,1318998884.0,Senegal,SEN,2018,2018-01-01,2018-12-31
WOODSIDE ENERGY,,005014204 2G0,Oil & Gas,Liquid and gaseous hydrocarbons,https://www.woodside.com.au/our-business/senegal,https://beta.companieshouse.gov.uk/company/10245673,539674.0,Senegal,SEN,2018,2018-01-01,2018-12-31
