Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AFRICAN EXPLOSIVES (T) LTD.,Private,100240572,Other,,Not available,Not available,2529153178.49,Tanzania,TZA,2018,2017-07-01,2018-06-30
AUMS (T) LIMITED,Private,128368973,Mining,Gold,Not available,Not available,9784137490.62,Tanzania,TZA,2018,2017-07-01,2018-06-30
BEARING MAN GROUP TANZANIA LIMITED,Private,123219031,Mining,Gold,Not available,Not available,183591310.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
BULYANHULU GOLD MINE LIMITED,Private,100206188,Mining,"Gold, Silver",Not available,Not available,30090034989.54,Tanzania,TZA,2018,2017-07-01,2018-06-30
BUSOLWA MINING LIMITED,Private,122804259,Mining,Gold,Not available,Not available,1312905682.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
EQUINOR TANZANIA AS,Private,105935730,Oil & Gas,Gas,Not available,Not available,875213230.96,Tanzania,TZA,2018,2017-07-01,2018-06-30
GEITA GOLD MINING LIMITED,Private,100222930,Oil & Gas,"Gold, Silver",Not available,Not available,213812467972.73,Tanzania,TZA,2018,2017-07-01,2018-06-30
GLOBELEQ TANZANIA SERVICES LIMITED,Private,101257827,Oil & Gas,Gas,Not available,Not available,229918145.45,Tanzania,TZA,2018,2017-07-01,2018-06-30
GRAYSON BANDA,Private,,Mining,Gold,Not available,Not available,3126118498.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
JAC RIJK AFRICA LIMITED,Private,132575398,Mining,Limestone,Not available,Not available,281861028.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
KATAVI MINING COMPANY LIMITED,Private,109629227,Mining,Gold,Not available,Not available,343529720.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
M&P EXPLORATION PRODUCTION TANZANIA LIMITED,Private,109123196,Oil & Gas,Gas,Not available,Not available,44483966367.36,Tanzania,TZA,2018,2017-07-01,2018-06-30
MANTRA TANZANIA LIMITED.,Private,105158750,Oil & Gas,Gold,Not available,Not available,2545852071.92,Tanzania,TZA,2018,2017-07-01,2018-06-30
MBOGO MINING AND GENERAL SUPPLY LIMITED,Private,119505887,Mining,Gold,Not available,Not available,556657038.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
MURRAY & ROBERTS CEMENTATION (TANZANIA) LTD.,Private,103757290,Mining,Gold,Not available,Not available,41723903.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
NDOVU RESOURCES LIMITED.,Private,100353644,Oil & Gas,Gas,Not available,Not available,4634998826.11,Tanzania,TZA,2018,2017-07-01,2018-06-30
NEELKANTH SALT LIMITED.,Private,118743482,Mining,Salt,Not available,Not available,975217061.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
NITRO EXPLOSIVES (T) LTD.,Private,102027329,Other,,Not available,Not available,665137431.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
NORTH MARA GOLD MINE LIMITED,Private,100220555,Mining,Gold,Not available,Not available,179771046433.69,Tanzania,TZA,2018,2017-07-01,2018-06-30
OXLEY LIMITED,Private,122434656,Mining,Gold,Not available,Not available,297255174.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
PAN AFRICAN ENERGY TANZANIA LIMITED,Private,101181316,Oil & Gas,Gas,Not available,Not available,46011245654.38,Tanzania,TZA,2018,2017-07-01,2018-06-30
PANAFRICAN MINING SERVICES (TANZANIA) LIMITED.,Private,100244209,Mining,Gold,Not available,Not available,811864175.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
PANGEA MINERALS LTD,Private,100227754,Mining,Gold,Not available,Not available,44638127213.7,Tanzania,TZA,2018,2017-07-01,2018-06-30
SEA SALT LIMITED,Private,100233118,Mining,Salt,Not available,Not available,401425793.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
SHANTA MINING COMPANY LIMITED,Private,101849937,Mining,Gold,Not available,Not available,23045572750.22,Tanzania,TZA,2018,2017-07-01,2018-06-30
SHELL EXPLORATION AND PRODUCTION TANZANIA LIMITED,Private,113593865,Oil & Gas,Gas,Not available,Not available,1679106325.06,Tanzania,TZA,2018,2017-07-01,2018-06-30
STAMIGOLD COMPANY LIMITED,State-owned enterprises & public corporations,122545105,Mining,"Silver, Gold",https://www.stamigold.co.tz/,Not available,391249193.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
State Mining Corporation (STAMICO),State-owned enterprises & public corporations,,Mining,Gold,http://www.stamico.co.tz/,Not available,1357092.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
TANSINO QUARRIES LTD.,Private,104907946,Mining,Sandstone,Not available,Not available,310648892.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
TANZANIA CHINA INTERNATIONAL MINERAL RESOURCES LIMITED,Private,115007114,Mining,,Not available,Not available,656955869.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
TANZANIA PORTLAND CEMENT PUBLIC LIMITED COMPANY,Private,,Mining,"Limeston, Sandstone",Not available,Not available,24750760174.02,Tanzania,TZA,2018,2017-07-01,2018-06-30
Tanzania Petroleum Development Corporation (TPDC),State-owned enterprises & public corporations,100183498,Oil & Gas,Gas,https://tpdc.co.tz/,https://tpdc.co.tz/pdfstuff/FINANCIAL%20REPORT%20JUNE2018.pdf,78221966173.04,Tanzania,TZA,2018,2017-07-01,2018-06-30
WEIR MINERALS EAST AFRICA LIMITED,Private,112176187,Mining,Gold,Not available,Not available,106821857.0,Tanzania,TZA,2018,2017-07-01,2018-06-30
WILLIAMSON DIAMONDS LTD.,Private,100108682,Mining,Diamond,Not available,Not available,11332472532.46,Tanzania,TZA,2018,2017-07-01,2018-06-30
