Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
COLAS,Private,1000161037,Mining,Construction,https://www.colas.com/fr/engagement-responsable/mecenat/colas-life/en-route-pour-ecole/mission-togo,Not available,6079400.0,Togo,TGO,2017,2017-01-01,2017-12-31
CRYSTAL SARL,Private,1000165258,Mining,Ground water,https://cristal-togo.com/,Not available,22629333.0,Togo,TGO,2017,2017-01-01,2017-12-31
EBOMAF SA,Private,1000165051,Mining,Construction,http://ebomaf.com/,Not available,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Private,1000165159,Mining,Aggregates,https://www.heidelbergcement.tg/fr/granutogo,Not available,115741206.0,Togo,TGO,2017,2017-01-01,2017-12-31
LES AIGLES,Private,1000161118,Mining,Aggregates,Not available,Not available,6426587.0,Togo,TGO,2017,2017-01-01,2017-12-31
MASTER EQUIPEMENTS SARL,Private,1000298107,Mining,Ground water,Not available,Not available,23422204.0,Togo,TGO,2017,2017-01-01,2017-12-31
MIDNIGHT SUN SA,Private,1000145152,Mining,Construction,https://midnightsun-grp.com/,Not available,,Togo,TGO,2017,2017-01-01,2017-12-31
MM MINING,Private,1000175986,Mining,Iron,Not available,Not available,1386832.0,Togo,TGO,2017,2017-01-01,2017-12-31
Option Transit,Private,1000210645,Mining,Sand,Not available,Not available,2900000.0,Togo,TGO,2017,2017-01-01,2017-12-31
POMAR TOGO SA,Private,1000165087,Mining,Marble,www.pomartogo.com,Not available,591087.0,Togo,TGO,2017,2017-01-01,2017-12-31
SAMARIA,Private,1000163008,Mining,Ground water,Not available,Not available,16024992.0,Togo,TGO,2017,2017-01-01,2017-12-31
SCANTOGO MINES,Private,1000161343,Mining,"Limestone, Clinker, Dolomite",https://www.heidelbergcement.tg/fr/scantogo,Not available,5247088716.0,Togo,TGO,2017,2017-01-01,2017-12-31
SGM SARL,Private,1000165105,Mining,Manganese,Not available,Not available,6776350.0,Togo,TGO,2017,2017-01-01,2017-12-31
SHEHU DAN FODIO,Private,1000164259,Mining,Transport,http://www.ssdf-group.com/index.php/transport,Not available,4247698.0,Togo,TGO,2017,2017-01-01,2017-12-31
SOGEA SATOM,Private,1000166500,Mining,Construction,https://www.sogea-satom.com/sogea-satom/sogea-satomv2.nsf/web/index.htm,Not available,,Togo,TGO,2017,2017-01-01,2017-12-31
Societe Africaine de Dragage (SAD),Private,1000118827,Mining,Sand,Not available,Not available,19268839.0,Togo,TGO,2017,2017-01-01,2017-12-31
Societe Nouvelle des Phosphates du Togo (SNPT),State-owned enterprises & public corporations,1000160416,Mining,Phosphates,Not available,Not available,3262790696.0,Togo,TGO,2017,2017-01-01,2017-12-31
Societe Togolaise des Eaux (TdE),Private,1000166680,Mining,Ground water,https://tde.tg/,Not available,553709312.0,Togo,TGO,2017,2017-01-01,2017-12-31
TOGO CARRIERE,Private,1000175347,Mining,Aggregates,Not available,Not available,227674594.0,Togo,TGO,2017,2017-01-01,2017-12-31
TOGO RAIL,Private,1000174447,Mining,Mining transport,Not available,Not available,162962557.0,Togo,TGO,2017,2017-01-01,2017-12-31
Togolaise des Grands Caous (TGC SA),Private,1000164961,Mining,Not available,Not available,Not available,110397818.0,Togo,TGO,2017,2017-01-01,2017-12-31
VOLTIC TOGO,Private,1000174006,Mining,Ground water,https://www.voltictogo.com/voltic/index.php,Not available,118065688.0,Togo,TGO,2017,2017-01-01,2017-12-31
West African Cement (WACEM),Private,1000144378,Mining,"Limestone, Clinker, cement",Not available,Not available,2290590215.0,Togo,TGO,2017,2017-01-01,2017-12-31
