Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Amoco Trinidad Gas BVTrinidad Branch,Private,000115341-9,Oil & Gas,"Oil, Gas",,,23255826.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG Central Block Limited,Private,000121807-9,Oil & Gas,"Oil, Gas",,,23322714.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG International Limited,Private,000118097-4,Oil & Gas,"Oil, Gas",,,65118494.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Biliton Petroleum (Block 23 B) Limited,Private,100039974-3,Oil & Gas,"Oil, Gas",,,1162101.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad Block 28) Limited,Private,100047864-5,Oil & Gas,"Oil, Gas",,,3880151.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad Block 29) Limited,Private,100047154-8,Oil & Gas,"Oil, Gas",,,10459895.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad Block 5) Limited,Private,100047966-7,Oil & Gas,"Oil, Gas",,,10944238.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad Block 6) Limited,Private,100043183-7,Oil & Gas,"Oil, Gas",,,10436669.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad-2c) Limited,Private,117683-6,Oil & Gas,"Oil, Gas",,,301000831.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad-3A) Limited,Private,122369-5,Oil & Gas,"Oil, Gas",,,7541925.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton Petroleum (Block 23A) Limited,Private,100041988-5,Oil & Gas,"Oil, Gas",,,19827665.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton Petroleum (Trinidad Block 14) Limited,Private,100045795-1,Oil & Gas,"Oil, Gas",,,10984623.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton Petroleum (Trinidad Block 3) Limited,Private,100040632-9,Oil & Gas,"Oil, Gas",,,10362228.71,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton Petroleum (Trinidad Block 7) Limited,Private,100052014-2,Oil & Gas,"Oil, Gas",,,795024.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BP Exploration Operating Co Ltd Trinidad Branch,Private,100039340-4,Oil & Gas,"Oil, Gas",,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BP Trinidad Processing Limited,Private,000128514-1,Oil & Gas,"Oil, Gas",,,60554769.0,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
