Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
ArcelorMittal Kryvyi Rih PJSC,Private,24432974,Mining,Iron ores,,https://ukraine.arcelormittal.com/tenders/doc/akcioneram/amkr/Audit_Report_AMKR_2018.pdf,2397943225.39,Ukraine,UKR,2018,2018-01-01,2018-12-31
Bilozerska mine SLC,Private,36028628,Mining,Coal,,https://dtek.com/content/files/bilozerska.pdf,72400515.78,Ukraine,UKR,2018,2018-01-01,2018-12-31
Central Iron Ore Enrichment Works PrJSC,Private,190977,Mining,Iron ores,,https://cgok.metinvestholding.com/upload/cgok/content/51/%D0%A6%D0%93%D0%9E%D0%9A_%D0%9E%D1%82%D1%87%D0%B5%D1%82%20%D0%B0%D1%83%D0%B4%D0%B8%D1%82%D0%BE%D1%80%D0%B0%20%D0%BF%D0%BE%20%D1%84%D0%B8%D0%BD%D0%BE%D1%82%D1%87%D0%B5%D1%82%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20%D0%B7%D0%B0%202018%20%D0%B3%D0%BE%D0%B4.pdf,859783253.2,Ukraine,UKR,2018,2018-01-01,2018-12-31
DTEK Dobropolyeugol LLC,Private,37014600,Mining,Coal,,https://dtek.com/content/files/duannualreport2018.zip,716497994.89,Ukraine,UKR,2018,2018-01-01,2018-12-31
DTEK Pavlogradugol PrJSC,Private,178353,Mining,Coal,,Not public,6039456517.22,Ukraine,UKR,2018,2018-01-01,2018-12-31
Energiia-95 LLC,Private,24186185,Oil & Gas,"Oil, Gas",,http://e95.gasco.com.ua/?page_id=2,222633990.68,Ukraine,UKR,2018,2018-01-01,2018-12-31
Energy Service Company Esco-Pivnich LLC,Private,30732144,Oil & Gas,"Oil, Gas",,https://escopivnich.com/wpcontent/uploads/2019/03/zvitnist_2018.pdf,2406519019.58,Ukraine,UKR,2018,2018-01-01,2018-12-31
Ferrexpo Poltava mining PrJSC,Private,191282,Mining,Iron ores,,https://www.ferrexpo.ua/system/files/id_reports/richnainformaciyaemitenta2019.pdf,-23987017.74,Ukraine,UKR,2018,2018-01-01,2018-12-31
Ferrexpo Yeristovo mining LLC,Private,35713283,Mining,Iron ores,,http://ferrexpoyeristovomine.com/wpcontent/uploads/2019/05/FerrexpoYeristovoMining_%D0%A3%D0%9A%D0%A0%D0%AF%D0%97.pdf,-454253384.11,Ukraine,UKR,2018,2018-01-01,2018-12-31
Ingulets Iron Ore Enrichment Works PrJSC,Private,190905,Mining,Iron ores,,https://ingok.metinvestholding.com/upload/ingok/content/51/%D0%90%D1%83%D0%B4%D0%B8%D1%82_%D0%9F%D1%80%D0%90%D0%A2_I%D0%9D%D0%93%D0%97%D0%9A.pdf,1560552662.18,Ukraine,UKR,2018,2018-01-01,2018-12-31
Joint Venture Ukrkarpatoil LTD LLC,State-owned enterprises & public corporations,23152126,Oil & Gas,"Oil, Gas",,http://www.uko.kiev.ua/audit.pdf,302735339.8,Ukraine,UKR,2018,2018-01-01,2018-12-31
Joint activity agreement of 01/01/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),Private,534663345,Oil & Gas,"Oil, Gas",,,140700605.47,Ukraine,UKR,2018,2018-01-01,2018-12-31
Joint activity agreement of 24/12/1997 № 999/97 - operated by Poltavanaftogaz OPMO of Ukrnafta PJSC (22525915),Private,403739509,Oil & Gas,"Oil, Gas",,http://www.zns.com.ua/upload/nord/FS'18_Nordic_ukr_signed.pdf,271522454.93,Ukraine,UKR,2018,2018-01-01,2018-12-31
Kashtan Petroleum LTD JV,Private,23703371,Oil & Gas,"Oil, Gas",,,195937698.0,Ukraine,UKR,2018,2018-01-01,2018-12-31
Krivoj Rog`s Iron-Ore Combine PJSC,Private,191307,Mining,Iron ores,,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
Kub-Gaz LLC,Private,30694895,Oil & Gas,"Oil, Gas",,,685091562.27,Ukraine,UKR,2018,2018-01-01,2018-12-31
Lvivvughiliya SE,State-owned enterprises & public corporations,32323256,Mining,Coal,,,278038450.53,Ukraine,UKR,2018,2018-01-01,2018-12-31
Lysychanskvuhillya PJSC,State-owned enterprises & public corporations,32359108,Mining,Coal,,http://lisugol.com/Content/RegInf/Audit311218.pdf,99908537.44,Ukraine,UKR,2018,2018-01-01,2018-12-31
Marganets GZK JSC,Private,190911,Mining,Manganese ores,,https://smida.gov.ua/db/feed/showform/auditinfo/9169,40425265.05,Ukraine,UKR,2018,2018-01-01,2018-12-31
Mine named after M. S. Surgai SE,State-owned enterprises & public corporations,40695853,Mining,Coal,,Not public,53477759.94,Ukraine,UKR,2018,2018-01-01,2018-12-31
Myrnohradugol SE,State-owned enterprises & public corporations,32087941,Mining,Coal,,https://www.mvug.com.ua/?page_id=2138,111100038.96,Ukraine,UKR,2018,2018-01-01,2018-12-31
Nadra-Geoinvest LLC,Private,35602704,Oil & Gas,"Oil, Gas",,http://nadrageo.com.ua/wpcontent/uploads/2019/05/Zvit_nezalezhnogo_audytora.pdf,154447396.53,Ukraine,UKR,2018,2018-01-01,2018-12-31
Naftogaz of Ukraine NJSC,State-owned enterprises & public corporations,20077720,Oil & Gas,"Oil, Gas",,https://www.naftogaz.com/files/Zvity/AnnualReport2018ukr.pdf,68379277107.98,Ukraine,UKR,2018,2018-01-01,2018-12-31
Naftogazvydobuvannya PrJSC,Private,32377038,Oil & Gas,"Oil, Gas",,https://dtek.com/content/files/kopiyaauditorskogozvituprat_naftogazvidobuvannya_za2018r..pdf,6198170819.8,Ukraine,UKR,2018,2018-01-01,2018-12-31
Natural Resources PrJSC,Private,33100376,Oil & Gas,"Oil, Gas",,https://geoalliance.com.ua/wpcontent/uploads/2019/02/Reportnr2018.zip,1365374558.47,Ukraine,UKR,2018,2018-01-01,2018-12-31
Nordik Private Enterprise,Private,33862865,Oil & Gas,"Oil, Gas",,https://promenergo.com.ua/files/zvit_pep_2018.pdf,362226665.35,Ukraine,UKR,2018,2018-01-01,2018-12-31
Northern Iron Ore Enrichment Works PrJSC,Private,191023,Mining,Iron ores,,https://sevgok.metinvestholding.com/upload/sevgok/content/51/PJSC_%20%C2%ABNORTHERN%20GOK%C2%BB_%20Financial%20statements_2018.pdf.pdf,3040271136.54,Ukraine,UKR,2018,2018-01-01,2018-12-31
Persha ukraiinska gazonaftova kompaniia LLC,Private,36050166,Oil & Gas,"Oil, Gas",,Not public,428399058.18,Ukraine,UKR,2018,2018-01-01,2018-12-31
Pervomayskvuhilla SE,State-owned enterprises & public corporations,32320594,Mining,Coal,,Not public,110026197.1,Ukraine,UKR,2018,2018-01-01,2018-12-31
