Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
ANASURIA HIBISCUS UK Ltd,Private,9696268,Oil & Gas,Oil & Gas,https://www.anasuria.co.uk/,https://beta.companieshouse.gov.uk/company/09696268,3480551.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
Aggregate Industries UK Ltd,Private,245717,Mining,"Cement, Aggregates",https://www.aggregate.com/,https://beta.companieshouse.gov.uk/company/00245717,5484218.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
Albion Stone,Private,1767530,Mining,Portland Stone,https://www.albionstone.com/,https://beta.companieshouse.gov.uk/company/01767530,383334.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
Alpha Petroleum,Private,3949599,Oil & Gas,Gas,https://www.alphapetroleum.com/,https://beta.companieshouse.gov.uk/company/03949599,1378891.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
Apache Corporation,Private,4614761,Oil & Gas,Oil & Gas,http://www.apachecorp.com/,https://beta.companieshouse.gov.uk/company/04614761,179798507.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
BHP Billiton Petroleum Great Britain Ltd,Private,810819,Oil & Gas,Oil & Gas,https://www.bhp.com/,https://beta.companieshouse.gov.uk/company/00810819,10432040.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
BP UK Group,Private,305943,Oil & Gas,Oil & Gas,https://www.bp.com/,https://beta.companieshouse.gov.uk/company/00305943,-89369178.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
Breedon Group PLC (Incorporated in Jersey),Private,98465,Mining,Construction Materials,https://www.breedongroup.com/,https://www.jerseyfsc.org/registry/documentsearch/NameDetail.aspx?Id=124680,,United Kingdom,GBR,2018,2018-01-01,2018-12-31
Brett Group,Private,227266,Mining,Construction Materials,https://www.brett.co.uk/,https://beta.companieshouse.gov.uk/company/00227266,200577.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
Britannia Aggregates Ltd,Private,2304376,Mining,Extraction of aggregates,https://www.brett.co.uk/aggregates/products-and-services/marine-aggregate-dredging,https://beta.companieshouse.gov.uk/company/02304376,429638.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
CHRYSAOR Holdings Ltd,Private,FC027988,Oil & Gas,Oil & Gas,https://www.chrysaor.com/,https://beta.companieshouse.gov.uk/company/FC027988,1393071.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
CNR International UK Investments Ltd,Private,813187,Oil & Gas,Oil & Gas,https://www.cnrl.com/,https://beta.companieshouse.gov.uk/company/00813187/filing-history,-131076721.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
CalEnergy Gas Ltd,Private,4370508,Oil & Gas,Oil & Gas,https://www.calenergyresources.com/,https://beta.companieshouse.gov.uk/company/04370508,-105921.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
Cemex UK Materials Ltd,Private,4895833,Mining,Construction Materials,https://www.cemex.co.uk/,https://beta.companieshouse.gov.uk/company/04895833,5385978.0,United Kingdom,GBR,2018,2018-01-01,2018-12-31
