Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
CHAMBISHI COPPER SMELTER LIMITED,Private,1001831030,Mining,Cu,,,1018370899.85,Zambia,ZMB,2019,2019-01-01,2019-12-31
CNMC Luanshya Copper Mine Plc,Private,1001591709,Mining,"Ag, Au, Bi, Co, Cu, Ni, Pb, SIL, U, Zn",http://www.cnmc.com.cn/detailen.jsp?article_millseconds=1319198696828&column_no=0118,,781480529.84,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Private,1001878318,Mining,LST,https://www.dangotecement.com/operations/zambia/,,108698124.96,Zambia,ZMB,2019,2019-01-01,2019-12-31
FIRST QUANTUM MINING AND OPERATIONS LTD,Private,1001656040,Mining,"Cu, SLF",https://www.first-quantum.com/English/our-operations/default.aspx,,604749515.65,Zambia,ZMB,2019,2019-01-01,2019-12-31
KALUMBILA MINERALS LIMITED,Private,1001862964,Mining,"Ag, Au, Co, Cu, Fe, Ni, PGM, Se",https://www.first-quantum.com/English/our-operations/default.aspx,,2212763898.7,Zambia,ZMB,2019,2019-01-01,2019-12-31
KANSANSHI MINING PLC,Private,1001602517,Mining,"Ag, Au, Co, Cu, Fe, S, Se, Te",https://www.first-quantum.com/English/our-operations/default.aspx#module-operation--kansanshi,,5225159657.21,Zambia,ZMB,2019,2019-01-01,2019-12-31
KONKOLA COPPER MINES PLC,Private,1001772785,Mining,"Ag, Au, Co, Cu, S, Se, Te",http://kcm.co.zm/,,482102453.54,Zambia,ZMB,2019,2019-01-01,2019-12-31
Kagem Mining Ltd,Private,1001612576,Mining,Em,https://gemfields.com/our-mines-assets/kagem/,,85013936.63,Zambia,ZMB,2019,2019-01-01,2019-12-31
LUMWANA MINING COMPANY LIMITED,Private,1001828755,Mining,"Ag, Au, Co, Cu, S, U",https://www.barrick.com/English/operations/lumwana/default.aspx,,972364574.45,Zambia,ZMB,2019,2019-01-01,2019-12-31
Lafarge Cement Zambia Plc,Private,1001666382,Mining,"LST, SHL",https://www.lafarge.co.zm/,,75504410.6,Zambia,ZMB,2019,2019-01-01,2019-12-31
Lubambe Copper Mine Ltd,Private,1001582192,Mining,"Co, Cu",https://lubambe.com/,,160766691.83,Zambia,ZMB,2019,2019-01-01,2019-12-31
MAAMBA COLLIERIES LIMITED,Private,1001594184,Mining,"COA, PYR",http://www.maambacoal.com/,,470374861.13,Zambia,ZMB,2019,2019-01-01,2019-12-31
MOPANI COPPER MINES PLC,Private,1001630233,Mining,Cu,,,514341227.78,Zambia,ZMB,2019,2019-01-01,2019-12-31
NFC AFRICA MINING PLC,Private,,Mining,Au,http://www.cnmc.com.cn/indexen.jsp,,255956974.17,Zambia,ZMB,2019,2019-01-01,2019-12-31
Sino Metals,Private,,Mining,,,,100747457.08,Zambia,ZMB,2019,2019-01-01,2019-12-31
ZCCM INVESTMENTS HOLDINGS PLC (ZCCM- IH),State-owned enterprises & public corporations,1001761145,Mining,"Ag, AQM, Au, Be3Al2(SiO3)6, Co, Cu, GRT, LST, SIL, SDG, Zn Mn, QTZ",www.zccm-ih.com.zm/,,18793590.49,Zambia,ZMB,2019,2019-01-01,2019-12-31
