Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Albanian Customs Administrate,Central goverment,,4572240832.0,Albania,ALB,2018,2018/01/01,2018/12/31
Albpetrol,State-owned enterprises & public corporations,,2030861899.5,Albania,ALB,2018,2018/01/01,2018/12/31
Electric Energy Distribution System Operator (OSHEE),State-owned enterprises & public corporations,,,Albania,ALB,2018,2018/01/01,2018/12/31
Energy Regulatory Authority (ERE),Other,,32300000.0,Albania,ALB,2018,2018/01/01,2018/12/31
General Directorate of Taxes,Central goverment,,30704450150.0,Albania,ALB,2018,2018/01/01,2018/12/31
Municipality of Bulqizë,Local government,,9360000.0,Albania,ALB,2018,2018/01/01,2018/12/31
Municipality of Krujë,Local government,,94160577.0,Albania,ALB,2018,2018/01/01,2018/12/31
Municipality of Lushnjë,Local government,,3579840.0,Albania,ALB,2018,2018/01/01,2018/12/31
Municipality of Patos,Local government,,39139780.0,Albania,ALB,2018,2018/01/01,2018/12/31
Municipality of Rroskovec,Local government,,86868292.0,Albania,ALB,2018,2018/01/01,2018/12/31
National Agency of Natural Resouces (AKBN),Central goverment,,162015000.0,Albania,ALB,2018,2018/01/01,2018/12/31
