Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Agence Nationale d’Encadrement des Exploitations Minières Artisanales et Semi-mécanisées (ANEEMAS),State-owned enterprises & public corporations,,45917878.0,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Agence nationale des évaluations environnementales (ANEVE),State-owned enterprises & public corporations,,104049534.0,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Autres bénéficiaires (paiements sociaux),Other,,2066615353.0,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Bureau des Mines et de la Géologie du Burkina (BUMIGEB),State-owned enterprises & public corporations,,9132004.0,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Direction Générale des Douanes (DGD),Central goverment,,58304215265.0,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Direction Générale des Impôts (DGI),Central goverment,,-13580034737.0,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central goverment,,70480197702.0,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Fonds d'Intervention pour l'Environnement (FIE) (paiements environnementaux),Other,,4422649722.0,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Office National de Sécurisation des Sites Miniers (ONASSIM),State-owned enterprises & public corporations,,304500000.0,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Société d'Exploitation des Phosphates du Burkina (SEPB),State-owned enterprises & public corporations,,8370000.0,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
