Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Autorité de Régulation du Secteur pétrolier Aval du Tchad (ARSAT),Central government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Caisse Nationale de Prévoyance Sociale (CNPS),Central government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Commune de Doba,Local government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Commune de Koudalwa,Local government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Direction Générale Technique de Pétrole (DGTP),Central government,Non applicable,4449474.0,Chad,TCD,2017,2017/01/01,2017/12/31
Direction Générale Technique des Mines (DGTM),Central government,Non applicable,51575.0,Chad,TCD,2017,2017/01/01,2017/12/31
Direction Générale des Services de Douanes et des Droits Indirects (DGSDDI),Central government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central government,Non applicable,159247341.0,Chad,TCD,2017,2017/01/01,2017/12/31
Ministère des Finances,Central government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Société des Hydrocarbures du Tchad (SHT),State-owned enterprises & public corporations,Non applicable,397437282.0,Chad,TCD,2017,2017/01/01,2017/12/31
