Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Agence Congolaise de l’Environnement (ACE),Central government,,149978.58,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Banque Centrale du Congo (BCC),Central government,,,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
"Centre d’Évaluation, d’Expertise et de Certification des substances minérales précieuses et semi-précieuses(CEEC)",,,,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Direction Générale des Douanes et Accises (DGDA),Central government,,264612628.5,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Direction Générale des Impôts (DGI),Central government,,518270772.13,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",Central government,,348592876.94,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Direction des RecettesProvinciales,Local government,,178320000.0,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Entreprise d’État,State-owned enterprises & public corporations,,371400080.54,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Ministère provincial des Mines du Nord-Kivu,Local government,,,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Secrétariat Général du Ministère des Hydrocarbures (SGH),Central government,,950000.0,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
