Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Amansie South District Assemly,Local government,,241900.0,Ghana,GHA,2017,2017/01/01,2017/12/31
Asutifi District Assembly,Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Bibiani /Ahwiaso /Bekwai District Assembly,Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Bibiani /Ahwiaso /Bekwai District Assembly,Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Birim North Assembly,Local government,,434500.0,Ghana,GHA,2017,2017/01/01,2017/12/31
Denkyira District Assembly,Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Ellembelle,Local government,,50000.0,Ghana,GHA,2017,2017/01/01,2017/12/31
Environmental Protection Agency,Central goverment,,7844298.65,Ghana,GHA,2017,2017/01/01,2017/12/31
Ghana National Petroleum Company,Central goverment,,20601362.27,Ghana,GHA,2017,2017/01/01,2017/12/31
Ghana Railway Authority,Central goverment,,15663916.0,Ghana,GHA,2017,2017/01/01,2017/12/31
Ghana Revenue Authority,Central goverment,,3716068741.63,Ghana,GHA,2017,2017/01/01,2017/12/31
"Metropolitan, Municipal and District Assemblies",Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Minerals Commission,Central goverment,,46704251.45,Ghana,GHA,2017,2017/01/01,2017/12/31
Ministry of Energy,Central goverment,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Ministry of Finance,Central goverment,,29593891.06,Ghana,GHA,2017,2017/01/01,2017/12/31
Ministry of Lands and Natural Resources,Central goverment,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Mpohor Wassa East,Local government,,44206.0,Ghana,GHA,2017,2017/01/01,2017/12/31
Office of the Administrator of Stool Lands,Central goverment,,13318084.0,Ghana,GHA,2017,2017/01/01,2017/12/31
Petroleum Commission,Central goverment,,23053295.46,Ghana,GHA,2017,2017/01/01,2017/12/31
Prestea Huni Valley,Local government,,126556.0,Ghana,GHA,2017,2017/01/01,2017/12/31
Sefwi District Assembly,Local government,,130563.0,Ghana,GHA,2017,2017/01/01,2017/12/31
Tarkwa Nsuaem,Local government,,470801.0,Ghana,GHA,2017,2017/01/01,2017/12/31
Yilo Krobo District Assembly,Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
