Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Administration des Domaines,Central government,,2190570403.03,Madagascar,MDG,2017,1/1/2017,12/31/2017
Autres,Other,,12293554466.11,Madagascar,MDG,2017,1/1/2017,12/31/2017
Bureau du Cadastre Minier de Madagascar,State-owned enterprises & public corporations,,13259282605.0,Madagascar,MDG,2017,1/1/2017,12/31/2017
Caisse Nationale de Prévoyance Sociale,State-owned enterprises & public corporations,,8770350420.42,Madagascar,MDG,2017,1/1/2017,12/31/2017
Collectivités territoriales décentralisées (Régions et/ou communes),Local government,,624845134.56,Madagascar,MDG,2017,1/1/2017,12/31/2017
Direction Générale des Douanes,Central government,,30015589071.19,Madagascar,MDG,2017,1/1/2017,12/31/2017
Direction Générale des Impôts,Central government,,65553558864.86,Madagascar,MDG,2017,1/1/2017,12/31/2017
Direction Générale des Mines,Central government,,6609535107.86,Madagascar,MDG,2017,1/1/2017,12/31/2017
Office Nationale pour l'Environnement,State-owned enterprises & public corporations,,282766719.0,Madagascar,MDG,2017,1/1/2017,12/31/2017
Office des Mines Nationales et des Industries Stratégiques,State-owned enterprises & public corporations,,2303886291.82,Madagascar,MDG,2017,1/1/2017,12/31/2017
Port: Société de Manutention des Marchandises Conventionnels et/ou Madagascar International Container Terminal Services Limited,Other,,467558977.65,Madagascar,MDG,2017,1/1/2017,12/31/2017
Société du Port à Gestion Autonome de Toamasina,State-owned enterprises & public corporations,,6633466877.3,Madagascar,MDG,2017,1/1/2017,12/31/2017
