Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Department of Geological Survey and Mineral Exploration (DGSE),Central goverment,Not applicable,5000000.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Department of Mines (DOM),Central goverment,Not applicable,6017598697.29,Myanmar,MMR,2018,4/1/2017,3/31/2018
Department of Trading (DoT),Central goverment,Not applicable,4559476231.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Forest Department (FD),Central goverment,Not applicable,485383972.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Internal Revenue Department (IRD),Central goverment,Not applicable,353671807113.44,Myanmar,MMR,2018,4/1/2017,3/31/2018
ME1 & ME2,State-owned enterprises & public corporations,Not applicable,17742038531.57,Myanmar,MMR,2018,4/1/2017,3/31/2018
Myanmar Customs Department (MCD),Central goverment,Not applicable,11274258886.19,Myanmar,MMR,2018,4/1/2017,3/31/2018
Myanmar Gems Enterprise,State-owned enterprises & public corporations,Not applicable,376156967920.05,Myanmar,MMR,2018,4/1/2017,3/31/2018
Myanmar Oil and Gas Enterprise,State-owned enterprises & public corporations,Not applicable,1145387244121.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Myanmar Pearl Entreprise,State-owned enterprises & public corporations,Not applicable,45030000.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
