Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Autres,Autres,,,Senegal,SEN,2019,2019/01/01,2019/12/31
Autres bénéficiaires (paiements environnementaux),Autres,,21422418.0,Senegal,SEN,2019,2019/01/01,2019/12/31
Autres bénéficiaires (paiements sociaux),Autres,,3512368896.22,Senegal,SEN,2019,2019/01/01,2019/12/31
Caisse de Sécurité Sociale (CSS),Central goverment,,733101792.0,Senegal,SEN,2019,2019/01/01,2019/12/31
Direction Générale de la Comptabilité Publique et du Trésor (DGCPT),Central goverment,,8748380996.0,Senegal,SEN,2019,2019/01/01,2019/12/31
Direction Générale des Douanes (DGD),Central goverment,,13151573737.0,Senegal,SEN,2019,2019/01/01,2019/12/31
Direction Générale des Impôts et des Domaines (DGID),Central goverment,,104584329594.0,Senegal,SEN,2019,2019/01/01,2019/12/31
Direction de l'Environnement et des Etablissements Classés (DEEC),Central goverment,,151299475.0,Senegal,SEN,2019,2019/01/01,2019/12/31
"Direction des Eaux, Forêts, Chasses et Conservation des Sols (DEFCCS)",Central goverment,,,Senegal,SEN,2019,2019/01/01,2019/12/31
Direction des Mines et de la Géologie (DMG),Central goverment,,,Senegal,SEN,2019,2019/01/01,2019/12/31
Institution de Prévoyance Retraite du Sénégal (IPRES),State government,,3656358597.0,Senegal,SEN,2019,2019/01/01,2019/12/31
Société des Pétroles du Sénégal (PETROSEN),State-owned enterprises & public corporations,,1975924601.0,Senegal,SEN,2019,2019/01/01,2019/12/31
