Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Geita Town Council,Local government,,3716057848.01,Tanzania,TZA,2018,2017/07/01,2018/06/30
Kahama Town Council,Local government,,1379904933.28,Tanzania,TZA,2018,2017/07/01,2018/06/30
Kinondoni Municipal Council,Local government,,47674874.0,Tanzania,TZA,2018,2017/07/01,2018/06/30
Kishapu District Council,Local government,,369685528.0,Tanzania,TZA,2018,2017/07/01,2018/06/30
Local Goverment Authorities,Local government,,,Tanzania,TZA,2018,2017/07/01,2018/06/30
Mbinga District Council,Local government,,209668121.9,Tanzania,TZA,2018,2017/07/01,2018/06/30
Ministry of Minerals,Central goverment,,390714184971.94,Tanzania,TZA,2018,2017/07/01,2018/06/30
Msalala District Council,Local government,,472528660.16,Tanzania,TZA,2018,2017/07/01,2018/06/30
Mtwara District Council,Local government,,600082869.01,Tanzania,TZA,2018,2017/07/01,2018/06/30
Mwanza City Council,Local government,,33764641.0,Tanzania,TZA,2018,2017/07/01,2018/06/30
Songwe District Council,Local government,,809646827.82,Tanzania,TZA,2018,2017/07/01,2018/06/30
Tanzania Petroleum Development Corporation (TPDC),State-owned enterprises & public corporations,,121844967191.84,Tanzania,TZA,2018,2017/07/01,2018/06/30
Tanzania Revenue Authority,Central goverment,,276636850522.79,Tanzania,TZA,2018,2017/07/01,2018/06/30
Tarime District Council,Local government,,2730017536.34,Tanzania,TZA,2018,2017/07/01,2018/06/30
