Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Alb-Energy shpk,Not applicable,Alb-Energy shpk,Electrical energy (2716),Production,,MWh,0.0,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Albpetrol Sh.a.,Not applicable,Albpetrol Sh.a.,Crude oil (2709),Production,89477.242,Tonnes,3193174335.0,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Albpetrol Sh.a.,Not applicable,Albpetrol Sh.a.,Natural gas (2711),Production,2644501.4,Nm3,,,Albania,ALB,2018,2018-01-01,2018-12-31
Anio Oil&Gas sha (ish Trans Atlantik Albania Ltd (ishStream Oil & Gas),Not applicable,Anio Oil&Gas sha (ish Trans Atlantik Albania Ltd (ishStream Oil & Gas),Crude oil (2709),Production,6688.15,Tonnes,238680009.1,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Anio Oil&Gas sha (ish Trans Atlantik Albania Ltd (ishStream Oil & Gas),Not applicable,Anio Oil&Gas sha (ish Trans Atlantik Albania Ltd (ishStream Oil & Gas),Natural gas (2711),Production,207829.1,Nm3,,,Albania,ALB,2018,2018-01-01,2018-12-31
Balkan Green Energy sh.p.k( ish ESEGEI),Not applicable,Balkan Green Energy sh.p.k( ish ESEGEI),Electrical energy (2716),Production,57151.0,MWh,104740114.1,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Bankers Petroleum Albania Ltd.,Not applicable,Bankers Petroleum Albania Ltd.,Crude oil (2709),Production,793614.7,Tonnes,28321727799.0,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Bankers Petroleum Albania Ltd.,Not applicable,Bankers Petroleum Albania Ltd.,Natural gas (2711),Production,88272182.3,Nm3,,,Albania,ALB,2018,2018-01-01,2018-12-31
DEVOLL HYDROPOWER,Not applicable,DEVOLL HYDROPOWER,Electrical energy (2716),Production,292561.0,MWh,536173864.4,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
DITEKO sh.p.k,Not applicable,DITEKO sh.p.k,Electrical energy (2716),Production,115714.0,MWh,212067987.7,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Delvina Gas Company LTD,Not applicable,Delvina Gas Company LTD,Crude oil (2709),Production,0.0,Tonnes,0.0,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Delvina Gas Company LTD,Not applicable,Delvina Gas Company LTD,Natural gas (2711),Production,0.0,Nm3,,,Albania,ALB,2018,2018-01-01,2018-12-31
ENERGJI ASHTA,Not applicable,ENERGJI ASHTA,Electrical energy (2716),Production,298107.0,MWh,546337967.7,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Energal shpk,Not applicable,Energal shpk,Electrical energy (2716),Production,,MWh,0.0,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
"Euron Energy"" shpk",Not applicable,"Euron Energy"" shpk",Electrical energy (2716),Production,132347.0,MWh,242551134.4,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Hec Lanabregas,Not applicable,Hec Lanabregas,Electrical energy (2716),Production,33607.0,MWh,61591241.0,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
KESH sh.a.,Not applicable,KESH sh.a.,Electrical energy (2716),Production,5850932.0,MWh,10722949472.0,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Kurum International sh.a,Not applicable,Kurum International sh.a,Electrical energy (2716),Production,377767.0,MWh,692330119.9,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
San Leone Energy Plc.,Not applicable,San Leone Energy Plc.,Crude oil (2709),Exploration,,,,,Albania,ALB,2018,2018-01-01,2018-12-31
San Leone Energy Plc.,Not applicable,San Leone Energy Plc.,Natural gas (2711),Exploration,,,,,Albania,ALB,2018,2018-01-01,2018-12-31
Shell Upstream Albania B.V,Not applicable,Shell Upstream Albania B.V,Crude oil (2709),Exploration,,,,,Albania,ALB,2018,2018-01-01,2018-12-31
Shell Upstream Albania B.V,Not applicable,Shell Upstream Albania B.V,Natural gas (2711),Exploration,,,,,Albania,ALB,2018,2018-01-01,2018-12-31
Sherwood International Petroleum Ltd,Not applicable,Sherwood International Petroleum Ltd,Crude oil (2709),Production,1634.7,Tonnes,58337538.9,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
Sherwood International Petroleum Ltd,Not applicable,Sherwood International Petroleum Ltd,Natural gas (2711),Production,347356.5,Nm3,,,Albania,ALB,2018,2018-01-01,2018-12-31
TRANSOIL GROUP AG (IEC Visoka Shp),Not applicable,TRANSOIL GROUP AG (IEC Visoka Shp),Crude oil (2709),Production,18908.43,Tonnes,674785141.4,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
TRANSOIL GROUP AG (IEC Visoka Shp),Not applicable,TRANSOIL GROUP AG (IEC Visoka Shp),Natural gas (2711),Production,419760.5,Nm3,,,Albania,ALB,2018,2018-01-01,2018-12-31
“HIDROALBANIA Energji” shpk,Not applicable,“HIDROALBANIA Energji” shpk,Electrical energy (2716),Production,44298.0,MWh,81184538.76,ALL,Albania,ALB,2018,2018-01-01,2018-12-31
