Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Aries,,TOTAL AUSTRAL SA,CONDENSADO,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Aries,,TOTAL AUSTRAL SA,GASOLINA,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Aries,,TOTAL AUSTRAL SA,GLP,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Aries,,TOTAL AUSTRAL SA,Natural gas (2711),Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Carina,,TOTAL AUSTRAL SA,CONDENSADO,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Carina,,TOTAL AUSTRAL SA,GASOLINA,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Carina,,TOTAL AUSTRAL SA,GLP,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Carina,,TOTAL AUSTRAL SA,Natural gas (2711),Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Magallanes AM 6,,YPF SA,Gas,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Magallanes AM 6,,YPF SA,Gasolinas,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Magallanes AM 6,,YPF SA,Oil,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Vega Pleyade,,TOTAL AUSTRAL SA,CONDENSADO,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Vega Pleyade,,TOTAL AUSTRAL SA,GASOLINA,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Vega Pleyade,,TOTAL AUSTRAL SA,GLP,Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
Vega Pleyade,,TOTAL AUSTRAL SA,Natural gas (2711),Production,,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
