Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
SHAT-29/366,PV-366,Assat LLC,,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
SHAT-29/371,P-371,Vayk Gold LLC,,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
SHAT-29/458,P-458,Tatstone LLC,,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
SHAT-29/459,P-459,Tatstone LLC,,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
SHAT-29/515,P-515,Baktek Eco LLC,,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
SHAT-29/544,P-544,Geghi Gold LLC,,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
SHAT-29/547,P-547,Gharagyulyanner CJSC,,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/057,PV-057,Meghradzor Gold LLC,Precious metals (2616),Production,3274.0,Tonnes,1681000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/093,PV-093,Sagamar CJSC,,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/094,PV-094,Ler-Ex LLC,,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/103,PV-103,Akhtala Mining and Processing Enterprise CJSC,Copper (2603),Production,14030.0,Tonnes,4612000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/183,PV-183,Chaarat Kapan CJSC,Copper (2603),Production,10578.0,Tonnes,26103000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/183,PV-183,Chaarat Kapan CJSC,Zinc (2608),Production,12446.0,Tonnes,7579000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/189,PV-189,Geopromining Gold LLC,Gold (7108),Production,4.8,Tonnes,52731000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/232,PV-232,“Zangezur Copper-Molybdenum Combine” CJSC,Copper (2603),Production,330802.0,Tonnes,79709000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/232,PV-232,“Zangezur Copper-Molybdenum Combine” CJSC,"Ferro, alloys, manganese (7202)",Production,8811.0,Tonnes,48103000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/232,PV-232,“Zangezur Copper-Molybdenum Combine” CJSC,Molybdenum (2613),Production,498.0,Tonnes,1116000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/245,PV-245,Lydian Armenia LLC,,Development,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/311,PV-311,Agarak Copper Molybdenum Combine CJSC,Copper (2603),Production,38345.0,Tonnes,14524000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/311,PV-311,Agarak Copper Molybdenum Combine CJSC,Molybdenum (2613),Production,824.0,Tonnes,2919000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/376,PV-376,Teghout LLC,Copper (2603),Production,53065.0,Tonnes,17340000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/376,PV-376,Teghout LLC,Molybdenum (2613),Production,737.0,Tonnes,1675000000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
SHATV-29/514,P-514,AT-Metals LLC,,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
