Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
AFRIC CARRIERES,Lien vers la convention indisponible,Kompiga,Granite,Production,32166.09,Sm3,10000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
Bissa Gold SA,Lien vers la convention indisponible,Bissa Gold SA,Or,Production,8.15,Tonnes,235200000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
Burkina Mining Company,Lien vers la convention indisponible,Burkina Mining Company,Or,Production,1.89,Tonnes,54540000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
CIMAF,Lien vers la convention indisponible,Napalga-Salagui,Tufs,Production,86941.77,Sm3,40000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
CIMAF,Lien vers la convention indisponible,Souroukoudinga 1,Calcaire dolomitique,Production,8484.78,Sm3,10000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
CIMBURKINA,Lien vers la convention indisponible,Dandé,Calcaire dolomitique,Production,108245.63,Sm3,110000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
COGEB INTERNATIONAL,Lien vers la convention indisponible,Poussougziga,Granite,Production,22806.41,Sm3,10000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
COVEMI,Lien vers la convention indisponible,Tiara,Calcaire dolomitique,Production,8001.0,Sm3,10000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
EBOMAF SA,Lien vers la convention indisponible,Bebtenga,Granite,Production,38000.0,Sm3,20000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
ENTREPRISE KANAZOE SALIFOU(EKS),Lien vers la convention indisponible,Samsaongo,Granite,Production,43900.67,Sm3,20000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
ESSAKANE SA,https://www.resourcecontracts.org/contract/ocds-591adf-4094040303/view#/,ESSAKANE SA,Or,Production,12.41,Tonnes,358140000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
ETYF ET TRADE,Lien vers la convention indisponible,Dandé 2,Calcaire dolomitique,Production,14190.96,Sm3,10000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
FISA,Lien vers la convention indisponible,Dioungoko,Calcaire dolomitique,Production,24140.1,Sm3,20000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
GLOBEX CONSTRUCTION,Lien vers la convention indisponible,Gonsé,Granite,Production,82897.8,Sm3,30000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
GROUPE QUEBEC AFRIQUE,Lien vers la convention indisponible,goghin,Granite,Production,16215.33,Sm3,10000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
Hounde Gold,Lien vers la convention indisponible,Hounde Gold,Or,Production,6.81,Tonnes,196530000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
KANAZOE ET FRERES,Lien vers la convention indisponible,Manegsombo,Granite,Production,29502.38,Sm3,10000000.0,XOF,Burkina Faso,BFA,2019,2019-01-01,2019-12-31
