Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Bebtenga,,EBOMAF SA,Granite (2516),Production,240186.65,Sm3,100000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Bissa (Bam),,BISSA GOLD,Silver (7106),Production,654.82,Kg,220000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Bissa (Bam),,Bissa Gold SA,Gold (7108),Production,5.84,Tonnes,183710000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Bouéré,,BOUERE-DOHOUN,Gold (7108),Production,1.21,Tonnes,36580000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Bouéré,,BOUERE-DOHOUN,Silver (7106),Production,139.0,Kg,40000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Burkina Mining Company,,Burkina Mining Company,Gold (7108),Production,2.82,Tonnes,70200000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Burkina Mining Company,,Burkina Mining Company,Silver (7106),Production,274.31,Kg,6120000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Comatrap Nord-Est,,COMATRAP,Granite (2516),Production,81703.33,Sm3,30000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Dande 2,,CIMBURKINA,Limestone (2521),Production,29064.52,Sm3,30000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Dandé,,CIMBURKINA,Limestone (2521),Production,88172.5,Sm3,90000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Dioungoko,,FISA,Limestone (2521),Production,11032.11,Sm3,10000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Essakane (Oudalan),,ESSAKANE SA,Gold (7108),Production,12.65,Tonnes,417090000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Essakane (Oudalan),,ESSAKANE SA,Silver (7106),Production,913.49,Kg,360000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Gaughin,,GROUPE QUEBEC AFRIQUE,Granite (2516),Production,57438.4,Sm3,20000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Gonsé,,GLOBEX CONSTRUCTION,Granite (2516),Production,42598.3,Sm3,20000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Hounde Gold,,Hounde Gold Operation,Gold (7108),Production,6.44,Tonnes,237120000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Hounde Gold,,Hounde Gold Operation,Silver (7106),Production,754.87,Kg,280000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Koassa,,Nc,Granite (2516),Production,14613.61,Sm3,10000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Kompiga,,AFRIC CARRIERES,Granite (2516),Production,41488.01,Sm3,20000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Koro,,EX.CAF SUARL,Natural sands (2505),Production,42260.0,Sm3,,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Manegsombo,,KANAZOE ET FRERES,Granite (2516),Production,30277.15,Sm3,10000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Manéga,,SONAF,Granite (2516),Production,27729.31,Sm3,10000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
N/a,,Comptoirs d’or,Gold (7108),Production,0.27,Tonnes,7410000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Napalga-Salagui,,CIMAF,Granite (2516),Production,88804.0,Sm3,40000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Poussougziga,,COGEB INTERNATIONAL,Granite (2516),Production,17890.25,Sm3,10000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Reo/kyon,,Nantou Mining,Zinc (2608),Production,152540.18,Tonnes,60750000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Riverstone Karma,,Riverstone Karma,Gold (7108),Production,3.06,Tonnes,99650000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Riverstone Karma,,Riverstone Karma,Silver (7106),Production,21.06,Kg,10000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
SAMTENGA,,NORDGOLD SAMTENGA,Gold (7108),Production,1.21,Tonnes,38420000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
SAMTENGA,,NORDGOLD SAMTENGA,Silver (7106),Production,118.61,Kg,40000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
SANBRADO,,SOMISA,Gold (7108),Production,4.03,Tonnes,,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
SEMAFO,,SEMAFO Burkina,Silver (7106),Production,1327.56,Kg,520000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
SEMAFO Boungou,,SEMAFO Boungou,Gold (7108),Production,4.82,Tonnes,159790000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
SEMAFO Boungou,,SEMAFO Boungou,Silver (7106),Production,437.16,Kg,170000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
SEMAFO Burkina,,SEMAFO,Gold (7108),Production,6.91,Tonnes,226990000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Sadaba,,SOGEA-SATOM,Granite (2516),Production,197268.17,Sm3,80000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Samsongo,,ENTREPRISE KANAZOE SALIFOU(EKS),Granite (2516),Production,79000.31,Sm3,30000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Société d'Exploitation des Phosphates du Burkina,,SEPB,Natural calcium phosphates (2510),Production,2802.8,Tonnes,250000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Sogosagasso,,COGEB INTERNATIONAL,Granite (2516),Production,13444.35,Sm3,10000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Souroukoudinga Sud,,CIMAF,Limestone (2521),Production,16603.28,Sm3,20000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Souroukoudinga1,,CIMAF,Limestone (2521),Production,40219.0,Sm3,40000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
TAPARKO,,SOMITA,Gold (7108),Production,2.92,Tonnes,94480000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
TAPARKO,,SOMITA,Silver (7106),Production,2112.14,Kg,780000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Tiabila,,SOROUBAT-BF,Granite (2516),Production,16400.0,Sm3,10000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Tiara,,COVEMI,Limestone (2521),Production,6482.0,Sm3,10000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
WAHGNION GOLD OP SA,,WAHGNION GOLD OP SA,Gold (7108),Production,5.62,Tonnes,181820000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
WAHGNION GOLD OP SA,,WAHGNION GOLD OP SA,Silver (7106),Production,2301.39,Kg,890000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Yaramoko,,Roxgold Sanu SA,Gold (7108),Production,4.21,Tonnes,137920000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
Yaramoko,,Roxgold Sanu SA,Silver (7106),Production,446.49,Kg,1870000000.0,XOF,Burkina Faso,BFA,2020,2020-12-01,2020-12-31
