Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
EBOME,"KF, KB; BAF/EBOME",PERENCO CAM,Crude oil (2709),Production,113395.18,Sm3,22643868859.67,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
IROKO,IROKO,APCL,Crude oil (2709),Production,661132.15,Sm3,128787791617.77,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
KOLE,DISSONI NORD,PERENCO RDR,Crude oil (2709),Production,352219.83,Sm3,68021618191.76,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
KOLE,RDR,PERENCO RDR,Crude oil (2709),Production,2210192.82,Sm3,426838236905.09,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
LOGBABA,LOGBABA CONDENSAT,GDC,Crude oil (2709),Production,5010.05,Sm3,942279672.28,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
LOKELE,MOKOKO ABANA,APCC,Crude oil (2709),Production,852871.0,Sm3,166138301130.77,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
LOKELE,MOKOKO WEST,APCC,Crude oil (2709),Production,95739.13,Sm3,18649874351.92,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
Logbaba,Logbaba,GDC,Natural gas (2711),Production,104792.55,Sm3 o.e.,22344582502.49,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
MOUDI,MOUDI/D1,PERENCO CAM,Crude oil (2709),Production,81156.16,Sm3,15675272420.54,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
MVIA,MVIA,SNH,Crude oil (2709),Production,6627.01,Sm3,1429606249.93,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
SANAGA,SANAGA,PERENCO CAM,Crude oil (2709),Production,23578.17,Sm3,4624440552.43,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
Sanaga,Sanaga,PERENCO CAM,Natural gas (2711),Production,294508.79,Sm3 o.e.,14112777051.4,XAF,Cameroon,CMR,2017,2017-01-01,2017-12-31
