Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Champs BADILA,"Autorisation Exclusive d'Exploitation, BADILA du 10/08/2012 (CPP 2011)",PCM/Glencore/SHT,Crude oil (2709),Production,1261093.0,Barrels,69154484.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Baobab,Concession d'Exploitation Baobab du 30/05/2013 (CC 1999),"CNPC, Cliveden, SHT",Crude oil (2709),Production,18350832.0,Barrels,1006303515.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Bolobo,Concession d'exploitation BOLOBO du 20/07/2017 (CC 1988),"Esso, Petronas,SHT",Crude oil (2709),Production,3092412.0,Barrels,169578418.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Komé CI,Concession d'exploitation KOME du 20/07/2017 (CC 1988),"Esso, Petronas,SHT",Crude oil (2709),Production,640956.0,Barrels,35148067.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Komé CS,Concession d'exploitation KOME du 20/07/2017 (CC 1988),"Esso, Petronas,SHT",Crude oil (2709),Production,6550312.0,Barrels,359199081.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs MANGARA,"Autorisation Exclusive d'Exploitation, MANGARA du 01/06/2012 (CPP 2011)",PCM/Glencore/SHT,Crude oil (2709),Production,2181729.0,Barrels,119639347.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Maikeri,Concession d'exploitation Maikeri du 20/07/2017 (CC 2004),"Esso, Petronas,SHT",Crude oil (2709),Production,550314.0,Barrels,30177537.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Miandoum,Concession d'exploitation MIANDOUM du 20/07/2017 (CC 1988),"Esso, Petronas,SHT",Crude oil (2709),Production,2619318.0,Barrels,143635390.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Mimosa,Concession d'Exploitation Mimosa du 13/10/2009 (CC 1999),"CNPC, Cliveden, SHT",Crude oil (2709),Production,969984.0,Barrels,53190957.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Moundouli,Concession d'exploitation MOUNDOULI du 20/07/2017 (CC 1988),"Esso, Petronas,SHT",Crude oil (2709),Production,1579632.0,Barrels,86622189.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Nya,Concession d'exploitation NYA du 20/07/2017 (CC 1988),"Esso, Petronas,SHT",Crude oil (2709),Production,638135.0,Barrels,34993372.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Prosopis,Concession d'Exploitation Prosopis du 29/05/2013 (CC 1999),"CNPC, Cliveden, SHT",Crude oil (2709),Production,1193360.0,Barrels,65440213.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Rônier,Concession d'Exploitation Rônier du 13/10/2009 (CC 1999),"CNPC, Cliveden, SHT",Crude oil (2709),Production,1100727.0,Barrels,60360503.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Champs Timbré,Concession d'exploitation Timbré du 20/07/2017 (CC 2004),"Esso, Petronas,SHT",Crude oil (2709),Production,598515.0,Barrels,32820733.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
