Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Barrick Pueblo Viejo Dominican Corporation,101886714,Barrick Pueblo Viejo Dominican Corporation,Copper (2603),Production,,Tonnes,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
Barrick Pueblo Viejo Dominican Corporation,101886714,Barrick Pueblo Viejo Dominican Corporation,Gold (7108),Production,26.0,Tonnes,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
Barrick Pueblo Viejo Dominican Corporation,101886714,Barrick Pueblo Viejo Dominican Corporation,Silver (7106),Production,78.0,Tonnes,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Corporación Minera Dominicana, S.A.",101530286,"Corporación Minera Dominicana, S.A.",Copper (2603),Production,0.0,Tonnes,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Corporación Minera Dominicana, S.A.",101530286,"Corporación Minera Dominicana, S.A.",Gold (7108),Production,0.0,Tonnes,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Corporación Minera Dominicana, S.A.",101530286,"Corporación Minera Dominicana, S.A.",Silver (7106),Production,2.0,Tonnes,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Corporación Minera Dominicana, S.A.",101530286,"Corporación Minera Dominicana, S.A.",Zinc (2608),Production,2361.0,Tonnes,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Envirogold (Las Lagunas), Limited",130417784,"Envirogold (Las Lagunas), Limited",Gold (7108),Production,,oz,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Envirogold (Las Lagunas), Limited",130417784,"Envirogold (Las Lagunas), Limited",Silver (7106),Production,,oz,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Falconbridge Dominicana, S.A.",101007176,"Falconbridge Dominicana, S.A.",Nickel (2604),Production,59211.0,Tonnes,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
