Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
"Landesamt für Bergbau, Energie und Geologie (LBEG) Hannover für Finanzverwaltung Schleswig Holstein, Schleswig Holstein",,DEA Deutsche Erdoel AG,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Bergbau, Energie und Geologie (LBEG) Hannover für Finanzverwaltung Schleswig Holstein, Schleswig Holstein",,Wintershall GmbH (heute: Wintershall DEA Deutschland GmbH),Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Bergbau, Energie und Geologie (LBEG) Hannover für Landeshauptkasse Bremen",,DEA Deutsche Erdoel AG,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Bergbau, Energie und Geologie (LBEG) Hannover, Lower Saxony",,BEB Erdgas und Erdöl GmbH & Co. KG,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Bergbau, Energie und Geologie (LBEG) Hannover, Lower Saxony",,DEA Deutsche Erdoel AG,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Bergbau, Energie und Geologie (LBEG) Hannover, Lower Saxony",,ExxonMobil Central Europe Holding GmbH,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Bergbau, Energie und Geologie (LBEG) Hannover, Lower Saxony",,Neptune Energy Deutschland GmbH,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Bergbau, Energie und Geologie (LBEG) Hannover, Lower Saxony",,Vermilion Energy Germany GmbH & Co. KG,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Bergbau, Energie und Geologie (LBEG) Hannover, Lower Saxony",,Wintershall GmbH (heute: Wintershall DEA Deutschland GmbH),Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Geologie und Bergbau, Mainz-Hechtsheim, Rhineland Palatinate",,DEA Deutsche Erdoel AG,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Geologie und Bergbau, Mainz-Hechtsheim, Rhineland Palatinate",,ExxonMobil Central Europe Holding GmbH,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Geologie und Bergbau, Mainz-Hechtsheim, Rhineland Palatinate",,Neptune Energy Deutschland GmbH,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Geologie und Bergbau, Mainz-Hechtsheim, Rhineland Palatinate",,Wintershall GmbH (heute: Wintershall DEA Deutschland GmbH),Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Geologie und Bergwesen Sachsen-Anhalt, Halle, Saxony Anhalt",,K+S Aktiengesellschaft,Potash and salts,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Landesamt für Geologie, Rohstoffe und Bergbau im Regierungspräsidium Freiburg, Baden Wurttemberg",,Wacker Chemie AG,Potash and salts,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Regierung von Oberbayern, Bergamt Südbayern, München, Bavaria",,BEB Erdgas und Erdöl GmbH & Co. KG,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"Regierung von Oberbayern, Bergamt Südbayern, München, Bavaria",,Wintershall GmbH (heute: Wintershall DEA Deutschland GmbH),Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
