Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Cape Three Points Block 4,Not applicable,ENI;Vitol;Woodfields;GNPC;Exploroco,Crude oil (2709),Exploration,,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
DeepWater Tano,Not applicable,Tullow Ghana Ltd;Kosmos Energy HC;Anadarko;PetroSA;Ghana National Petroleum Company,Crude oil (2709),Production,,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Jubilee Fields,Not applicable,Tullow Ghana Ltd;Kosmos Energy HC;Anadarko;PetroSA;Ghana National Petroleum Company,Crude oil (2709),Production,4525065.19,Sm3,1430652793.83,GHS,Ghana,GHA,2018,2018-01-01,2018-12-31
Jubilee Fields,Not applicable,Tullow Ghana Ltd;Kosmos Energy HC;Anadarko;PetroSA;Ghana National Petroleum Company,Natural gas (2711),Production,7986690.61,Sm3 o.e.,92878.0,GHS,Ghana,GHA,2018,2018-01-01,2018-12-31
MC-113 (Hotopo),Not applicable,Ghana Manganese Co. Ltd,Manganese (2602),Production,4473192.0,Tonnes,1399026798.25,GHS,Ghana,GHA,2018,2018-01-01,2018-12-31
MC-113/Vol.4,Not applicable,Ghana Manganese Co. Ltd,Manganese (2602),Production,,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
MC-7/SF8 (Awaso),Not applicable,Ghana Bauxite Company Ltd,Aluminium (2606),Production,28.22,Tonnes,4168.87,GHS,Ghana,GHA,2018,2018-01-01,2018-12-31
MC-9/SF2 (Fiankuma 1),Not applicable,AngloGold Ashanti (Ghana) Ltd,Gold (7108),Production,,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
MC-9/SF2 (Fiankuma 2),Not applicable,AngloGold Ashanti (Ghana) Ltd,Gold (7108),Production,,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
MC-9/SF2 (Fiankuma 3),Not applicable,AngloGold Ashanti (Ghana) Ltd,Gold (7108),Production,,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
