Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Adamantium Holdings,Mining permits,Adamantium Holdings,Gold (7108),Production,0.234,Tonnes,2116485017.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Alphonso Clinton,Mining permits,Alphonso Clinton,Gold (7108),Production,0.148,Tonnes,1288752056.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Aranka Gold Incorporated,PL 07-09/2014; 02-09/2015,Aranka Gold Incorporated,Gold (7108),Exploration,,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
"Aurora mine, Cuyuni 4",Mineral agreement dated 18 November 2011,AGM Inc.,Gold (7108),Production,4.637,Tonnes,207288018.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Azeem Baksh,Mining permits,Azeem Baksh,Gold (7108),Production,0.0,Tonnes,921440413.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Baboolall Chunilall,Mining permits,Baboolall Chunilall,Gold (7108),Production,0.0,Tonnes,631492619.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Baracara Quarries Inc,QL 1/96,Baracara Quarries Inc,Gold (7108),Production,117269.0,Tonnes,1008927300.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Bauxite Company of Guyana Inc,ML 01/2012,Bauxite Company of Guyana Inc,Other (2617),Production,1393667.0,Tonnes,54405538.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Berbice,https://gyeiti.org/on-energy-inc-contract/,ON Energy Inc.,Crude oil (2709),Exploration,,Barrels,,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Bhabendra Badrinauth,Mining permits,Bhabendra Badrinauth,Gold (7108),Production,0.0,Tonnes,984312518.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
"Bonasika, Potaro 2",Mineral agreement dated 24 November 2011,First Bauxite Company & Guyana Industrial Minerals Inc.,Other (2617),Production,,Tonnes,,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Canje,,"Esso Exploration and Production Guyana Limited, Mid- Atlantic Oil and Gas, Inc. and JHI Associates (BVI) Inc",Crude oil (2709),Exploration,,Barrels,,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
China Jiahau Corporation Inc.,Mining permits,China Jiahau Corporation Inc.,Gold (7108),Production,0.155,Tonnes,1299981459.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Corentyne,https://gyeiti.org/contracts/cgx-contract/,CGX Resources Inc.,Crude oil (2709),Exploration,,Barrels,,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Correia Mining Co.,ML/01/2004; mining permits,Correia Mining Co.,Gold (7108),Production,0.006,Tonnes,48664712.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Demerara,https://gyeiti.org/contracts/cgx-contract/,CGX Resources Inc.,Crude oil (2709),Exploration,,Barrels,,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Dinar Trading,Dealing permit,Dinar Trading,Gold (7108),Not applicable,,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Disarz Jeanne Gesel,Mining permits,Disarz Jeanne Gesel,Gold (7108),Production,0.0,Tonnes,991047975.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
El Dorado Trading,Dealing permit,El Dorado Trading,Gold (7108),Not applicable,,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Excel Minerals,Dealing permit,Excel Minerals,Gold (7108),Not applicable,,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Ghanesh Mohindernauth,Mining permits,Ghanesh Mohindernauth,Gold (7108),Production,0.0,Tonnes,947410585.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Gold Target Export,Mining permits,Gold Target Export,Gold (7108),Production,0.073,Tonnes,656806336.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Grey Wolf Resources,Mining permits,Grey Wolf Resources,Gold (7108),Production,0.174,Tonnes,1532264208.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Guyana manganese Inc.,PL/14-17/2010,Guyana manganese Inc.,Manganese (2602),Production,,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
HIGGINS WINSLOW THEOPILUS,Mining permits,HIGGINS WINSLOW THEOPILUS,Gold (7108),Production,0.082,Tonnes,614956721.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Harpy Investments,Mining permits,Harpy Investments,Gold (7108),Production,0.061,Tonnes,493807361.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Henry Alphonso,Mining permits,Henry Alphonso,Gold (7108),Production,0.046,Tonnes,405503387.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Hopkinson Morris & Shawn,Mining permits,Hopkinson Morris & Shawn,Gold (7108),Production,4922.0,Tonnes,1215505958.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Innovative Mining,Mining permits,Innovative Mining,Gold (7108),Production,0.549,Tonnes,4707318264.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
J&D Mining,Mining permits,J&D Mining,Gold (7108),Production,0.005,Tonnes,42500359.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Kaieteur,,"Esso Exploration and Production Guyana Limited, Ratio Energy Ltd. now Cataleya Energy Ltd./RATIO
Guyana Ltd.",Crude oil (2709),Exploration,,Barrels,,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Kanuku,https://gyeiti.org/repsol-contract/,Repsol Exploration Guyana and Tullow Guyana B.V,Crude oil (2709),Exploration,,Barrels,,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
"Karouni, Mazaruni 3",Mineral agreement dated 16 October 2014,Troy resources Inc,Gold (7108),Production,2.571,Tonnes,115558049.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Kassim Wazim,Mining permits,Kassim Wazim,Gold (7108),Production,0.171,Tonnes,1442697935.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
"Linden, Potaro 2",Mineral agreement dated 8 December 2004,BOSAI Minerals Guyana Inc,Other (2617),Production,524995.0,Tonnes,15859706349.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Mahadeo Gurdev,Mining permits,Mahadeo Gurdev,Gold (7108),Production,0.097,Tonnes,838716691.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Mahadeo Millburn,"PPMS 396/2008; 395/2008, 607-610/2012",Mahadeo Millburn,Gold (7108),Production,0.06,Tonnes,532047415.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Methuram Suraj,Mining permits,Methuram Suraj,Gold (7108),Production,0.0,Tonnes,496303667.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
"Mines in Marudi Mountain, Lethem, Rupununi 6",Mineral agreement dated 16 April 2009,Romanex Guyana Exploration Ltd.,Gold (7108),Production,0.004,Tonnes,37101308.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Mohamed's Enterprise,Dealing permit,Mohamed's Enterprise,Gold (7108),Not applicable,,,,,Guyana,GUY,2018,1/1/2018,12/31/2018
New East International,Mining permits,New East International,Gold (7108),Production,0.001,Tonnes,13314707.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
