Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
AHDEB,Not Available,Al-Waha (%75) / Oil Marketing Company – SOMO (%25),Crude oil (2709),Production,40200904.0,Barrels,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
AKKAS,Not Available,KOGAS (%75) / North Oil Company – NOC (%25),Natural gas (2711),Development,,,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
Abu-Amood Oil Field (Thi-Qar Oil Company Efforts) - Non Producing,Not Available,Thi-Qar Oil Company,Crude oil (2709),Other,,,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
Abu-Khaima Oil Field (Basra Oil Company Efforts) - Non Producing,,Basra Oil Company,Crude oil (2709),Other,,,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
Ain Zalah/Butmah (North Oil Company Efforts),Not Available,North Oil Company,Crude oil (2709),Production,451145.0,Barrels,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
Ajil/Himrin Oil Field (North Oil Company Efforts),Not Available,North Oil Company,Crude oil (2709),Production,329680.0,Barrels,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
Alan Oil Field (North Oil Company Efforts) - Non Producing,Not Available,North Oil Company,Crude oil (2709),Other,,,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
Amara Oil Field (Missan Oil Company Efforts),Not Available,Missan Oil Company,Crude oil (2709),Production,5390039.0,Barrels,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
Artawi Oil Field (Basra Oil Company Efforts),Not Available,Basra Oil Company,Crude oil (2709),Production,19318268.0,Barrels,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
BADRA,Not Available,Gazprom (%30) / KOGAS (%22.5) / Petronas (%15) / TPAO (%7.5) / Oil Exploration Company – OEC (%25),Crude oil (2709),Production,29513797.0,Barrels,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
BLOCK 10,Not Available,Lukoil (%60) / Inpex (%40),Crude oil (2709),Exploration,,,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
