Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
CNH-A1-TRION/2016,CNH-A1-TRION/2016,"BHP Billiton Petróleo Operaciones De México (Operador) Y, Pemex Exploración Y Producción",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-M1-EK-BALAM/2017,CNH-M1-EK-BALAM/2017,Pemex Exploración Y Producción,,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-M2-Santuario-El Golpe/2017,CNH-M2-Santuario-El Golpe/2017,"Petrofac (Operador), Pemex Exploración Y Producción",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R01-L01-A2/2015,CNH-R01-L01-A2/2015,"Talos Energy Offshore México 2 (Operador), Sierra O&G Exploración y Producción, Premier Oil Exploration and Production México",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R01-L01-A7/2015,CNH-R01-L01-A7/2015,"Talos Energy Offshore México 7, (Operador), Sierra O&G Exploración y Producción, Premier Oil Exploration and Production México",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L01-A10.CS/2017,CNH-R02-L01-A10.CS/2017,Eni Mexico,,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L01-A11.CS/2017,CNH-R02-L01-A11.CS/2017,"Repsol Exploración Mexico, Sierra Perote E&P",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L01-A12.CS/2017,CNH-R02-L01-A12.CS/2017,Lukoil Overseas Netherlands B.V.,,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L01-A14.CS/2017,CNH-R02-L01-A14.CS/2017,"Eni International B.V., Citla Energy E&P",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L01-A15.CS/2017,CNH-R02-L01-A15.CS/2017,"Total, Shell Exploración Y Extracción De Mexico",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L01-A2.TM/2017,CNH-R02-L01-A2.TM/2017,"Dea Deutsche Erdoel Ag, Petróleos Mexicanos",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L01-A6.CS/2017,CNH-R02-L01-A6.CS/2017,"PC Carigali Mexico Operations, Ecopetrol Global Energy S.L.",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L01-A7.CS/2017,CNH-R02-L01-A7.CS/2017,"Eni Mexico, Capricorn Energy Limited, Citla Energy E&P",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L01-A8.CS/2017,CNH-R02-L01-A8.CS/2017,"Petróleos Mexicanos, Ecopetrol Global Energy S.L.",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L01-A9.CS/2017,CNH-R02-L01-A9.CS/2017,"Capricorn Energy Limited, Citla Energy E&P",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L02-A1.BG/2017,CNH-R02-L02-A1.BG/2017,"Iberoamericana De Hidrocarburos, Servicios Pjp4 De Mexico",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L02-A10.CS/2017,CNH-R02-L02-A10.CS/2017,"Sun God Energía De Mexico, Jaguar Exploración Y Producción De Hidrocarburos",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L02-A4.BG/2017,CNH-R02-L02-A4.BG/2017,"Sun God Energía De Mexico, Jaguar Exploración Y Producción De Hidrocarburos",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L02-A5.BG/2017,CNH-R02-L02-A5.BG/2017,"Sun God Energía De Mexico, Jaguar Exploración Y Producción De Hidrocarburos",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L02-A7.BG/2017,CNH-R02-L02-A7.BG/2017,"Sun God Energía De México, Jaguar Exploración Y Producción De Hidrocarburos",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L02-A8.BG/2017,CNH-R02-L02-A8.BG/2017,"Sun God Energía De Mexico, Jaguar Exploración Y Producción De Hidrocarburos",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L02-A9.BG/2017,CNH-R02-L02-A9.BG/2017,"Sun God Energía De Mexico, Jaguar Exploración Y Producción De Hidrocarburos",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L03-BG-01/2017,CNH-R02-L03-BG-01/2017,"Iberoamericana De Hidrocarburos, Servicios Pjp4 De Mexico",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L03-BG-02/2017,CNH-R02-L03-BG-02/2017,"Newpek Exploración Y Extracción, Verdad Exploration Mexico Llc",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L03-BG-03/2017,CNH-R02-L03-BG-03/2017,"Newpek Exploración Y Extracción, Verdad Exploration Mexico Llc",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L03-BG-04/2017,CNH-R02-L03-BG-04/2017,"Iberoamericana De Hidrocarburos, Servicios Pjp4 De Mexico",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L03-CS-01/2017,CNH-R02-L03-CS-01/2017,Jaguar Exploración Y Producción De Hidrocarburos,,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L03-CS-02/2017,CNH-R02-L03-CS-02/2017,"Shandong Kerui Oilfield Service Group Co., Sicoval Mx, Nuevas Soluciones Energéticas A&P",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L03-CS-03/2017,CNH-R02-L03-CS-03/2017,"Shandong Kerui Oilfield Service Group Co., Sicoval Mx, Nuevas Soluciones Energéticas A&P",,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L03-CS-04/2017,CNH-R02-L03-CS-04/2017,Carso Oil And Gas,,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
CNH-R02-L03-CS-05/2017,CNH-R02-L03-CS-05/2017,Carso Oil And Gas,,,,,,,Mexico,MEX,2017,1/1/2017,12/31/2017
