Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Alabaster enrichment factory,20-13-03,CMKI,Not applicable,Not applicable,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Alag tolgoi,Т/18-10-13,Powerland,Not applicable,Not applicable,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Altan ovo,16-02-02,Sunkhungold,Not applicable,Production,57247.18,,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Altantuul,Т/17-07-02,Terguun mining,Not applicable,Production,55.41,,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Ar Tamsag,Т/20 11-17,Ulaan bukhnuud,Not applicable,Not applicable,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Ar khadagtai,11,Shandini nuruu,Not applicable,Production,5.0,,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Aralt khudag,t 135,Am Ta Tu,Not applicable,Production,6000.0,,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Artamsag,T/19-12-14,Khos khas,Not applicable,Production,163533.89,,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Barilt olborlokh,31-04,Erdeneresource mongolia,Not applicable,Not applicable,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Baruun del,21-06,Dugui uul,Not applicable,Not applicable,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Baruun noyon uul,Т/19-08-02,Tsagaan uvuljuu,Not applicable,Not applicable,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Baruun noyon uul,Т/20-12-08,Tsagaan uvuljuu,Not applicable,Production,160627.0,,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Baruun noyon uul,т/35,Khur erdene bayalag,Not applicable,Production,16000.0,,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Baruun noyon uul 1,Т/19-01-10,Tsagaan uvuljuu,Not applicable,Not applicable,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Bayangol,15-11-08,Nutgiin ord,Not applicable,Not applicable,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Bayangol,2-Oct,Dashan khairkhan,Not applicable,Not applicable,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Bayangol,Т/19-03-06,Boldtumur eroo gol,Not applicable,Production,3330783.0,,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Bayangoliin goldirol,Т/111,Bayangol eco zaamar,Not applicable,Production,44.81,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Bayankhoshuu,ХХ-08-08,New gold mine,Not applicable,Not applicable,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Berkh uul,Т/19-16-03,Tsui khang invest,Not applicable,Production,5545.45,,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Bichigtkhairkhan Trade,-,Bilegt khairkhan trade,Not applicable,Production,,Not applicable,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
Buduun Ukhaa,13-18-04,Khunt uguuj,Not applicable,Production,25499.5,,,Not applicable,Mongolia,MNG,2020,1/1/2020,12/31/2020
