Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
#REF!,867C,,Coal (2701),Production,8811182.0,Tonnes,51288471275.73,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Africa Great Wall Mining Development Company,"9920 C, 7954 C,7071 C, 7072 C, 7534 C, 3766 C, 7953 C, 3102 C, 8404 L",,Other (2617),Production,321795.13,Tonnes,1149906766.25,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"CINAC - CIMENTOS DE NACALA, SA","62 C, 591 C, 1525 C, 27 C, 15 C, 31 C, 4192 L",,Chalk (2509),Production,844376.76,Tonnes,117927704.62,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"CINAC - CIMENTOS DE NACALA, SA","62 C, 591 C, 1525 C, 27 C, 15 C, 31 C, 4192 L",,Other clays (2508),Production,49162.43,Tonnes,17786140.25,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Cimento Nacional, Lda",9901 L,,Chalk (2509),Production,3728261.24,Tonnes,1435380581.19,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Cimentos de Moçambique,734 C,,Other clays (2508),Production,61483.91,Tonnes,15610764.5,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Companhia Moçambicana de Gasoduto, S.A. (CMG)",,,Other (2617),Exploration,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Companhia Moçambicana de Hidrocarbonetos (CMH),"866 C, 28 C",,Natural gas (2711),Production,2567430.0,Sm3,281691041.37,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"ENH-KOGAS, S.A",3605 C,,Coal (2701),Production,736765.0,,2175132735.0,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Empresa Moçambicana de Exploração Mineira,"7169 C, 3791 C, 4776 C, 7239C, 3314 L, 9295 L",,Other (2617),Production,45232.0,,3587700.0,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Empresa Nacional de Hidrocarbonetos, EP (ENH)","7626 C, 7521 C,7646 C, 4695 C, 7644 C",,Coal (2701),Exploration,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Eni Mozambico S.p.A,735 C,,Other (2617),Production,1202115.0,Tonnes,5718615673.46,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
ExxonMobil,8887 C,,Natural gas (2711),Production,403413.0,Tonnes,2686121465.54,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Fábrica de Xaropes e Refrigerantes Vumba,3365 C,,Coal (2701),Production,1775249.0,Tonnes,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Haiyu Mozambique Mining Co, Lda",4064 C,,Coal (2701),Exploration,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"ICVL Zambeze, Lda",4703 C,,Ruby,Exploration,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"JSPL Mozambique Minerals, Lda","7408 C, 9919 C",,Natural sands (2505),Exploration,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Kenmare Moma Mining (Mauritius) Limited,37 C,,Titanium (2614),Production,1035648.0,Sm3,894527671.38,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Limak Cimentos, SA","6432 C, 5684 L",,Natural graphite (2504),Production,152675.0,Tonnes,5381146039.0,MZN,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Minas de Benga,Not available,,Natural gas (2711),Other,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Minas de Revuboé, Lda",Not available,,Natural gas (2711),Other,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Montepuez Rubi Mining (MRM),Not available,,Natural gas (2711),Other,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Mozambique Heavy Sands Company VII,Not available,,Natural gas (2711),Other,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Mozambique Rovuma Venture, SPA",EPCC - Area A5A Mozambique basin,,Natural gas (2711),Other,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Republic of Mozambique Pipeline Company - ROMPCO,EPCC - Area A5B/Z5D/Z5C Mozambique basin,,Natural gas (2711),Other,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Sasol Petroleum Temane, Lda",PLA - Ressano Garcia/Matola,,Natural gas (2711),Other,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Sociedade Águas de Moçambique, Lda",EPCC - Area 4 Rovuma basin,,Natural gas (2711),Development,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Total E&P Mozambique Area 1, Lda",PLA - TEMANE/RSA,,Natural gas (2711),Other,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Twigg Exploration Mining,PPA- PANDA E TEMANE,,Natural gas (2711),Production,4491747.51,Sm3 o.e.,365508444.32,USD,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Vale Moçambique, SA",EPCC - Area 1 Rovuma basin,,Natural gas (2711),Development,,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
