Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Acupan Contract Mining Project,PC‐ACMP‐002‐ CAR,Benguet Corporation,Gold (7108),Production,0.29,Tonnes,618176563.35,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Adlay Nickel Project,MPSA No. 018-93-X (SMR),CTP Construction and Mining Corporation,Nickel (2604),Production,1627837.81,Tonnes,1796386445.93,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Agata North Lateritic Nickel Project,MPSA No. 134-99-XIII,"Agata Mining Ventures, Inc.",Nickel (2604),Production,2016820.0,Tonnes,1323039908.01,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Aggregates Quarry & Crushing Project,MPSA No. 202-2004-IVA,"Hardrock Aggregates, Inc.",Granite (2516),Production,709170.34,Sm3,133566130.85,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Angono Basalt Quarry,MPSA No. 055-96-IVA,Concrete Aggregates Corporation,Granite (2516),Production,3053019.0,Sm3,920872072.0,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Basalt Mining Project,MPSA No. 296-2009-IVA,Gozon Development Corporation,Granite (2516),Production,368128.58,Sm3,160989726.82,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Basalt Quarrying,MPSA No. 194-2004-VII,"JLR Construction and Aggregates, Inc.",Granite (2516),Production,375957.77,Sm3,175948236.36,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Berong Nickel Project,MPSA No. 235-2007-IVB,Berong Nickel Corporation,Nickel (2604),Production,396079.0,Tonnes,693240195.0,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Bohol Limestone Mining Project,MPSA No. 150-00-VII,Bohol Limestone Corporation,Limestone (2521),Production,3181577.0,Tonnes,165442004.0,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Bulacan Plant,MPSA No. 026-94-III,"Republic Cement and Building Materials, Inc.",Limestone (2521),Production,1856238.52,Tonnes,244575839.94,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Bulacan Plant,MPSA No. 026-94-III,"Republic Cement and Building Materials, Inc.",Natural sands (2505),Production,265448.98,Tonnes,30155287.5,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Cagdianao Nickel Project,MPSA No. 078-97-XIII (SMR),Cagdianao Mining Corporation,Nickel (2604),Production,2309399.94,Tonnes,3340262121.21,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Cagdianao-Adlay Tandawa Project,MPSA No. 007-92-X,Platinum Group Metals Corporation,Nickel (2604),Production,3145974.71,Tonnes,4389348805.8,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Cantilan Nickel Project,MPSA No. 016-93-X (SMR),Marcventures Mining and Development Corporation,Nickel (2604),Production,744230.14,Tonnes,690218010.42,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Carrascal Nickel Project,MPSA No. 243-2007-XIII (SMR),Carrascal Nickel Corporation,Nickel (2604),Production,2168016.0,Tonnes,2277548201.44,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Cement Manufacturing Plant,MPSA No. 181-2002-III,Eagle Cement Corporation,Limestone (2521),Production,3952308.62,Tonnes,727224786.08,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Co-O Gold Project,MPSA No. 262-2008-XIII,Philsaga Mining Corporation,Gold (7108),Production,2.89,Tonnes,6043748832.0,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Dahican Nickel Project,MPSA No. 158-00-XIII (SMR),CTP Construction and Mining Corporation,Nickel (2604),Production,681691.87,Tonnes,564428523.14,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Didipio Copper-Gold Project,FTAA No. 001,"OceanaGold (Philippines), Inc.",Copper (2603),Production,79520.0,Tonnes,5162801708.27,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Didipio Copper-Gold Project,FTAA No. 001,"OceanaGold (Philippines), Inc.",Gold (7108),Production,3.58,Tonnes,7663230096.27,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Didipio Copper-Gold Project,FTAA No. 001,"OceanaGold (Philippines), Inc.",Silver (7106),Production,5.77,Tonnes,153299438.21,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Dinagat Chromite Project,MPSA No. 291-2009-XIII (SMR),"Krominco, Inc.",Chromium (2610),Other,,Tonnes,,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Dinagat Chromite/Nickel Project,MOA by and between DENR and PMDC,AAM-Phil Natural Resources Exploration and Development Corporation,Nickel (2604),Production,129150.97,Tonnes,143510130.0,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Dolomite Mining,MPSA No. 208-2005-VII,Dolomite Mining Corporation,Dolomite (2518),Production,1553815.54,Tonnes,189565495.88,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Esperanza Nickel Project,MPSA No. 283-2009-XIII (SMR),Century Peak Corporation,Nickel (2604),Production,41490.66,Tonnes,51208649.41,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Galoc Field SC14C,SC 14C,Galoc Production Company WLL - Philippine Branch,Crude oil (2709),Production,1066075.0,Barrels,41581268.0,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
Gotok Limestone Quarry Project,MPSA No. 213-2005-IVB,Rio Tuba Nickel Mining Corporation,Limestone (2521),Production,379056.0,Tonnes,312003807.0,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
H.Y. Nickel-Chromite Project,MPSA No. 002-90-X (SMR),Sinosteel Phils. H. Y. Mining Corporation,Nickel (2604),Production,100110.35,Tonnes,174061149.54,PHP,Philippines,PHL,2018,2018-01-01,2018-12-31
