Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
AWA-PALOUKOU,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Eni Congo, SNPC",Nkossa,,1194222.42,Barrels,63269904.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Banga Kayo,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Wing Wah, SNPC",DJENO MELANGE,,292632.0,Barrels,16833220.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Butane Nkossa,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"TEP Congo, Chevron, SNPC",BUTANE,,519037.46,Barrels,21889225.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Butane Nsoko,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"TEP Congo, Chevron, SNPC",BUTANE,,27175.89,Barrels,1146081.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
CONDENSATS-MBD-CRU,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Eni Congo, TEP Congo, SNPC",DJENO MELANGE,,245799.0,Barrels,13962341.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
DJAMBALA II,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Eni Congo, SNOC, AOGC",Nkossa,,149767.68,Barrels,7934692.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Emeraude,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,Eni Congo 100%,DJENO MELANGE,,3894223.99,Barrels,204596156.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
FOUKANDA II,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Eni Congo, SNOC, AOGC",Nkossa,,405463.35,Barrels,21481448.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
IKALOU,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,Eni Congo 100%,DJENO MELANGE,,1737027.72,Barrels,91260594.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
KITINA II,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Eni Congo, SNPC , New Age",Nkossa,,584529.65,Barrels,30968381.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
KOUAKOUALA,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Eni Congo, Burren, SNPC",Nkossa,,178973.0,Barrels,9663061.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Kombi,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"TEP Congo, Eni Congo",DJENO MELANGE,,463669.74,Barrels,24360450.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
LITCHENDJILI,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Eni Congo, New Age",Nkossa,,1217307.23,Barrels,64492937.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
LOANGO II,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Eni Congo, TEP Congo, SNPC, Kontinent",DJENO MELANGE,,2771690.29,Barrels,145620072.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
LOUFIKA,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Eni Congo, Burren",Nkossa,,2188.5,Barrels,124828.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Lianzi - Nemba,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Chevron, TEP Congo , SNPC, Sonangol P&P, GABGOC, ENI Angola, Total Angola 10,00% et GALP 4,5%",Crude Oil,,3360052.5,Barrels,180401053.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Libondo,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"SOCO, AOGC, WNR, SNPC, PVEP",DJENO MELANGE,,4035232.09,Barrels,212004491.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Likalala,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"TEP Congo, Eni Congo",DJENO MELANGE,,1178570.5,Barrels,61920165.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Likouala,https://www.finances.gouv.cg/fr/type/secteur-pétrolier,"Congorep, Eni Congo",DJENO MELANGE,,7083289.66,Barrels,372144448.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
