Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Allou Kagne- Thies; Sebikhotane- Thies; Mbodiene- Mbour; Warang- Mbour,Unspecified,Société Sénégalaise des Phosphates de Thiès - SSPT,Other (2617),Production,176926.0,Tonnes,4518556254.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
BANDIA,6002,"Société pour le Développement de l'Industrie, du Tourisme et de l'Habitat au Sénégal - SODEVIT",Limestone (2521),Production,553493.96,Sm3,3701527086.2,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
BANDIA,8569 of 11/15/1996; 7541 of 07/08/2009; 4608 of 3/31/1987,Compagnie Générale d'Exploitation de Carrière - COGECA,Limestone (2521),Production,8737.2,Sm3,78635525.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
BLOC SADIARATOU,Not disclosed,FORTESA (succursale),Natural gas (2711),Production,11060632.8,Sm3,1825004407.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
DIACK,6002,GECAMINES SA,Other (2617),Production,2335863.96,Tonnes,17527121247.66,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
DIACK,8329 of 9/15/97 and 12112 of 9/17/99; 7540 of 7/8/2009; 8569 of 11/15/1996,Compagnie Générale d'Exploitation de Carrière - COGECA,Other (2617),Production,1052284.25,Sm3,8681350012.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
KEUR MOR FALL ET NDOMOR DIOP; TOBENE SUD; TOBENE NORD,Unspecified,Industries Chimiques du Sénégal - ICS,Natural calcium phosphates (2510),Production,1782199.0,Tonnes,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Kiréne,Not applicable,Ciments du Sahel - CDS,Limestone (2521),Production,2558360.0,Tonnes,5372556000.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Lam Lam Region de THIES,Order N ° 020008 of 16/10/2015,Sephos Senegal SA,Natural calcium phosphates (2510),Production,69946.62,Tonnes,1900250149.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Mine de Mako,Unspecified,Petowal Mining Company S.A.,Gold (7108),Production,156925.68,oz,100910301955.52,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Mine de Mako,Unspecified,Petowal Mining Company S.A.,Silver (7106),Production,10114.22,oz,79470205.59,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Mine de Sabodala,Not applicable,Sabodala Gold Operations - SGO,Gold (7108),Production,245304.5,oz,169627487970.09,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Mine de Sabodala,Not applicable,Sabodala Gold Operations - SGO,Silver (7106),Production,20254.5,oz,175186261.01,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
NDIENDOURI ET OUALI DIALA (MATAM),Unspecified,Société Minière de la Vallée du fleuve Sénégal – SOMIVA,Natural calcium phosphates (2510),Production,570997.0,Tonnes,20606519927.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,AFRIG SA,,Exploration,,,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,Agem Sénégal Exploration SUARL,,Exploration,,,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,BP Senegal Investments Limited,Crude oil (2709),Exploration,,,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,Capricorn Senegal Limited (succursale),Crude oil (2709),Exploration,,,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,Kosmos Energy Senegal,Crude oil (2709),Exploration,,,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,La Société des Mines de Fer du Sénégal Oriental,,Not applicable,,,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,Oranto Petroleum Limited,Crude oil (2709),Exploration,,,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,Sabodala Mining Company,,Exploration,,,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,Société des pétroles du Sénégal (PETROSEN.SA),Crude oil (2709),Exploration,,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,Total E&P Senegal,Crude oil (2709),Exploration,,,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non Applicable,Not applicable,WOODSIDE ENERGY,Crude oil (2709),Exploration,,,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non précisé,Unspecified,SOCOCIM INDUSTRIES,Limestone (2521),Production,1233461.0,Tonnes,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Non précisé,Unspecified,SOCOCIM INDUSTRIES,Other (2617),Production,1774882.0,Tonnes,3904740400.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
POUT-TCHIKY,Unspecified,Dangote Industries Sénégal SA,Chalk (2509),Production,177599.0,Tonnes,600639818.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
POUT-TCHIKY,Unspecified,Dangote Industries Sénégal SA,Limestone (2521),Production,1830122.0,Tonnes,3367424480.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
POUT-TCHIKY,Unspecified,Dangote Industries Sénégal SA,Other (2617),Production,50726.0,Tonnes,152178000.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Thiecky,Not applicable,Ciments du Sahel - CDS,Chalk (2509),Production,363579.0,Tonnes,1199810700.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Thiecky,Not applicable,Ciments du Sahel - CDS,Other (2617),Production,97426.0,Tonnes,292278000.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
