Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Amoco Trinidad Gas BVTrinidad Branch,000115341-9,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BG Central Block Limited,000121807-9,,Crude oil (2709),Production,117418.0,Barrels,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BG Central Block Limited,000121807-9,,Natural gas (2711),Production,7522842.0,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BG International Limited,000118097-4,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Biliton Petroleum (Block 23 B) Limited,100039974-3,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton (Trinidad Block 28) Limited,100047864-5,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton (Trinidad Block 29) Limited,100047154-8,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton (Trinidad Block 5) Limited,100047966-7,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton (Trinidad Block 6) Limited,100043183-7,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton (Trinidad-2c) Limited,117683-6,,Crude oil (2709),Production,1542820.0,Barrels,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton (Trinidad-2c) Limited,117683-6,,Natural gas (2711),Production,132717469.0,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton (Trinidad-3A) Limited,122369-5,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton Petroleum (Block 23A) Limited,100041988-5,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton Petroleum (Trinidad Block 14) Limited,100045795-1,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton Petroleum (Trinidad Block 3) Limited,100040632-9,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BHP Billiton Petroleum (Trinidad Block 7) Limited,100052014-2,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BP Exploration Operating Co Ltd Trinidad Branch,100039340-4,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BP Trinidad Processing Limited,000128514-1,,,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BP Trinidad and Tobago LLC Trinidad Branch,000102561-5,,Crude oil (2709),Production,4303336.0,Barrels,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
