Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
"Subsoil use special permit No. 1012, dated 29.07.1997",1012,Poltava Iron Ore Enrichment Works PrJSC,Ferruginous quartzite,Production,16685060.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1038, dated 12.08.1997",1038,Ukrnafta PJSC,Crude oil (2709),Production,15600.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1038, dated 12.08.1997",1038,Ukrnafta PJSC,Petroleum gas,Production,4300000.0,Sm3,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1074, dated 23.09.1997",1074,Ukrnafta PJSC,Condensate,Production,1200.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1074, dated 23.09.1997",1074,Ukrnafta PJSC,Crude oil (2709),Production,6200.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1074, dated 23.09.1997",1074,Ukrnafta PJSC,Free gas,Production,15000000.0,Sm3,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1074, dated 23.09.1997",1074,Ukrnafta PJSC,Petroleum gas,Production,2300000.0,Sm3,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1075, dated 23.09.1997",1075,Ukrnafta PJSC,Condensate,Production,500.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1075, dated 23.09.1997",1075,Ukrnafta PJSC,Free gas,Production,5300000.0,Sm3,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1118, dated 21.10.1997",1118,Northern Iron Ore Enrichment Works PrJSC,Magnetite quartzites,Production,19888000.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1119, dated 21.10.1997",1119,Northern Iron Ore Enrichment Works PrJSC,Magnetite quartzites,Production,5810000.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1222, dated 26.01.1998",1222,Ukrnafta PJSC,Condensate,Production,0.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1222, dated 26.01.1998",1222,Ukrnafta PJSC,Free gas,Production,9500000.0,Sm3,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1266, dated 10.03.1998",1266,Ukrnafta PJSC,Crude oil (2709),Production,400.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1266, dated 10.03.1998",1266,Ukrnafta PJSC,Petroleum gas,Production,30000.0,Sm3,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1267, dated 10.03.1998",1267,Ukrnafta PJSC,Crude oil (2709),Production,800.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1267, dated 10.03.1998",1267,Ukrnafta PJSC,Petroleum gas,Production,10000.0,Sm3,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1268, dated 10.03.1998",1268,Ukrnafta PJSC,Crude oil (2709),Production,3500.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1268, dated 10.03.1998",1268,Ukrnafta PJSC,Petroleum gas,Production,300000.0,Sm3,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1269, dated 10.03.1998",1269,Ukrnafta PJSC,Crude oil (2709),Production,9400.0,Tonnes,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
"Subsoil use special permit No. 1269, dated 10.03.1998",1269,Ukrnafta PJSC,Petroleum gas,Production,8700000.0,Sm3,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
