Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
AL9,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Alba,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 106/400, 1,500,000 tpa, North Dowsing",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 127, 200,000 tpa, SW Needles",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 137, 1,000,000 tpa, Area A",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 197, 300,000 tpa, Protector Overfalls",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 212, 250,000 tpa, Norfolk",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 228, 1,500,000 tpa (mix), Off Great Yarmouth",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 240, 1,500,000 tpa, Cross Sands",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 242/361, 325,000 tpa, Lowestoft",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 254, 500,000 tpa, Off Great Yarmouth",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 340, 500,000 tpa, Nab",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 351, 500,000 tpa, SE Isle of Wight",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 351, 750,000 tpa (mix), SE Isle of Wight",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 392, 400,000 tpa, Hilbre Swash",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 395/1-2, 500,000 tpa, Off Selsey Bill",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 395/1-2, 750,000 tpa, Off Selsey Bill",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 396/488, 500,000 tpa, Inner Owers",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 401/2, 900,000 tpa, Yarmouth",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 407, 1,000,000 tpa, St Catherine's",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 430, 300,000 tpa, Southwold East",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 435, 900,000 tpa (mix), Inner Owers",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 451, 1,250,000 tpa (mix), St Catherine's",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 453, 250,000 tpa, Owers Extension",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 457, 1,200,000 tpa (mix), Liverpool Bay",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 458/464, 1,000,000 tpa, West Bassurelle",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
