Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Chambishi Mine,7069-HQ-LML,NFCA - Chambishi Mine,Copper (2603),Production,27706.0,Tonnes,170.91,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
Chibuluma Mine,7064-HQ-LML 7065-HQ-LML,Chibuluma Mines Plc,Copper (2603),Production,11300.0,Tonnes,69.71,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
"Copperbelt, Chililabombwe",21996-HQ-SEL,Lubambe Copper Mine,Copper (2603),Production,18037.0,Tonnes,111.26,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
Kansanshi Mine,17019-HQ-LEL,Kansanshi Mining Plc,Gold (7108),Production,4.565,Tonnes,183.31,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
Kansanshi Mine,7057 HQ LML,Kansanshi Mining Plc,Copper (2603),Production,250860.0,Tonnes,1547.48,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
Konkola Mine Area- Chililabombwe,7076 - HQ - LML,Konkola Copper Mines Plc,Copper (2603),Production,86585.0,Tonnes,534.11,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
"Luanshya, Copperbelt",21996-HQ-SEL,Luanshya Copper Mine,Copper (2603),Production,43693.0,Tonnes,269.53,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
Lumwana Mine,8089-HQ-LML 9000-HQ-LML 9001-HQ-LML 9002-HQ-LML 9003-HQ-LML 9004-HQ-LML,Lumwana Mining Company Ltd,Copper (2603),Production,116171.0,Tonnes,716.62,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
MAAMBA COAL PLANT,7058-HQ-LML 7174-HQ-SML,Maamba Collieries Limited,Coal (2701),Production,77500.0,Tonnes,,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
Mopani Mine,7073-HQ-LML 7625-HQ-LML,Mopani Copper Mines Plc,Copper (2603),Production,44144.0,Tonnes,272.31,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
Sentinel open-pit copper mine,15868-HQ-LML 15869-HQ-LML 15870-HQ-LML 15871-HQ-LML 15872-HQ-LML,Kalumbila Minerals Limited,Copper (2603),Production,190913.0,Tonnes,1177.68,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
Sino Metals,8474-HQ-LML 18153-HQ-LML 19619-HQ-LML,Sino Metals,Copper (2603),Production,7858.0,Tonnes,48.47,USD,Zambia,ZMB,2017,2017-01-01,2017-12-31
