GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Frais de dossier,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),566813150.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Administrative fees for government services (1422E),Mining,Frais de prestation ONASSIM,Office National de Sécurisation des Sites Miniers (ONASSIM),304500000.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Contribution au Fonds Minier de Développement Local (1%),Autres bénéficiaires (paiements sociaux),450000000.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Paiements sociaux obligatoires,Autres bénéficiaires (paiements sociaux),1616615353.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Customs and other import duties (1151E),Mining,Droits de Douane et taxes assimilées,Direction Générale des Douanes (DGD),58170842088.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Emission and pollution taxes (114522E),Mining,Frais de prestation BUMIGEB,Bureau des Mines et de la Géologie du Burkina (BUMIGEB),9132004.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Emission and pollution taxes (114522E),Mining,Frais de prestation BUNEE,Agence nationale des évaluations environnementales (ANEVE),104049534.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Emission and pollution taxes (114522E),Mining,Versements au Fonds de réhabilitation et de fermeture des mines,Fonds d'Intervention pour l'Environnement (FIE) (paiements environnementaux),4422649722.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
"Fines, penalties, and forfeits (143E)",Mining,Amendes/BNAF,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),186599582.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
"Fines, penalties, and forfeits (143E)",Mining,Pénalités,Direction Générale des Douanes (DGD),133373177.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
"Fines, penalties, and forfeits (143E)",Mining,Pénalités,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),33841492.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
From government participation (equity) (1412E2),Mining,Dividendes,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),3688270936.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Remboursements de crédit de TVA (remboursement effectif),Direction Générale des Impôts (DGI),-72126211634.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Taxe sur la Valeur Ajoutée (TVA),Direction Générale des Impôts (DGI),10772004282.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Droit d'enregistemeent (DE),Direction Générale des Impôts (DGI),25381959.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Droits Fixes,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),1603447500.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Taxe Superficiaire,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),11041803547.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Acomptes Provisionnels sur IS (AP - IS),Direction Générale des Impôts (DGI),20164261115.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,"Impôt sur le Revenu des Créances, dépôts et cautionnements (IRC)",Direction Générale des Impôts (DGI),313000.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôt sur le Revenu des Valeurs Mobilières (IRVM),Direction Générale des Impôts (DGI),4834533644.0,XOF,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
