GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Customs and other import duties (1151E),Mining,Contribution communautaire d'intégration (CCI),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),6073.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Mining,Droit de Douane à l’Importation (DDI),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),22619.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Mining,Redevance statistique à l'importation,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),22096.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Mining,Taxe communautaire d'intégration (TCI),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),11205.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Mining,Taxe sur la Valeur Ajoutée (douanes),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),34132.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Not applicable,PCI (Précompte sur Is),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Not applicable,Taxe de préférence communautaire (TPC),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Oil,Redevance statistique à l'importation,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),2849497.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Oil,Taxe communautaire d'intégration (TCI),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),11203.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Other,Droit de Douane à l’Importation (DDI),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),303429.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Oil,Profil Oil collectés par la SHT PCCL,Société des Hydrocarbures du Tchad (SHT),,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Oil,Profit Oil collecté par la SHT,Société des Hydrocarbures du Tchad (SHT),,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Oil,Redevance sur production collecté par la SHT,Société des Hydrocarbures du Tchad (SHT),,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Oil,Tax Oil collecté par la SHT,Société des Hydrocarbures du Tchad (SHT),,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Oil,Vente du pétrole collectés par SHT,Société des Hydrocarbures du Tchad (SHT),253777342.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Oil,Vente du pétrole collectés par SHT PCCL,Société des Hydrocarbures du Tchad (SHT),143659940.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Emission and pollution taxes (114522E),Not applicable,Taxe sur la Protection de l’environnement,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),,USD,Chad,TCD,2017,2017-01-01,2017-12-31
Excise taxes (1142E),Not applicable,DAC (Droit d'accise),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),,USD,Chad,TCD,2017,2017-01-01,2017-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Mining,Redressements fiscaux,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),25900.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Oil,Prélèvement sur les plus-values de cession,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),,USD,Chad,TCD,2017,2017-01-01,2017-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Oil,Redressements fiscaux,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),302976.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Other,Redressements fiscaux,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),293836.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
From government participation (equity) (1412E2),Other,Dividendes versés à l'Etat,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),2039147.0,USD,Chad,TCD,2017,2017-01-01,2017-12-31
