GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Effort de contribution au budget de l'Etat,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",787328.54,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Administrative fees for government services (1422E),Mining,Frais administratif de confidentialité,Entreprise d’État,674875.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Administrative fees for government services (1422E),Mining,Frais de Consultance,Entreprise d’État,37223486.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Administrative fees for government services (1422E),Mining,Quote-part sur les frais de contrôle de radioactivité,Direction des Recettes Provinciales,597340.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Administrative fees for government services (1422E),Oil,Contribution à l'effort pour l'exploration de la Cuvette Centrale,Secrétariat Général du Ministère des Hydrocarbures (SGH),500000.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Administrative fees for government services (1422E),Oil,Effort de contribution au budget de l'Etat,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",2232017.02,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Administrative fees for government services (1422E),Oil,Frais de formation des cadres congolais,Secrétariat Général du Ministère des Hydrocarbures (SGH),549860.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Bonuses (1415E2),Mining,Pas-de-Porte versés aux Entreprises Publiques/Bonus de signature ou Transfert,Entreprise d’État,76434755.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Bonuses (1415E2),Mining,Pas-de-Porte/Bonus de transfert,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",538801.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Bonuses (1415E2),Oil,Bonus de Renouvellement de la Concession,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",7500000.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Bonuses (1415E2),Oil,Bonus de signature,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",12500000.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Mining,Droits et taxes à l'importation (Totale Quittance),Direction Générale des Douanes et Accises (DGDA),140612076.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid directly to government (1415E31),Mining,Droits proportionnels sur la cession des parts ou actions des personnes morales,Direction des Recettes Provinciales,27674571.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid directly to government (1415E31),Oil,Marge distribuable(Profit-Oil Etat Puissance Publique),"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",68219760.81,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid directly to government (1415E31),Oil,Participation (Profit-Oil Etat associé),"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",20410222.55,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Mining,Avance Contractuel,Entreprise d’État,586177.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Mining,Cession d'actifs,Entreprise d’État,53047424.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Mining,Frais d'option/ Frais de renonciation au droit de préemption,Entreprise d’État,100200000.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Mining,Loyers d'Amodiation et/ou rente mensuelle et Indemnisation pour perte des revenus escomptés à titre de contrat d?amodiation,Entreprise d’État,4673085.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Mining,Paiement Contractuel sur seuil de Prod. atteint(500000 TCU),Entreprise d’État,15624947.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Mining,Prestation des services,Entreprise d’État,1658825.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Mining,Remboursement de Prestation,Entreprise d’État,312000.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Mining,Vente des scories,Entreprise d’État,3627739.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Emission and pollution taxes (114522E),Oil,"Suivi de l'exécution du PAR,PGE et Audit Environnemental",Agence Congolaise de l’Environnement (ACE),149978.58,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Mining,Avis de Mise en Recouvrement A,Direction Générale des Impôts (DGI),14629094.66,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Mining,Avis de Mise en Recouvrement B,Direction Générale des Impôts (DGI),5609266.06,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Mining,Pénalité SOKIMO,Entreprise d’État,750000.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Mining,Pénalités et Amendes Transactionnelles pour la DGDA,Direction Générale des Douanes et Accises (DGDA),625187.5,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Mining,Pénalités versées Trésor,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",5559810.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Mining,Pénalités versées à la DGRAD,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",5966106.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Oil,Avis de Mise en Recouvrement A,Direction Générale des Impôts (DGI),52630.85,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Oil,Avis de Mise en Recouvrement B,Direction Générale des Impôts (DGI),27272.54,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
From government participation (equity) (1412E2),Oil,Dividendes Pétrolier,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",1861693.44,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
From state-owned enterprises (1412E1),Mining,Dividendes des Entreprises publiques,Entreprise d’État,450000.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
From state-owned enterprises (1412E1),Oil,Dividendes des Entreprises publiques,Entreprise d’État,1614389.56,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Licence fees (114521E),Mining,Droits superficiaire annuels par carré,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",11581111.86,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Licence fees (114521E),Oil,Redevance Superficiaire/Frais de passage,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",4752512.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Motor vehicle taxes (11451E),Mining,Impôt sur le Véhicule (Vignette & TCSR),Direction des Recettes Provinciales,375148.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,IBP sur Prestations des personnes non résidentes en RDC,Direction Générale des Impôts (DGI),10865845.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôt sur les bénéfices et Profits(ou Impôt Spécial Forfetaire),Direction Générale des Impôts (DGI),270394286.57,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôts Professionnel sur les Rémunérations et Exceptionnel sur la Rémunération des Expatriés,Direction Générale des Impôts (DGI),151142851.46,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil,Impôt sur les bénéfices et Profits(ou Impôt Spécial Forfetaire),Direction Générale des Impôts (DGI),51519775.19,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil,Impôts Professionnel sur les Rémunérations et Exceptionnel sur la Rémunération des Expatriés,Direction Générale des Impôts (DGI),2991380.59,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Mining,Autorisation de transport de minerais,Direction des Recettes Provinciales,171126.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Mining,Autres Recettes (Uniquement pour les AFE),Direction des Recettes Provinciales,929451.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Mining,Impôt sur la superficie des concessions Minières,Direction des Recettes Provinciales,385548.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Mining,Police des Mines et Hydrocarbures,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",1936866.94,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Mining,Taxe Concentrés,Direction des Recettes Provinciales,69500337.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Mining,Taxe Voirie et Drainage,Direction des Recettes Provinciales,78334416.24,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Mining,Taxe sur la reconstruction,Direction des Recettes Provinciales,350000.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Oil,Banque de données,Secrétariat Général du Ministère des Hydrocarbures (SGH),50000.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Royalties (1415E1),Mining,Redevance Minière,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",174078356.56,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
Royalties (1415E1),Mining,Redevance annuelle pour entités de traitement et de transformation de toutes catégories et tailleries,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",220336.0,USD,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
