GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Tasa por Servicios,Ministerio de Energía y Minas,73000.0,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
Administrative fees for government services (1422E),,Revisión de puntos de conexión,Dirección General de Minería (DGM),34700.0,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Mining,Impuesto de Participación sobre Utilidades Netas,Dirección General de Impuestos Internos (DGII),5091591445.0,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
Licence fees (114521E),Mining,Retorno Neto de Fundición Minera,Dirección General de Impuestos Internos (DGII),5665405714.0,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
Licence fees (114521E),,Solicitud de exploración,Dirección General de Minería (DGM),,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,IMPUESTO POR INTERESES PAGADOS O ACREDITADOS EN EL EXTERIOR,Dirección General de Impuestos Internos (DGII),160592569.0,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,IMPUESTO POR PAGO AL EXTERIOR EN GENERAL,Dirección General de Impuestos Internos (DGII),428466796.0,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impuesto Sobre la Renta de las Empresas,Dirección General de Impuestos Internos (DGII),11417608250.0,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impuesto sobre la Renta de los Salarios,Dirección General de Impuestos Internos (DGII),932875818.0,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
Other taxes payable by natural resource companies (116E),,Impuesto de Superficie,Dirección General de Impuestos Internos (DGII),28490.0,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
Royalties (1415E1),Mining,Regalía del 5% de las exportaciones,Direccion Genreral de Aduanas (DGA),57327767.0,DOP,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
