GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
From government participation (equity) (1412E2),Mining,Dividend,Ministry of Finance,7436127.95,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
From government participation (equity) (1412E2),Oil & Gas,Dividends,Ghana Revenue Authority,,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
From state-owned enterprises (1412E1),Oil & Gas,Participating Interest,Ghana Revenue Authority,145956125.24,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Licence fees (114521E),Mining,Ground Rent,Office of the Administrator of Stool Lands,1934263.58,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Licence fees (114521E),Mining,Mineral Right Licence,Minerals Commission,,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Licence fees (114521E),Mining,Mineral Right Licence-ML (No Production yet),Minerals Commission,,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Licence fees (114521E),Mining,Mineral Right Licence-ML (Production),Minerals Commission,9311152.08,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Licence fees (114521E),Mining,Mineral Right Licence-ML (Reconnaisance),Minerals Commission,,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Licence fees (114521E),Mining,Mineral Right Licence-ML(Prospecting),Minerals Commission,6972019.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Licence fees (114521E),Mining,Other Fees and Licence,Minerals Commission,6700665.64,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Licence fees (114521E),Mining,Permit Licence,Minerals Commission,,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Licence fees (114521E),Oil & Gas,Surface rental,Ghana Revenue Authority,732555.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Licence fees (114521E),Oil & Gas,Training/Technology,Petroleum Commission,4990328.56,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Corporate Tax,Ghana Revenue Authority,338362124.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Corporate Tax,Ghana Revenue Authority,182502882.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Mining,EPA Processing/Permit Fees,Environmental Protection Agency,1221813.89,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Mining,Transportation Revenues,Ghana Railway Authority,,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Application pack,Petroleum Commission,20298.44,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Drilling and Injection Permit Fees,Petroleum Commission,54707.21,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Environmental Processing /Permit fees,Environmental Protection Agency,852248.66,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Exploration Extension License Fees,Petroleum Commission,307885.8,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Exploration and Development Permit,Petroleum Commission,470686.94,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Fees & Charges - Admin. & Services Charges,Petroleum Commission,249543.35,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Fines,Petroleum Commission,547104.59,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Permit Renewal Fee,Petroleum Commission,3240240.47,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Permits Fees,Petroleum Commission,2935332.41,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Production Permit,Petroleum Commission,1113678.49,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Registration Fee,Petroleum Commission,286411.63,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Royalties (1415E1),Mining,Forestry Royalty,Forestry Commission,3846221.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Royalties (1415E1),Mining,Mineral Royalty,Ghana Revenue Authority,202385005.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Royalties (1415E1),Oil & Gas,Gas Revenue,Ghana Revenue Authority,,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Royalties (1415E1),Oil & Gas,Royalty,Ghana Revenue Authority,236794156.11,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Sales of goods and services by government units (1421E),Oil & Gas,Data Licence Fees,Ghana National Petroleum Company,4272229.22,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Taxes on property (113E),Mining,Property rate,Amansie South District Assemly,87352.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Taxes on property (113E),Mining,Property rate,Asutifi District Assembly,70461.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Taxes on property (113E),Mining,Property rate,Bibiani /Ahwiaso /Bekwai District Assembly,42083.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Taxes on property (113E),Mining,Property rate,Birim North Assembly,288082.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Taxes on property (113E),Mining,Property rate,Ellembelle,34748.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Taxes on property (113E),Mining,Property rate,"Metropolitan, Municipal and District Assemblies",,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Taxes on property (113E),Mining,Property rate,Mpohor Wassa East,32936.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
Taxes on property (113E),Mining,Property rate,Obuasi Municipal Assembly,96521.0,USD,Ghana,GHA,2019,2019-01-01,2019-12-31
