GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Impuesto sobre Timbres Fiscales,Superintendencia de Administración Tributaria (SAT),14080.0,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Emission and pollution taxes (114522E),Oil & Gas,Participación estatal en la producción petrolera,Ministerio de Energia y Minas (MEM),132727579.87,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impuesto de Solidaridad,Superintendencia de Administración Tributaria (SAT),2646179.9,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impuesto sobre la Renta - ISR - Corporativo,Superintendencia de Administración Tributaria (SAT),94989200.26,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impuesto sobre la Renta - ISR - Corporativo,Superintendencia de Administración Tributaria (SAT),51357637.44,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Other taxes payable by natural resource companies (116E),Mining,Aportes MARN,Ministerio de Ambiente y Recursos Naturales (MARN),1256433.75,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Other taxes payable by natural resource companies (116E),Oil & Gas,Aportes Parque Laguna del Tigre /CONAP,Ministerio de Energia y Minas (MEM),2164553.0,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Other taxes payable by natural resource companies (116E),Oil & Gas,Aportes para Consejos departamentales de Desarrollo - SETH,Ministerio de Energia y Minas (MEM),5521392.0,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Other taxes payable by natural resource companies (116E),Oil & Gas,Aportes para el Batallon de Infanteria de la Selva,Ministerio de Energia y Minas (MEM),6493659.0,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Other taxes payable by natural resource companies (116E),Oil & Gas,Fondo Para el Desarrollo Economico de la Nacion - FONPETROL-,Ministerio de Energia y Minas (MEM),4299021.0,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Other taxes payable by natural resource companies (116E),Oil & Gas,Ingresos Privativos (Fondo Capacitacion),Ministerio de Energia y Minas (MEM),2626497.67,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Royalties (1415E1),Mining,"Cánones por licencia de reconocimiento, exploración, explotación",Ministerio de Energia y Minas (MEM),621500.0,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Royalties (1415E1),Mining,Regalias obligatorias gobierno,Ministerio de Energia y Minas (MEM),15209603.22,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Royalties (1415E1),Mining,Regalias obligatorias municipalidades,Municipalidades,15141821.0,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Royalties (1415E1),Oil & Gas,Regalias obligatorias gobierno,Ministerio de Energia y Minas (MEM),57922496.4,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Taxes on property (113E),Mining,Impuesto Unico Sobre Inmueble - IUSI -,Municipalidades,1470018.44,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Taxes on property (113E),Oil & Gas,Cargos anuales (tasas por hectárea),Ministerio de Energia y Minas (MEM),472061.57,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Taxes on property (113E),Oil & Gas,Impuesto Unico Sobre Inmueble - IUSI -,Municipalidades,373287.43,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Voluntary transfers to government (donations) (144E1),Mining,Regalias voluntarias gobierno,Ministerio de Finanzas Publicas (MINFIN),40472231.93,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
Voluntary transfers to government (donations) (144E1),Mining,Regalias voluntarias municipalidades,Municipalidades,46316861.55,GTQ,Guatemala,GTM,2017,2017-01-01,2017-12-01
