GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Internal Service Payments,Basra Oil Company,378764805.0,USD,Iraq,IRQ,2018,1/1/2018,12/31/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Internal Service Payments,Midland Oil Company,72165821.0,USD,Iraq,IRQ,2018,1/1/2018,12/31/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Internal Service Payments,Missan Oil Company,196912014.0,USD,Iraq,IRQ,2018,1/1/2018,12/31/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Internal Service Payments,North Oil Company,266180203.0,USD,Iraq,IRQ,2018,1/1/2018,12/31/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Internal Service Payments,Thi Qar Oil Company,70896785.0,USD,Iraq,IRQ,2018,1/1/2018,12/31/2018
From government participation (equity) (1412E2),Oil & Gas,Treasury Shares,Ministry of Finance,374886049.0,USD,Iraq,IRQ,2018,1/1/2018,12/31/2018
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Taxes on IOCs,Ministry of Finance,639347548.0,USD,Iraq,IRQ,2018,1/1/2018,12/31/2018
Profits of natural resource export monopolies (1153E1),Oil,Crude Oil Export Sales (Federal),Ministry of Finance,73408922662.0,USD,Iraq,IRQ,2018,1/1/2018,12/31/2018
Sales of goods and services by government units (1421E),Oil,Crude Oil Export Sales (KRG),Kurdistan Regional Government (KRG),7720297020.0,USD,Iraq,IRQ,2018,1/1/2018,12/31/2018
Sales of goods and services by government units (1421E),Oil,Value of Lifted Oil,Ministry of Finance,10400154448.0,USD,Iraq,IRQ,2018,1/1/2018,12/31/2018
