GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Agriculture,BIN - Other fees,Liberia Revenue Authority (LRA),81640.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,BIN - Resident permit,Liberia Revenue Authority (LRA),94750.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,Business registration fees,Liberia Revenue Authority (LRA),25265.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,Farm use in urban areas,Liberia Revenue Authority (LRA),172278.15,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,Farmland (outside city. town. municipal or commonwealth district),Liberia Revenue Authority (LRA),39.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,Fees & charges paid to NPA,National Port Authority (NPA),507935.66,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,Fees and charges (Ministry of Agriculture),Liberia Revenue Authority (LRA),15160.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,Fees and charges (Ministry of Labor),Liberia Revenue Authority (LRA),217700.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,Fees paid to EPA,Environmental Protection Authority (EPA),65279.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,LBR - Domestic Incorporation filing fee,Liberia Revenue Authority (LRA),790.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,Local inspection Fees,Liberia Civil Aviation Authority (LCAA),1200.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,MFA - Amendment of Articles of Incorporation,Liberia Revenue Authority (LRA),20.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,MOH - Other fees and charges (Ministry of Health and Social Welfare),Liberia Revenue Authority (LRA),30.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,MOI - Communication - Radio Station,Liberia Revenue Authority (LRA),3150.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,MOJ - Agency Fees,Liberia Revenue Authority (LRA),2400.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
Administrative fees for government services (1422E),Agriculture,MOJ - Other fees and charges (Ministry of Justice),Liberia Revenue Authority (LRA),1600.0,USD,Liberia,LBR,2019,7/1/2018,6/30/2019
