GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Droit de conformité (DGM),Direction Générale des Mines,944974791.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Frais d’administration minière,Bureau du Cadastre Minier de Madagascar,10589401106.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Oil & Gas,Frais de formation payé à l'OMNIS,Office des Mines Nationales et des Industries Stratégiques,1665649627.2,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Oil & Gas,Frais d’administration payé à l'OMNIS,Office des Mines Nationales et des Industries Stratégiques,1451188659.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Droit de timbres douaniers,Direction Générale des Douanes,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Droit d’inspection,Direction Générale des Douanes,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Droits d’enregistrement bail,Direction Générale des Impôts,85819423.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Droits d’enregistrement des actes,Direction Générale des Impôts,11742436.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Frais d'instruction (BCMM),Bureau du Cadastre Minier de Madagascar,413685440.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Frais de mise à disposition de permis (Centre Immatriculation),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Frais de test (ARTEC),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Frais d’évaluation et de suivi de l’impact environnemental,Office Nationale pour l'Environnement,470473460.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Taxe additionnelle aux droits d’enregistrement,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Taxe de régulation (ARTEC),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Taxes administratives : Carte d’identité étrangère (Tresor Public),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Taxes administratives : Droit de visa,Direction Générale des Impôts,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Taxes administratives : Permis de conduire (Centre Immatriculation),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Taxes administratives : Permis de travail (Ministère de l'Intérieure),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Other,Taxes administratives : Vignette automobile,Direction Générale des Impôts,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Bonuses (1415E2),Other,Primes de découverte payée à l'Etat (Tresor Public),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Bonuses (1415E2),Other,Primes de production payée à l'Etat (Tresor Public),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Bonuses (1415E2),Other,Primes de signature payée à l'Etat (Tresor Public),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Compulsory transfers to government (infrastructure and other) (1415E4),Other,Dépenses sociales en nature (Evaluation expert ou sur justificatifs),Autres,3537030344.27,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Compulsory transfers to government (infrastructure and other) (1415E4),Other,Dépenses sociales en numéraire,Autres,4058937682.75,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Customs and other import duties (1151E),Other,Droit de port sur les marchandises importées,Direction Générale des Douanes,121423458.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Customs and other import duties (1151E),Other,Droits de douanes et Taxes sur les produits pétroliers (TPP),Direction Générale des Douanes,15998140251.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Delivered/paid directly to government (1415E31),Oil & Gas,Revenus sur la part de production du gouvernement,Office des Mines Nationales et des Industries Stratégiques,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Dépenses sociales Programme d'investissement public (PIP),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Revenus sur la part de production de l'Entreprise d'Etat,Office des Mines Nationales et des Industries Stratégiques,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Excise taxes (1142E),Other,Droit d’accises,Direction Générale des Douanes,30250.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
"Fines, penalties, and forfeits (143E)",Other,Pénalités,Direction Générale des Impôts,10032691602.69,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
From government participation (equity) (1412E2),Other,Dividendes payés à l'Etat (Tresor Public),Autres,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,TVA ayant fait l'objet d'un refus de remboursement,Direction Générale des Impôts,17043342305.62,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,TVA intermittente,Direction Générale des Impôts,3467629766.65,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,TVA nette (Montant réellement payée à l'Administration Fiscale - le cas échéant),Direction Générale des Impôts,6968185769.53,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,TVA non remboursée,Direction Générale des Impôts,24898648509.67,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,TVA à l’importation et TVA sur les produits pétroliers (TVP),Direction Générale des Douanes,18157138727.0,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,Taxe sur la publicité,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Taxe de sous-traitance,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Licence fees (114521E),Oil & Gas,Montant de paiement effectuer au titre de la garantie bancaire valide au 31.12.2018 pour les engagements minimaux de travaux et de budget,Office des Mines Nationales et des Industries Stratégiques,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Licence fees (114521E),Oil & Gas,Participation auprès des CTDs (cf : Article 45 - code pétrolier) 1/2.500ème du montant global des engagements minimum,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Licence fees (114521E),Other,Centime additionnelle à la TP,Direction Générale des Impôts,,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Licence fees (114521E),Other,Droits de voiries,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
Licence fees (114521E),Other,Droits d’entrée et redevances pour usage infrastructures : Autres droits d'entrée et redevances pour usage infrastructures,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2018,1/1/2018,12/31/2018
