GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Droit d'enregistrement,Direction des Grandes Entreprises (DGE),301464969.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Droit de Timbre,Direction des Grandes Entreprises (DGE),3300912514.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Retenues IRF,Direction des Grandes Entreprises (DGE),93750.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
Customs and other import duties (1151E),Mining,Droit de douane,Direction Générale de la Douane (DGD),45944400148.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
"Fines, penalties, and forfeits (143E)",Mining,Pénalités,Direction Nationale de la Géologie et des Mines (DNGM),,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
From government participation (equity) (1412E2),Mining,Dividendes,Direction Nationale des Domaines et du Cadastre (DNDC),7046174882.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Impôt spécial sur certains produits (ISCP),Direction des Grandes Entreprises (DGE),38329022549.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Impôt sur le Revenu des Valeurs Mobilières (IRVM),Direction des Grandes Entreprises (DGE),1549171652.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Retenues BIC,Direction des Grandes Entreprises (DGE),12262527472.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Taxe de transfert,Direction Nationale de la Géologie et des Mines (DNGM),,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Taxe d’assurance,Direction des Grandes Entreprises (DGE),,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Taxe sur la Valeur Ajoutée (TVA),Direction des Grandes Entreprises (DGE),10330477646.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Taxe sur plus value sur transfert de titre,Direction Nationale de la Géologie et des Mines (DNGM),,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Redevances superficiaires DNDC,Direction Nationale des Domaines et du Cadastre (DNDC),141077625.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Redevances superficiaires DNGM,Direction Nationale de la Géologie et des Mines (DNGM),700551537.0,XOF,Mali,MLI,2018,1/1/2018,12/31/2018
