GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Bonuses (1415E2),Oil & Gas,Bono a la Firma,Fondo Mexicano del Petróleo,3367802653.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Derecho de Exploración,Fondo Mexicano del Petróleo,980859419.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
Delivered/paid directly to government (1415E31),Oil & Gas,Derecho por la Utilidad Compartida,Fondo Mexicano del Petróleo,375095256703.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
"Extraordinary taxes on income, profits and capital gains (1112E2)",Mining,Derecho adicional sobre minería,Servicio de Administración Tributaria,39107730.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
"Extraordinary taxes on income, profits and capital gains (1112E2)",Mining,Derecho especial sobre minería,Servicio de Administración Tributaria,3649572056.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
"Extraordinary taxes on income, profits and capital gains (1112E2)",Mining,Derecho extraordinario sobre minería,Servicio de Administración Tributaria,611418204.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
From state-owned enterprises (1412E1),Oil & Gas,Participación del Estado,Fondo Mexicano del Petróleo,40990979.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
Licence fees (114521E),Mining,Derecho sobre minería,Servicio de Administración Tributaria,2524800000.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
Licence fees (114521E),Oil & Gas,Cuota Contractual,Fondo Mexicano del Petróleo,248758485.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
Licence fees (114521E),Oil & Gas,Impuesto por la Actividad de Exploración y Extracción de Hidrocarburos (IAEEH),Servicio de Administración Tributaria,4329592462.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impuesto sobre la Renta (ISR),Servicio de Administración Tributaria,28805600000.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impuesto sobre la Renta (ISR),Servicio de Administración Tributaria,-5540600000.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
Other taxes payable by natural resource companies (116E),Oil & Gas,Impuestos a las utilidades de actividades extractivas,Non-disaggregated revenue flows,,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
Royalties (1415E1),Oil & Gas,Derecho de Extracción,Fondo Mexicano del Petróleo,58686964086.0,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
Royalties (1415E1),Oil & Gas,Regalía Adicional,Fondo Mexicano del Petróleo,594324642.65,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
Royalties (1415E1),Oil & Gas,Regalía Base,Fondo Mexicano del Petróleo,42540648.53,MXN,Mexico,MEX,2017,1/1/2017,12/31/2017
