GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Bonuses (1415E2),Oil,Local development bonus received under PSA,Subnational level,431205579.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Bonuses (1415E2),Oil,Training bonus paid under PSA (for the year),Mineral Resources and Petroleum Authority of Mongolia,2001582740.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Compulsory transfers to government (infrastructure and other) (1415E4),Other,In-kind contribution at rate of 50% to Environmental protection special account,Ministry of Environment and Tourism,1466557207.74,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Compulsory transfers to government (infrastructure and other) (1415E4),Other,In-kind contribution at rate of 50% to Environmental protection special account,Subnational level,338994803.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Customs and other import duties (1151E),Other,Customs duty,Customs General Administration,74667251893.19,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Customs and other import duties (1151E),Other,Customs service fee,Customs General Administration,66803749809.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Emission and pollution taxes (114522E),Other,Fee for water pollution,Subnational level,24822399.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Emission and pollution taxes (114522E),Other,Fee for water use,Subnational level,41938912580.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Emission and pollution taxes (114522E),Other,Fee on air pollution,General Department of Taxation,47456133182.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Emission and pollution taxes (114522E),Other,Tax on vehicle and self-moving mechanisms,Subnational level,1711988665.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Excise taxes (1142E),Gas,Excise tax on vehicle's gasoline and diesel fuel,Customs General Administration,16362882626.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
"Extraordinary taxes on income, profits and capital gains (1112E2)",Oil,Government share of petroleum income under PSA,Mineral Resources and Petroleum Authority of Mongolia,232267132458.52,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
"Fines, penalties, and forfeits (143E)",Other,Penalty,Other,3537909252.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
"Fines, penalties, and forfeits (143E)",Other,Penalty,Subnational level,1095679022.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
"Fines, penalties, and forfeits (143E)",Other,Recovery,Mineral Resources and Petroleum Authority of Mongolia,749442187.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
"Fines, penalties, and forfeits (143E)",Other,Recovery,Subnational level,139199931.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
From state-owned enterprises (1412E1),Mining,Dividends from SOEs,Ministry of Finance,152939883876.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
From state-owned enterprises (1412E1),Other,Dividends from locally-owned enterprises,Subnational level,23020000000.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,Value Added Tax (paid to Mongolian Customs),Customs General Administration,159687235487.93,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,Value Added Tax (paid to Mongolian Tax Administration),General Department of Taxation,143483695129.76,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Licence fees (114521E),Mining,Fee for use of mineral resources of wide spread,Subnational level,1388693315.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Licence fees (114521E),Mining,License fee for exploitation and exploration of mineral resources,Mineral Resources and Petroleum Authority of Mongolia,35575106122.36,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Licence fees (114521E),Mining,License fee for exploration and exploitation of petroleum,Mineral Resources and Petroleum Authority of Mongolia,2035146401.76,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
"Ordinary taxes on income, profits and capital gains (1112E1)",Gas,Tax on vehicle's gasoline and diesel fuel,General Department of Taxation,2209347899.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Corporate income tax,General Department of Taxation,903387802777.09,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Other taxes payable by natural resource companies (116E),Mining,Fee and extra fee for exploitation and exploration of mineral resources,General Department of Taxation,1381195233704.97,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
